1,大野 芳顕,大野 芳顕.1,2,村田 友也,村田 友也.1,3,川崎 公靖,川崎 公靖.1,4,向井田　佑紀,向井田　佑紀.1,5,奥平 拓也,奥平 拓也.1,6,益田 啓司,益田 啓司.1
2.0,3.0,49.9,1.0,3.0,316.4,1.0,2.0,320.9,1.0,2.0,94.8,1.0,2.0,577.9,1.0,2.0,100.3
2.0,4.0,41.5,1.0,4.0,248.6,1.0,4.0,116.4,1.0,3.0,52.4,1.0,3.0,492.5,1.0,3.0,65.2
2.0,5.0,103.8,1.0,5.0,604.1,1.0,5.0,262.2,1.0,5.0,54.8,1.0,4.0,281.4,1.0,4.0,29.8
2.0,6.0,41.2,1.0,6.0,241.7,1.0,6.0,102.2,1.0,6.0,17.9,1.0,6.0,233.5,1.0,5.0,101.0
3.0,2.0,44.1,3.0,1.0,456.7,2.0,1.0,485.1,2.0,1.0,213.9,2.0,1.0,944.0,2.0,1.0,273.2
3.0,4.0,15.8,3.0,4.0,570.6,2.0,4.0,512.5,2.0,3.0,357.9,2.0,3.0,1551.0,2.0,3.0,465.2
3.0,5.0,44.5,3.0,5.0,1309.0,2.0,5.0,940.1,2.0,5.0,418.7,2.0,4.0,1373.0,2.0,4.0,286.7
3.0,6.0,15.9,3.0,6.0,690.7,2.0,6.0,576.5,2.0,6.0,170.7,2.0,6.0,960.0,2.0,5.0,368.9
4.0,2.0,35.3,4.0,1.0,356.7,4.0,1.0,174.6,3.0,1.0,128.4,3.0,1.0,740.4,3.0,1.0,143.5
4.0,3.0,15.7,4.0,3.0,629.3,4.0,2.0,547.2,3.0,2.0,401.7,3.0,2.0,1562.0,3.0,2.0,396.0
4.0,5.0,31.4,4.0,5.0,1150.0,4.0,5.0,467.1,3.0,5.0,366.0,3.0,4.0,993.7,3.0,4.0,172.4
4.0,6.0,8.2,4.0,6.0,342.7,4.0,6.0,196.8,3.0,6.0,128.2,3.0,6.0,944.0,3.0,5.0,467.1
5.0,2.0,194.1,5.0,1.0,1167.0,5.0,1.0,533.0,5.0,1.0,84.0,4.0,1.0,276.6,4.0,1.0,37.1
5.0,3.0,96.6,5.0,3.0,1294.0,5.0,2.0,1058.0,5.0,2.0,269.0,4.0,2.0,770.6,4.0,2.0,139.4
5.0,4.0,74.0,5.0,4.0,1407.0,5.0,4.0,649.1,5.0,3.0,284.6,4.0,3.0,823.8,4.0,3.0,108.6
5.0,6.0,59.8,5.0,6.0,1089.0,5.0,6.0,590.0,5.0,6.0,64.0,4.0,6.0,193.1,4.0,5.0,99.2
6.0,2.0,35.3,6.0,1.0,385.3,6.0,1.0,177.9,6.0,1.0,21.4,6.0,1.0,271.9,5.0,1.0,199.6
6.0,3.0,19.2,6.0,3.0,814.9,6.0,2.0,585.4,6.0,2.0,86.2,6.0,2.0,742.8,5.0,2.0,367.8
6.0,4.0,10.0,6.0,4.0,430.7,6.0,4.0,229.3,6.0,3.0,63.9,6.0,3.0,712.4,5.0,3.0,456.7
6.0,5.0,33.4,6.0,5.0,1039.0,6.0,5.0,493.6,6.0,5.0,43.9,6.0,4.0,228.3,5.0,4.0,169.4
