1,今坂 晃広,今坂 晃広.1,2,上野 俊樹,上野 俊樹.1,3,海老澤　泰行,海老澤　泰行.1,4,松下 知幸,松下 知幸.1,5,藤森 拓海,藤森 拓海.1,6,小坂 尚哉,小坂 尚哉.1
2.0,3.0,36.5,1.0,3.0,89.5,1.0,2.0,99.7,1.0,2.0,174.6,1.0,2.0,688.6,1.0,2.0,58.7
2.0,4.0,33.2,1.0,4.0,114.1,1.0,4.0,53.6,1.0,3.0,118.3,1.0,3.0,920.6,1.0,3.0,26.0
2.0,5.0,123.1,1.0,5.0,216.0,1.0,5.0,166.4,1.0,5.0,325.7,1.0,4.0,920.6,1.0,4.0,26.7
2.0,6.0,18.1,1.0,6.0,61.6,1.0,6.0,37.1,1.0,6.0,43.5,1.0,6.0,495.3,1.0,5.0,230.1
3.0,2.0,36.9,3.0,1.0,167.0,2.0,1.0,156.5,2.0,1.0,330.8,2.0,1.0,1032.0,2.0,1.0,111.8
3.0,4.0,16.2,3.0,4.0,560.9,2.0,4.0,238.6,2.0,3.0,672.2,2.0,3.0,2117.0,2.0,3.0,180.2
3.0,5.0,69.7,3.0,5.0,1160.0,2.0,5.0,445.8,2.0,5.0,838.6,2.0,4.0,2491.0,2.0,4.0,189.4
3.0,6.0,11.0,3.0,6.0,249.8,2.0,6.0,208.1,2.0,6.0,228.3,2.0,6.0,1032.0,2.0,5.0,546.4
4.0,2.0,38.4,4.0,1.0,297.2,4.0,1.0,93.9,3.0,1.0,160.1,3.0,1.0,1100.0,3.0,1.0,44.0
4.0,3.0,22.4,4.0,3.0,651.5,4.0,2.0,294.1,3.0,2.0,448.1,3.0,2.0,2117.0,3.0,2.0,131.5
4.0,5.0,105.0,4.0,5.0,1085.0,4.0,5.0,457.8,3.0,5.0,553.6,3.0,4.0,2016.0,3.0,4.0,61.1
4.0,6.0,10.6,4.0,6.0,233.9,4.0,6.0,66.8,3.0,6.0,107.2,3.0,6.0,1129.0,3.0,5.0,306.8
5.0,2.0,257.4,5.0,1.0,951.7,5.0,1.0,572.3,5.0,1.0,596.5,4.0,1.0,1160.0,4.0,1.0,45.9
5.0,3.0,269.7,5.0,3.0,1435.0,5.0,2.0,1045.0,5.0,2.0,1100.0,4.0,2.0,2566.0,4.0,2.0,135.7
5.0,4.0,320.8,5.0,4.0,1728.0,5.0,4.0,984.9,5.0,3.0,1045.0,4.0,3.0,2065.0,4.0,3.0,69.2
5.0,6.0,177.5,5.0,6.0,1058.0,5.0,6.0,348.5,5.0,6.0,320.8,4.0,6.0,799.0,4.0,5.0,277.7
6.0,2.0,18.8,6.0,1.0,149.3,6.0,1.0,46.9,6.0,1.0,44.7,6.0,1.0,730.2,5.0,1.0,507.2
6.0,3.0,14.4,6.0,3.0,255.1,6.0,2.0,129.3,6.0,2.0,140.4,6.0,2.0,901.1,5.0,2.0,838.6
6.0,4.0,12.4,6.0,4.0,243.4,6.0,4.0,57.2,6.0,3.0,91.1,6.0,3.0,891.6,5.0,3.0,694.2
6.0,5.0,74.3,6.0,5.0,609.3,6.0,5.0,197.9,6.0,5.0,208.1,6.0,4.0,973.6,5.0,4.0,743.0
