1,佐藤 悠,佐藤 悠.1,2,冨田 秀幸,冨田 秀幸.1,3,上田 龍星,上田 龍星.1,4,川崎 智稔,川崎 智稔.1,5,乙藤 智史,乙藤 智史.1,6,原田 秀弥,原田 秀弥.1
2.0,3.0,38.4,1.0,3.0,307.0,1.0,2.0,32.2,1.0,2.0,216.7,1.0,2.0,783.8,1.0,2.0,2194.0
2.0,4.0,75.1,1.0,4.0,570.8,1.0,4.0,8.7,1.0,3.0,51.2,1.0,3.0,211.7,1.0,3.0,914.4
2.0,5.0,115.0,1.0,5.0,863.8,1.0,5.0,11.3,1.0,5.0,98.2,1.0,4.0,448.9,1.0,4.0,1397.0
2.0,6.0,221.4,1.0,6.0,1288.0,1.0,6.0,32.5,1.0,6.0,158.0,1.0,6.0,644.0,1.0,5.0,2351.0
3.0,2.0,14.9,3.0,1.0,420.2,2.0,1.0,138.6,2.0,1.0,545.6,2.0,1.0,1828.0,2.0,1.0,3569.0
3.0,4.0,4.7,3.0,4.0,827.6,2.0,4.0,168.2,2.0,3.0,493.8,2.0,3.0,1535.0,2.0,3.0,3798.0
3.0,5.0,7.1,3.0,5.0,1065.0,2.0,5.0,193.9,2.0,5.0,798.6,2.0,4.0,2116.0,2.0,4.0,4357.0
3.0,6.0,23.3,3.0,6.0,1949.0,2.0,6.0,286.5,2.0,6.0,934.6,2.0,6.0,2532.0,2.0,5.0,4629.0
4.0,2.0,60.1,4.0,1.0,1043.0,4.0,1.0,23.3,3.0,1.0,57.3,3.0,1.0,228.7,3.0,1.0,974.6
4.0,3.0,15.3,4.0,3.0,1101.0,4.0,2.0,110.9,3.0,2.0,254.7,3.0,2.0,990.9,3.0,2.0,2532.0
4.0,5.0,32.3,4.0,5.0,2598.0,4.0,5.0,33.3,3.0,5.0,79.7,3.0,4.0,366.6,3.0,4.0,1085.0
4.0,6.0,68.7,4.0,6.0,2769.0,4.0,6.0,62.7,3.0,6.0,140.8,3.0,6.0,597.3,3.0,5.0,1610.0
5.0,2.0,136.7,5.0,1.0,1887.0,5.0,1.0,52.7,5.0,1.0,162.3,4.0,1.0,527.1,4.0,1.0,1352.0
5.0,3.0,41.3,5.0,3.0,1774.0,5.0,2.0,174.6,5.0,2.0,436.3,4.0,2.0,1404.0,4.0,2.0,4293.0
5.0,4.0,79.4,5.0,4.0,2769.0,5.0,4.0,67.9,5.0,3.0,144.8,4.0,3.0,423.8,4.0,3.0,1161.0
5.0,6.0,139.8,5.0,6.0,3086.0,5.0,6.0,112.4,5.0,6.0,194.6,4.0,6.0,767.5,4.0,5.0,2178.0
6.0,2.0,356.1,6.0,1.0,2489.0,6.0,1.0,176.6,6.0,1.0,327.7,6.0,1.0,1322.0,5.0,1.0,3023.0
6.0,3.0,148.9,6.0,3.0,3366.0,6.0,2.0,453.0,6.0,2.0,769.5,6.0,2.0,2532.0,5.0,2.0,4115.0
6.0,4.0,235.1,6.0,4.0,3703.0,6.0,4.0,194.7,6.0,3.0,298.9,6.0,3.0,1046.0,5.0,3.0,2261.0
6.0,5.0,297.1,6.0,5.0,4173.0,6.0,5.0,217.6,6.0,5.0,377.9,6.0,4.0,1166.0,5.0,4.0,2227.0
