1,大橋　純一郎,大橋　純一郎.1,2,熊本 英一,熊本 英一.1,3,川崎 公靖,川崎 公靖.1,4,樫葉 次郎,樫葉 次郎.1,5,寺田 祥,寺田 祥.1,6,坂井 康嗣,坂井 康嗣.1
2.0,3.0,28.3,1.0,3.0,293.4,1.0,2.0,254.6,1.0,2.0,1099.0,1.0,2.0,26.1,1.0,2.0,632.5
2.0,4.0,91.7,1.0,4.0,764.7,1.0,4.0,393.5,1.0,3.0,1674.0,1.0,3.0,16.5,1.0,3.0,523.9
2.0,5.0,14.6,1.0,5.0,234.8,1.0,5.0,87.2,1.0,5.0,505.3,1.0,4.0,37.4,1.0,4.0,757.9
2.0,6.0,74.7,1.0,6.0,698.0,1.0,6.0,267.1,1.0,6.0,1104.0,1.0,6.0,14.3,1.0,5.0,197.5
3.0,2.0,26.1,3.0,1.0,406.6,2.0,1.0,437.2,2.0,1.0,1439.0,2.0,1.0,110.0,2.0,1.0,1081.0
3.0,4.0,65.2,3.0,4.0,2668.0,2.0,4.0,1377.0,2.0,3.0,3284.0,2.0,3.0,239.8,2.0,3.0,1897.0
3.0,5.0,9.1,3.0,5.0,707.7,2.0,5.0,749.1,2.0,5.0,2614.0,2.0,4.0,396.5,2.0,4.0,2372.0
3.0,6.0,42.8,3.0,6.0,1804.0,2.0,6.0,1355.0,2.0,6.0,2979.0,2.0,6.0,191.4,2.0,5.0,1186.0
4.0,2.0,171.7,4.0,1.0,1439.0,4.0,1.0,1562.0,3.0,1.0,2135.0,3.0,1.0,59.0,3.0,1.0,776.3
4.0,3.0,144.6,4.0,3.0,2846.0,4.0,2.0,2784.0,3.0,2.0,3558.0,3.0,2.0,215.1,3.0,2.0,1591.0
4.0,5.0,63.3,4.0,5.0,3243.0,4.0,5.0,1400.0,3.0,5.0,2350.0,3.0,4.0,314.7,3.0,4.0,1731.0
4.0,6.0,189.4,4.0,6.0,3713.0,4.0,6.0,2208.0,3.0,6.0,3416.0,3.0,6.0,112.8,3.0,5.0,736.2
5.0,2.0,8.2,5.0,1.0,298.2,5.0,1.0,113.8,5.0,1.0,469.2,4.0,1.0,143.8,4.0,1.0,1186.0
5.0,3.0,5.5,5.0,3.0,736.2,5.0,2.0,360.8,5.0,2.0,1685.0,4.0,2.0,402.2,4.0,2.0,1940.0
5.0,4.0,20.7,5.0,4.0,1856.0,5.0,4.0,465.8,5.0,3.0,1621.0,4.0,3.0,394.7,4.0,3.0,2152.0
5.0,6.0,7.6,5.0,6.0,977.8,5.0,6.0,267.7,5.0,6.0,918.2,4.0,6.0,177.3,4.0,5.0,1208.0
6.0,2.0,133.5,6.0,1.0,1281.0,6.0,1.0,584.9,6.0,1.0,1384.0,6.0,1.0,31.1,5.0,1.0,169.3
6.0,3.0,86.2,6.0,3.0,2511.0,6.0,2.0,1123.0,6.0,2.0,3608.0,6.0,2.0,95.9,5.0,2.0,522.8
6.0,4.0,190.9,6.0,4.0,4066.0,6.0,4.0,1313.0,6.0,3.0,2171.0,6.0,3.0,70.1,5.0,3.0,427.7
6.0,5.0,40.7,6.0,5.0,1779.0,6.0,5.0,523.9,6.0,5.0,1543.0,6.0,4.0,96.0,5.0,4.0,518.6
