1,吉田 俊彦,吉田 俊彦.1,2,東 健介,東 健介.1,3,福田 雅一,福田 雅一.1,4,杉村 賢也,杉村 賢也.1,5,岩永 雅人,岩永 雅人.1,6,竹田 吉行,竹田 吉行.1
2.0,3.0,10.4,1.0,3.0,71.9,1.0,2.0,110.2,1.0,2.0,207.6,1.0,2.0,90.8,1.0,2.0,752.8
2.0,4.0,17.1,1.0,4.0,88.7,1.0,4.0,120.3,1.0,3.0,231.5,1.0,3.0,80.0,1.0,3.0,550.4
2.0,5.0,12.3,1.0,5.0,73.7,1.0,5.0,65.7,1.0,5.0,133.2,1.0,4.0,131.7,1.0,4.0,936.3
2.0,6.0,30.6,1.0,6.0,133.0,1.0,6.0,116.4,1.0,6.0,184.7,1.0,6.0,88.1,1.0,5.0,656.0
3.0,2.0,10.6,3.0,1.0,258.6,2.0,1.0,289.3,2.0,1.0,457.8,2.0,1.0,225.3,2.0,1.0,1365.0
3.0,4.0,13.3,3.0,4.0,697.2,2.0,4.0,686.2,2.0,3.0,947.0,2.0,3.0,470.2,2.0,3.0,1697.0
3.0,5.0,8.3,3.0,5.0,559.9,2.0,5.0,433.3,2.0,5.0,592.9,2.0,4.0,601.5,2.0,4.0,1945.0
3.0,6.0,18.7,3.0,6.0,840.2,2.0,6.0,685.0,2.0,6.0,759.7,2.0,6.0,446.5,2.0,5.0,1911.0
4.0,2.0,23.0,4.0,1.0,351.5,4.0,1.0,378.1,3.0,1.0,543.2,3.0,1.0,198.9,3.0,1.0,775.5
4.0,3.0,22.5,4.0,3.0,823.5,4.0,2.0,753.6,3.0,2.0,1157.0,3.0,2.0,492.2,3.0,2.0,2003.0
4.0,5.0,22.2,4.0,5.0,661.3,4.0,5.0,524.8,3.0,5.0,802.2,3.0,4.0,703.1,3.0,4.0,1717.0
4.0,6.0,35.1,4.0,6.0,896.8,4.0,6.0,651.4,3.0,6.0,933.9,3.0,6.0,424.1,3.0,5.0,1565.0
5.0,2.0,17.9,5.0,1.0,257.2,5.0,1.0,171.8,5.0,1.0,169.8,4.0,1.0,251.7,4.0,1.0,1323.0
5.0,3.0,14.8,5.0,3.0,585.0,5.0,2.0,465.2,5.0,2.0,354.5,4.0,2.0,473.8,4.0,2.0,1925.0
5.0,4.0,29.3,5.0,4.0,698.5,5.0,4.0,511.5,5.0,3.0,421.5,4.0,3.0,592.4,4.0,3.0,1809.0
5.0,6.0,24.6,5.0,6.0,687.5,5.0,6.0,352.3,5.0,6.0,208.0,4.0,6.0,329.2,4.0,5.0,1323.0
6.0,2.0,77.5,6.0,1.0,838.3,6.0,1.0,392.2,6.0,1.0,434.0,6.0,1.0,233.7,5.0,1.0,813.6
6.0,3.0,58.9,6.0,3.0,1398.0,6.0,2.0,985.8,6.0,2.0,765.9,6.0,2.0,406.1,5.0,2.0,1481.0
6.0,4.0,91.2,6.0,4.0,1555.0,6.0,4.0,951.8,6.0,3.0,848.8,6.0,3.0,424.4,5.0,3.0,1258.0
6.0,5.0,62.6,6.0,5.0,1330.0,6.0,5.0,575.0,6.0,5.0,462.9,6.0,4.0,461.7,5.0,4.0,1244.0
