1,深川 和仁,深川 和仁.1,2,岡本 猛,岡本 猛.1,3,前田 聖文,前田 聖文.1,4,尾嶋 一広,尾嶋 一広.1,5,山本 梨菜,山本 梨菜.1,6,山口 亮,山口 亮.1
2.0,3.0,13.6,1.0,3.0,87.5,1.0,2.0,40.7,1.0,2.0,201.2,1.0,2.0,270.7,1.0,2.0,1976.0
2.0,4.0,25.1,1.0,4.0,133.6,1.0,4.0,14.8,1.0,3.0,77.2,1.0,3.0,138.9,1.0,3.0,1787.0
2.0,5.0,36.0,1.0,5.0,179.8,1.0,5.0,19.2,1.0,5.0,107.3,1.0,4.0,224.7,1.0,4.0,2606.0
2.0,6.0,108.7,1.0,6.0,388.7,1.0,6.0,88.7,1.0,6.0,310.6,1.0,6.0,347.9,1.0,5.0,2180.0
3.0,2.0,10.5,3.0,1.0,162.4,2.0,1.0,105.8,2.0,1.0,382.7,2.0,1.0,568.2,2.0,1.0,2844.0
3.0,4.0,6.0,3.0,4.0,247.2,2.0,4.0,137.9,2.0,3.0,350.7,2.0,3.0,596.6,2.0,3.0,3069.0
3.0,5.0,9.0,3.0,5.0,299.8,2.0,5.0,146.8,2.0,5.0,451.2,2.0,4.0,827.2,2.0,4.0,4092.0
3.0,6.0,47.9,3.0,6.0,672.2,2.0,6.0,364.4,2.0,6.0,731.2,2.0,6.0,994.7,2.0,5.0,3953.0
4.0,2.0,31.3,4.0,1.0,329.0,4.0,1.0,29.0,3.0,1.0,73.3,3.0,1.0,162.9,3.0,1.0,2332.0
4.0,3.0,13.9,4.0,3.0,334.6,4.0,2.0,97.8,3.0,2.0,212.2,3.0,2.0,419.5,3.0,2.0,3356.0
4.0,5.0,26.8,4.0,5.0,518.9,4.0,5.0,33.6,3.0,5.0,88.1,3.0,4.0,206.6,3.0,4.0,2111.0
4.0,6.0,92.0,4.0,6.0,916.6,4.0,6.0,105.7,3.0,6.0,218.5,3.0,6.0,376.8,3.0,5.0,2150.0
5.0,2.0,60.9,5.0,1.0,494.7,5.0,1.0,50.4,5.0,1.0,154.7,4.0,1.0,354.7,4.0,1.0,3987.0
5.0,3.0,29.7,5.0,3.0,532.5,5.0,2.0,139.6,5.0,2.0,313.1,4.0,2.0,701.5,4.0,2.0,4241.0
5.0,4.0,56.3,5.0,4.0,665.5,5.0,4.0,57.7,5.0,3.0,144.6,4.0,3.0,278.0,4.0,3.0,2404.0
5.0,6.0,102.0,5.0,6.0,902.4,5.0,6.0,122.4,5.0,6.0,251.5,4.0,6.0,630.4,4.0,5.0,2897.0
6.0,2.0,365.3,6.0,1.0,1534.0,6.0,1.0,324.6,6.0,1.0,842.1,6.0,1.0,678.1,5.0,1.0,2777.0
6.0,3.0,238.6,6.0,3.0,2170.0,6.0,2.0,552.1,6.0,2.0,1281.0,6.0,2.0,1190.0,5.0,2.0,3920.0
6.0,4.0,313.9,6.0,4.0,2368.0,6.0,4.0,315.6,6.0,3.0,745.2,6.0,3.0,690.1,5.0,3.0,2037.0
6.0,5.0,283.1,6.0,5.0,2577.0,6.0,5.0,265.9,6.0,5.0,742.9,6.0,4.0,854.4,5.0,4.0,2712.0
