1,出畑 孝典,出畑 孝典.1,2,桑島 和宏,桑島 和宏.1,3,阪本 勇介,阪本 勇介.1,4,服部 達哉,服部 達哉.1,5,津田 陸翔,津田 陸翔.1,6,屋良 龍紀,屋良 龍紀.1
2.0,3.0,5.4,1.0,3.0,31.9,1.0,2.0,99.5,1.0,2.0,103.6,1.0,2.0,71.5,1.0,2.0,572.7
2.0,4.0,6.2,1.0,4.0,26.6,1.0,4.0,151.0,1.0,3.0,257.7,1.0,3.0,105.3,1.0,3.0,1174.0
2.0,5.0,9.1,1.0,5.0,39.4,1.0,5.0,123.6,1.0,5.0,167.3,1.0,4.0,152.0,1.0,4.0,1232.0
2.0,6.0,94.5,1.0,6.0,161.8,1.0,6.0,571.0,1.0,6.0,466.2,1.0,6.0,267.1,1.0,5.0,1163.0
3.0,2.0,9.7,3.0,1.0,112.6,2.0,1.0,206.2,2.0,1.0,168.8,2.0,1.0,148.7,2.0,1.0,781.2
3.0,4.0,17.8,3.0,4.0,182.2,2.0,4.0,363.9,2.0,3.0,406.8,2.0,3.0,291.9,2.0,3.0,1659.0
3.0,5.0,15.9,3.0,5.0,255.7,2.0,5.0,325.5,2.0,5.0,351.3,2.0,4.0,365.7,2.0,4.0,1082.0
3.0,6.0,147.3,3.0,6.0,685.2,2.0,6.0,1118.0,2.0,6.0,526.7,2.0,6.0,568.4,2.0,5.0,1795.0
4.0,2.0,15.0,4.0,1.0,83.2,4.0,1.0,334.0,3.0,1.0,468.5,3.0,1.0,271.3,3.0,1.0,2305.0
4.0,3.0,27.1,4.0,3.0,181.1,4.0,2.0,410.8,3.0,2.0,579.8,3.0,2.0,403.2,3.0,2.0,2209.0
4.0,5.0,28.5,4.0,5.0,232.9,4.0,5.0,453.2,3.0,5.0,625.5,3.0,4.0,624.4,3.0,4.0,1645.0
4.0,6.0,125.6,4.0,6.0,337.0,4.0,6.0,990.5,3.0,6.0,1159.0,3.0,6.0,1128.0,3.0,5.0,2378.0
5.0,2.0,18.5,5.0,1.0,155.9,5.0,1.0,251.3,5.0,1.0,250.4,4.0,1.0,291.0,4.0,1.0,1536.0
5.0,3.0,26.5,5.0,3.0,359.0,5.0,2.0,370.8,5.0,2.0,369.7,4.0,2.0,422.4,4.0,2.0,1101.0
5.0,4.0,41.2,5.0,4.0,361.1,5.0,4.0,530.4,5.0,3.0,514.3,4.0,3.0,682.7,4.0,3.0,1848.0
5.0,6.0,141.0,5.0,6.0,910.8,5.0,6.0,1121.0,5.0,6.0,658.6,4.0,6.0,787.8,4.0,5.0,2063.0
6.0,2.0,232.9,6.0,1.0,552.4,6.0,1.0,1905.0,6.0,1.0,1025.0,6.0,1.0,537.3,5.0,1.0,1575.0
6.0,3.0,386.5,6.0,3.0,1167.0,6.0,2.0,2051.0,6.0,2.0,913.0,6.0,2.0,672.8,5.0,2.0,1905.0
6.0,4.0,344.5,6.0,4.0,719.5,6.0,4.0,1728.0,6.0,3.0,1549.0,6.0,3.0,1079.0,5.0,3.0,2236.0
6.0,5.0,329.6,6.0,5.0,1436.0,6.0,5.0,1934.0,6.0,5.0,1159.0,6.0,4.0,952.6,5.0,4.0,1934.0
