1,中越 博紀,中越 博紀.1,2,出畑 孝典,出畑 孝典.1,3,中村 守成,中村 守成.1,4,河野 真也,河野 真也.1,5,森岡 まき,森岡 まき.1,6,平野 和明,平野 和明.1
2.0,3.0,14.0,1.0,3.0,35.3,1.0,2.0,370.0,1.0,2.0,59.5,1.0,2.0,119.8,1.0,2.0,423.5
2.0,4.0,5.2,1.0,4.0,10.2,1.0,4.0,547.2,1.0,3.0,312.2,1.0,3.0,528.9,1.0,3.0,1438.0
2.0,5.0,11.0,1.0,5.0,20.8,1.0,5.0,488.7,1.0,5.0,94.0,1.0,4.0,211.2,1.0,4.0,662.2
2.0,6.0,12.9,1.0,6.0,23.4,1.0,6.0,660.9,1.0,6.0,99.3,1.0,6.0,224.7,1.0,5.0,853.6
3.0,2.0,45.8,3.0,1.0,137.9,2.0,1.0,434.0,2.0,1.0,76.3,2.0,1.0,159.1,2.0,1.0,480.2
3.0,4.0,57.5,3.0,4.0,173.1,2.0,4.0,540.9,2.0,3.0,387.2,2.0,3.0,664.9,2.0,3.0,1503.0
3.0,5.0,86.3,3.0,5.0,212.6,2.0,5.0,806.2,2.0,5.0,142.1,2.0,4.0,276.7,2.0,4.0,705.6
3.0,6.0,115.9,3.0,6.0,256.9,2.0,6.0,748.4,2.0,6.0,128.8,2.0,6.0,252.4,2.0,5.0,781.7
4.0,2.0,12.5,4.0,1.0,29.2,4.0,1.0,1052.0,3.0,1.0,816.1,3.0,1.0,1036.0,3.0,1.0,2548.0
4.0,3.0,50.6,4.0,3.0,113.1,4.0,2.0,1043.0,3.0,2.0,751.7,3.0,2.0,1200.0,3.0,2.0,2454.0
4.0,5.0,28.7,4.0,5.0,56.4,4.0,5.0,1408.0,3.0,5.0,1002.0,3.0,4.0,1438.0,3.0,4.0,2805.0
4.0,6.0,32.1,4.0,6.0,57.7,4.0,6.0,1464.0,3.0,6.0,970.3,3.0,6.0,1531.0,3.0,5.0,3007.0
5.0,2.0,38.1,5.0,1.0,78.1,5.0,1.0,1175.0,5.0,1.0,144.7,4.0,1.0,306.2,4.0,1.0,996.4
5.0,3.0,128.1,5.0,3.0,283.1,5.0,2.0,1227.0,5.0,2.0,156.5,4.0,2.0,328.2,4.0,2.0,760.3
5.0,4.0,67.0,5.0,4.0,120.8,5.0,4.0,1589.0,5.0,3.0,575.5,4.0,3.0,1254.0,4.0,3.0,2587.0
5.0,6.0,81.4,5.0,6.0,139.6,5.0,6.0,1644.0,5.0,6.0,162.1,4.0,6.0,319.7,4.0,5.0,1192.0
6.0,2.0,64.5,6.0,1.0,134.3,6.0,1.0,1476.0,6.0,1.0,221.0,6.0,1.0,334.4,5.0,1.0,1005.0
6.0,3.0,227.6,6.0,3.0,430.1,6.0,2.0,1490.0,6.0,2.0,227.3,6.0,2.0,322.1,5.0,2.0,862.5
6.0,4.0,104.2,6.0,4.0,176.6,6.0,4.0,1940.0,6.0,3.0,765.5,6.0,3.0,892.5,5.0,3.0,2528.0
6.0,5.0,123.5,6.0,5.0,197.7,6.0,5.0,2023.0,6.0,5.0,289.5,6.0,4.0,445.0,5.0,4.0,1187.0
