1,富田 恕生,富田 恕生.1,2,山田 丈,山田 丈.1,3,佐藤　謙史朗,佐藤　謙史朗.1,4,土井 歩夢,土井 歩夢.1,5,藤井 公人,藤井 公人.1,6,小川 晃司,小川 晃司.1
2.0,3.0,6.2,1.0,3.0,24.7,1.0,2.0,84.5,1.0,2.0,137.9,1.0,2.0,384.1,1.0,2.0,112.9
2.0,4.0,8.2,1.0,4.0,32.9,1.0,4.0,112.8,1.0,3.0,214.0,1.0,3.0,598.1,1.0,3.0,180.8
2.0,5.0,18.9,1.0,5.0,67.3,1.0,5.0,186.1,1.0,5.0,281.2,1.0,4.0,564.6,1.0,4.0,248.7
2.0,6.0,10.3,1.0,6.0,29.9,1.0,6.0,81.8,1.0,6.0,119.8,1.0,6.0,318.6,1.0,5.0,643.1
3.0,2.0,14.6,3.0,1.0,75.4,2.0,1.0,121.7,2.0,1.0,188.8,2.0,1.0,527.7,2.0,1.0,141.3
3.0,4.0,22.1,3.0,4.0,156.6,2.0,4.0,237.8,2.0,3.0,427.1,2.0,3.0,947.4,2.0,3.0,245.5
3.0,5.0,48.3,3.0,5.0,230.2,2.0,5.0,301.3,2.0,5.0,468.2,2.0,4.0,976.9,2.0,4.0,317.9
3.0,6.0,23.2,3.0,6.0,102.5,2.0,6.0,136.0,2.0,6.0,180.1,2.0,6.0,607.1,2.0,5.0,858.1
4.0,2.0,24.0,4.0,1.0,110.1,4.0,1.0,197.9,3.0,1.0,317.5,3.0,1.0,910.7,3.0,1.0,306.8
4.0,3.0,35.8,4.0,3.0,211.1,4.0,2.0,273.8,3.0,2.0,478.5,3.0,2.0,1065.0,3.0,2.0,412.7
4.0,5.0,67.8,4.0,5.0,301.9,4.0,5.0,426.5,3.0,5.0,806.6,3.0,4.0,1501.0,3.0,4.0,611.1
4.0,6.0,33.6,4.0,6.0,129.3,4.0,6.0,195.5,3.0,6.0,269.6,3.0,6.0,1030.0,3.0,5.0,1124.0
5.0,2.0,58.2,5.0,1.0,284.0,5.0,1.0,380.0,5.0,1.0,381.0,4.0,1.0,744.9,4.0,1.0,408.0
5.0,3.0,92.2,5.0,3.0,393.7,5.0,2.0,449.5,5.0,2.0,491.0,4.0,2.0,899.1,4.0,2.0,462.1
5.0,4.0,110.5,5.0,4.0,538.8,5.0,4.0,594.4,5.0,3.0,695.4,4.0,3.0,1344.0,4.0,3.0,727.6
5.0,6.0,73.0,5.0,6.0,392.1,5.0,6.0,365.7,5.0,6.0,253.4,4.0,6.0,545.0,4.0,5.0,1026.0
6.0,2.0,30.5,6.0,1.0,94.8,6.0,1.0,182.6,6.0,1.0,217.0,6.0,1.0,627.4,5.0,1.0,1115.0
6.0,3.0,45.0,6.0,3.0,148.8,6.0,2.0,194.9,6.0,2.0,224.9,6.0,2.0,797.5,5.0,2.0,1390.0
6.0,4.0,52.2,6.0,4.0,170.6,6.0,4.0,248.1,6.0,3.0,340.5,6.0,3.0,1073.0,5.0,3.0,1390.0
6.0,5.0,79.9,6.0,5.0,401.0,6.0,5.0,511.4,6.0,5.0,386.7,6.0,4.0,697.1,5.0,4.0,1440.0
