1,佐藤　ほのか,佐藤　ほのか.1,2,小池 礼乃,小池 礼乃.1,3,小野 生奈,小野 生奈.1,4,深川　麻奈美,深川　麻奈美.1,5,出口　舞有子,出口　舞有子.1,6,赤澤 文香,赤澤 文香.1
2.0,3.0,36.7,1.0,3.0,78.3,1.0,2.0,39.6,1.0,2.0,155.3,1.0,2.0,347.7,1.0,2.0,1617.0
2.0,4.0,64.6,1.0,4.0,110.4,1.0,4.0,14.6,1.0,3.0,60.4,1.0,3.0,146.9,1.0,3.0,1585.0
2.0,5.0,117.6,1.0,5.0,168.2,1.0,5.0,22.5,1.0,5.0,99.5,1.0,4.0,218.8,1.0,4.0,2247.0
2.0,6.0,266.0,1.0,6.0,427.1,1.0,6.0,86.5,1.0,6.0,266.8,1.0,6.0,453.7,1.0,5.0,2742.0
3.0,2.0,24.2,3.0,1.0,81.6,2.0,1.0,62.4,2.0,1.0,220.0,2.0,1.0,518.5,2.0,1.0,1700.0
3.0,4.0,11.8,3.0,4.0,50.0,2.0,4.0,36.6,2.0,3.0,98.8,2.0,3.0,284.7,2.0,3.0,1922.0
3.0,5.0,21.6,3.0,5.0,80.1,2.0,5.0,56.7,2.0,5.0,180.3,2.0,4.0,421.6,2.0,4.0,1822.0
3.0,6.0,97.3,3.0,6.0,282.4,2.0,6.0,151.8,2.0,6.0,375.0,2.0,6.0,722.8,2.0,5.0,2992.0
4.0,2.0,53.4,4.0,1.0,158.8,4.0,1.0,15.9,3.0,1.0,45.6,3.0,1.0,131.7,3.0,1.0,1603.0
4.0,3.0,24.8,4.0,3.0,81.8,4.0,2.0,24.4,3.0,2.0,60.3,3.0,2.0,190.6,3.0,2.0,1711.0
4.0,5.0,56.3,4.0,5.0,165.8,4.0,5.0,11.3,3.0,5.0,34.1,3.0,4.0,79.0,3.0,4.0,851.6
4.0,6.0,168.8,4.0,6.0,416.6,4.0,6.0,36.8,3.0,6.0,96.6,3.0,6.0,238.7,3.0,5.0,1512.0
5.0,2.0,158.1,5.0,1.0,317.0,5.0,1.0,37.5,5.0,1.0,100.0,4.0,1.0,215.1,4.0,1.0,2202.0
5.0,3.0,60.1,5.0,3.0,189.0,5.0,2.0,57.2,5.0,2.0,129.4,4.0,2.0,295.8,4.0,2.0,1963.0
5.0,4.0,96.4,5.0,4.0,252.8,5.0,4.0,21.0,5.0,3.0,52.3,4.0,3.0,96.7,4.0,3.0,986.7
5.0,6.0,277.3,5.0,6.0,665.2,5.0,6.0,65.7,5.0,6.0,121.8,4.0,6.0,274.1,4.0,5.0,1737.0
6.0,2.0,755.0,6.0,1.0,821.6,6.0,1.0,274.9,6.0,1.0,554.5,6.0,1.0,759.1,5.0,1.0,2422.0
6.0,3.0,512.8,6.0,3.0,856.8,6.0,2.0,327.2,6.0,2.0,573.2,6.0,2.0,888.1,5.0,2.0,2639.0
6.0,4.0,570.9,6.0,4.0,813.2,6.0,4.0,161.0,6.0,3.0,329.9,6.0,3.0,512.3,5.0,3.0,1524.0
6.0,5.0,712.7,6.0,5.0,1257.0,6.0,5.0,200.4,6.0,5.0,368.5,6.0,4.0,599.0,5.0,4.0,1748.0
