1,新開 航,新開 航.1,2,土屋 智則,土屋 智則.1,3,今井 貴士,今井 貴士.1,4,佐藤　隆太郎,佐藤　隆太郎.1,5,君島 秀三,君島 秀三.1,6,白神 優,白神 優.1
2.0,3.0,14.9,1.0,3.0,94.2,1.0,2.0,189.0,1.0,2.0,39.8,1.0,2.0,115.2,1.0,2.0,812.2
2.0,4.0,9.7,1.0,4.0,49.6,1.0,4.0,139.6,1.0,3.0,77.9,1.0,3.0,196.3,1.0,3.0,1327.0
2.0,5.0,19.2,1.0,5.0,73.9,1.0,5.0,168.9,1.0,5.0,30.4,1.0,4.0,84.6,1.0,4.0,531.9
2.0,6.0,35.4,1.0,6.0,136.8,1.0,6.0,223.7,1.0,6.0,39.8,1.0,6.0,91.9,1.0,5.0,577.4
3.0,2.0,23.4,3.0,1.0,252.2,2.0,1.0,333.1,2.0,1.0,76.0,2.0,1.0,219.7,2.0,1.0,1275.0
3.0,4.0,21.3,3.0,4.0,337.7,2.0,4.0,367.9,2.0,3.0,181.4,2.0,3.0,583.4,2.0,3.0,2093.0
3.0,5.0,37.9,3.0,5.0,397.4,2.0,5.0,543.7,2.0,5.0,96.6,2.0,4.0,292.8,2.0,4.0,1305.0
3.0,6.0,61.4,3.0,6.0,593.1,2.0,6.0,524.8,2.0,6.0,107.7,2.0,6.0,326.7,2.0,5.0,1398.0
4.0,2.0,11.0,4.0,1.0,100.6,4.0,1.0,222.1,3.0,1.0,181.2,3.0,1.0,415.6,3.0,1.0,2276.0
4.0,3.0,19.2,4.0,3.0,304.6,4.0,2.0,353.3,3.0,2.0,246.5,3.0,2.0,897.9,3.0,2.0,2431.0
4.0,5.0,14.0,4.0,5.0,193.8,4.0,5.0,289.1,3.0,5.0,284.1,3.0,4.0,626.4,3.0,4.0,2127.0
4.0,6.0,24.4,4.0,6.0,269.6,4.0,6.0,316.2,3.0,6.0,285.7,3.0,6.0,790.9,3.0,5.0,2224.0
5.0,2.0,34.1,5.0,1.0,236.4,5.0,1.0,257.5,5.0,1.0,36.2,4.0,1.0,82.2,4.0,1.0,462.2
5.0,3.0,56.1,5.0,3.0,534.1,5.0,2.0,635.5,5.0,2.0,64.9,4.0,2.0,136.5,4.0,2.0,840.1
5.0,4.0,30.7,5.0,4.0,339.5,5.0,4.0,413.4,5.0,3.0,163.5,4.0,3.0,330.9,4.0,3.0,1755.0
5.0,6.0,45.6,5.0,6.0,444.3,5.0,6.0,429.2,5.0,6.0,40.3,4.0,6.0,87.8,4.0,5.0,434.5
6.0,2.0,104.8,6.0,1.0,529.0,6.0,1.0,802.2,6.0,1.0,63.2,6.0,1.0,165.6,5.0,1.0,690.4
6.0,3.0,167.8,6.0,3.0,998.7,6.0,2.0,1305.0,6.0,2.0,109.6,6.0,2.0,312.9,5.0,2.0,1154.0
6.0,4.0,80.5,6.0,4.0,717.0,6.0,4.0,1128.0,6.0,3.0,251.1,6.0,3.0,544.5,5.0,3.0,2224.0
6.0,5.0,95.6,6.0,5.0,644.9,6.0,5.0,1215.0,6.0,5.0,68.2,6.0,4.0,182.0,5.0,4.0,626.4
