1,田中 京介,田中 京介.1,2,池田 剛規,池田 剛規.1,3,小松 卓司,小松 卓司.1,4,松下 哲也,松下 哲也.1,5,江藤 敦宏,江藤 敦宏.1,6,幸野 史明,幸野 史明.1
2.0,3.0,7.3,1.0,3.0,38.4,1.0,2.0,114.7,1.0,2.0,28.2,1.0,2.0,406.7,1.0,2.0,510.0
2.0,4.0,6.0,1.0,4.0,27.2,1.0,4.0,123.1,1.0,3.0,44.9,1.0,3.0,590.3,1.0,3.0,861.6
2.0,5.0,38.5,1.0,5.0,137.9,1.0,5.0,340.0,1.0,5.0,49.6,1.0,4.0,400.1,1.0,4.0,567.8
2.0,6.0,25.1,1.0,6.0,79.5,1.0,6.0,266.2,1.0,6.0,42.8,1.0,6.0,524.5,1.0,5.0,1079.0
3.0,2.0,11.8,3.0,1.0,127.4,2.0,1.0,166.9,2.0,1.0,49.7,2.0,1.0,590.3,2.0,1.0,607.7
3.0,4.0,13.3,3.0,4.0,229.7,2.0,4.0,262.6,2.0,3.0,103.9,2.0,3.0,1190.0,2.0,3.0,1553.0
3.0,5.0,58.4,3.0,5.0,765.6,2.0,5.0,869.6,2.0,5.0,117.5,2.0,4.0,879.9,2.0,4.0,928.3
3.0,6.0,41.8,3.0,6.0,464.7,2.0,6.0,597.9,2.0,6.0,93.6,2.0,6.0,1098.0,2.0,5.0,2335.0
4.0,2.0,9.7,4.0,1.0,74.9,4.0,1.0,210.3,3.0,1.0,109.5,3.0,1.0,1046.0,3.0,1.0,1365.0
4.0,3.0,13.5,4.0,3.0,174.0,4.0,2.0,295.8,3.0,2.0,145.5,3.0,2.0,1924.0,3.0,2.0,2184.0
4.0,5.0,39.7,4.0,5.0,457.3,4.0,5.0,663.1,3.0,5.0,237.8,3.0,4.0,1657.0,3.0,4.0,1914.0
4.0,6.0,26.4,4.0,6.0,222.4,4.0,6.0,595.1,3.0,6.0,240.9,3.0,6.0,2395.0,3.0,5.0,2994.0
5.0,2.0,131.3,5.0,1.0,604.8,5.0,1.0,957.0,5.0,1.0,78.9,4.0,1.0,377.3,4.0,1.0,638.0
5.0,3.0,159.4,5.0,3.0,1209.0,5.0,2.0,1396.0,5.0,2.0,111.4,4.0,2.0,483.5,4.0,2.0,843.9
5.0,4.0,141.8,5.0,4.0,962.0,5.0,4.0,1345.0,5.0,3.0,215.1,4.0,3.0,857.6,4.0,3.0,1485.0
5.0,6.0,226.9,5.0,6.0,1237.0,5.0,6.0,1695.0,5.0,6.0,110.8,4.0,6.0,493.1,4.0,5.0,1335.0
6.0,2.0,100.0,6.0,1.0,353.3,6.0,1.0,863.6,6.0,1.0,90.3,6.0,1.0,867.6,5.0,1.0,1462.0
6.0,3.0,146.0,6.0,3.0,802.0,6.0,2.0,1171.0,6.0,2.0,120.8,6.0,2.0,1422.0,5.0,2.0,2834.0
6.0,4.0,103.0,6.0,4.0,477.9,6.0,4.0,1153.0,6.0,3.0,276.7,6.0,3.0,1838.0,5.0,3.0,2856.0
6.0,5.0,270.0,6.0,5.0,1411.0,6.0,5.0,2040.0,6.0,5.0,157.6,6.0,4.0,1054.0,5.0,4.0,1759.0
