1,吉永 泰弘,吉永 泰弘.1,2,吉田 祐貴,吉田 祐貴.1,3,桑原 啓,桑原 啓.1,4,長畑 友輔,長畑 友輔.1,5,木山 誠一,木山 誠一.1,6,中辻 崇人,中辻 崇人.1
2.0,3.0,43.1,1.0,3.0,106.4,1.0,2.0,129.7,1.0,2.0,188.9,1.0,2.0,527.3,1.0,2.0,16.5
2.0,4.0,62.4,1.0,4.0,99.7,1.0,4.0,115.5,1.0,3.0,203.0,1.0,3.0,953.0,1.0,3.0,16.9
2.0,5.0,125.6,1.0,5.0,271.1,1.0,5.0,218.7,1.0,5.0,357.7,1.0,4.0,1084.0,1.0,4.0,18.6
2.0,6.0,29.9,1.0,6.0,49.4,1.0,6.0,45.6,1.0,6.0,65.8,1.0,6.0,456.9,1.0,5.0,65.8
3.0,2.0,59.6,3.0,1.0,175.7,2.0,1.0,154.9,2.0,1.0,222.0,2.0,1.0,926.5,2.0,1.0,25.5
3.0,4.0,58.0,3.0,4.0,229.6,2.0,4.0,202.7,2.0,3.0,346.5,2.0,3.0,1569.0,2.0,3.0,32.5
3.0,5.0,142.6,3.0,5.0,549.0,2.0,5.0,394.7,2.0,5.0,860.7,2.0,4.0,1010.0,2.0,4.0,39.3
3.0,6.0,23.4,3.0,6.0,103.0,2.0,6.0,103.6,2.0,6.0,135.7,2.0,6.0,775.7,2.0,5.0,91.0
4.0,2.0,95.3,4.0,1.0,163.5,4.0,1.0,165.1,3.0,1.0,266.8,3.0,1.0,933.0,3.0,1.0,27.5
4.0,3.0,83.3,4.0,3.0,287.5,4.0,2.0,243.9,3.0,2.0,303.2,3.0,2.0,1375.0,3.0,2.0,40.1
4.0,5.0,200.3,4.0,5.0,635.3,4.0,5.0,374.7,3.0,5.0,546.8,3.0,4.0,1419.0,3.0,4.0,37.3
4.0,6.0,35.4,4.0,6.0,108.7,4.0,6.0,67.6,3.0,6.0,109.1,3.0,6.0,818.5,3.0,5.0,131.9
5.0,2.0,247.5,5.0,1.0,511.1,5.0,1.0,533.6,5.0,1.0,647.6,4.0,1.0,1224.0,4.0,1.0,34.2
5.0,3.0,341.2,5.0,3.0,833.8,5.0,2.0,452.2,5.0,2.0,855.2,4.0,2.0,1034.0,4.0,2.0,56.5
5.0,4.0,438.8,5.0,4.0,901.5,5.0,4.0,603.7,5.0,3.0,721.2,4.0,3.0,1499.0,4.0,3.0,48.8
5.0,6.0,182.0,5.0,6.0,437.4,5.0,6.0,298.4,5.0,6.0,290.6,4.0,6.0,601.0,4.0,5.0,106.6
6.0,2.0,22.3,6.0,1.0,58.6,6.0,1.0,41.4,6.0,1.0,50.8,6.0,1.0,401.8,5.0,1.0,134.4
6.0,3.0,18.8,6.0,3.0,77.4,6.0,2.0,68.2,6.0,2.0,89.9,6.0,2.0,580.0,5.0,2.0,126.9
6.0,4.0,23.1,6.0,4.0,78.5,6.0,4.0,48.8,6.0,3.0,76.3,6.0,3.0,753.8,5.0,3.0,177.8
6.0,5.0,81.3,6.0,5.0,303.9,6.0,5.0,160.7,6.0,5.0,138.4,6.0,4.0,549.0,5.0,4.0,174.8
