1,森野 正弘,森野 正弘.1,2,佐々木　完太,佐々木　完太.1,3,杉山 正樹,杉山 正樹.1,4,松田 竜馬,松田 竜馬.1,5,若林 義人,若林 義人.1,6,大峯 豊,大峯 豊.1
2.0,3.0,8.8,1.0,3.0,49.8,1.0,2.0,100.6,1.0,2.0,262.7,1.0,2.0,64.1,1.0,2.0,85.2
2.0,4.0,18.9,1.0,4.0,84.2,1.0,4.0,141.8,1.0,3.0,335.5,1.0,3.0,112.7,1.0,3.0,130.1
2.0,5.0,11.3,1.0,5.0,53.6,1.0,5.0,123.9,1.0,5.0,218.9,1.0,4.0,130.0,1.0,4.0,216.1
2.0,6.0,8.3,1.0,6.0,43.6,1.0,6.0,125.7,1.0,6.0,311.3,1.0,6.0,85.4,1.0,5.0,171.0
3.0,2.0,16.7,3.0,1.0,142.9,2.0,1.0,196.7,2.0,1.0,426.9,2.0,1.0,113.0,2.0,1.0,145.3
3.0,4.0,31.7,3.0,4.0,380.7,2.0,4.0,422.7,2.0,3.0,785.6,2.0,3.0,249.0,2.0,3.0,364.0
3.0,5.0,25.4,3.0,5.0,310.4,2.0,5.0,361.4,2.0,5.0,564.7,2.0,4.0,305.9,2.0,4.0,629.0
3.0,6.0,22.8,3.0,6.0,237.7,2.0,6.0,334.8,2.0,6.0,688.8,2.0,6.0,187.1,2.0,5.0,467.6
4.0,2.0,42.5,4.0,1.0,340.8,4.0,1.0,260.5,3.0,1.0,481.0,3.0,1.0,271.6,3.0,1.0,338.2
4.0,3.0,60.6,4.0,3.0,666.5,4.0,2.0,429.9,3.0,2.0,753.7,3.0,2.0,428.1,3.0,2.0,478.2
4.0,5.0,48.8,4.0,5.0,591.3,4.0,5.0,273.1,3.0,5.0,450.8,3.0,4.0,439.7,3.0,4.0,840.4
4.0,6.0,50.7,4.0,6.0,517.4,4.0,6.0,482.7,3.0,6.0,789.6,3.0,6.0,448.6,3.0,5.0,704.5
5.0,2.0,21.8,5.0,1.0,167.5,5.0,1.0,242.9,5.0,1.0,284.3,4.0,1.0,261.2,4.0,1.0,660.4
5.0,3.0,38.8,5.0,3.0,404.8,5.0,2.0,383.4,5.0,2.0,462.0,4.0,2.0,400.6,4.0,2.0,1057.0
5.0,4.0,50.7,5.0,4.0,521.2,5.0,4.0,343.0,5.0,3.0,469.5,4.0,3.0,431.1,4.0,3.0,1060.0
5.0,6.0,30.9,5.0,6.0,330.7,5.0,6.0,443.9,5.0,6.0,470.0,4.0,6.0,415.3,4.0,5.0,889.6
6.0,2.0,15.0,6.0,1.0,125.2,6.0,1.0,332.2,6.0,1.0,600.5,6.0,1.0,210.5,5.0,1.0,402.7
6.0,3.0,22.7,6.0,3.0,310.6,6.0,2.0,434.3,6.0,2.0,908.7,6.0,2.0,301.8,5.0,2.0,664.1
6.0,4.0,38.7,6.0,4.0,478.5,6.0,4.0,683.7,6.0,3.0,995.5,6.0,3.0,436.2,5.0,3.0,766.1
6.0,5.0,28.4,6.0,5.0,362.4,6.0,5.0,579.9,6.0,5.0,694.5,6.0,4.0,454.8,5.0,4.0,819.6
