first,second,third,odds
5,1695,4,2157.0
5,1,1099,4.0
3,1018,2,1388.0
4,1714,3,1906.0
6,1,1225,6.0
6,1,1290,6.0
3,2,1359,2.0
3,1305,2,915.3
4,2718,3,1601.0
5,2230,4,1906.0
