1,米丸 乃絵,米丸 乃絵.1,2,小松 卓司,小松 卓司.1,3,安部 慎一,安部 慎一.1,4,岡村 将也,岡村 将也.1,5,溝口　海義也,溝口　海義也.1,6,古賀 智之,古賀 智之.1
2.0,3.0,32.6,1.0,3.0,52.2,1.0,2.0,172.7,1.0,2.0,46.9,1.0,2.0,60.4,1.0,2.0,476.5
2.0,4.0,14.3,1.0,4.0,24.8,1.0,4.0,139.8,1.0,3.0,132.9,1.0,3.0,122.4,1.0,3.0,857.7
2.0,5.0,16.1,1.0,5.0,26.3,1.0,5.0,126.6,1.0,5.0,29.2,1.0,4.0,42.9,1.0,4.0,494.2
2.0,6.0,53.6,1.0,6.0,84.6,1.0,6.0,435.1,1.0,6.0,77.7,1.0,6.0,84.2,1.0,5.0,362.8
3.0,2.0,39.5,3.0,1.0,148.2,2.0,1.0,240.1,2.0,1.0,72.8,2.0,1.0,102.2,2.0,1.0,550.8
3.0,4.0,38.8,3.0,4.0,140.4,2.0,4.0,200.4,2.0,3.0,219.5,2.0,3.0,251.2,2.0,3.0,1264.0
3.0,5.0,38.2,3.0,5.0,173.7,2.0,5.0,237.3,2.0,5.0,62.5,2.0,4.0,93.6,2.0,4.0,702.2
3.0,6.0,112.6,3.0,6.0,363.9,2.0,6.0,412.6,2.0,6.0,121.5,2.0,6.0,139.4,2.0,5.0,508.8
4.0,2.0,18.1,4.0,1.0,56.4,4.0,1.0,261.0,3.0,1.0,321.9,3.0,1.0,272.3,3.0,1.0,1482.0
4.0,3.0,46.6,4.0,3.0,147.3,4.0,2.0,318.5,3.0,2.0,351.1,3.0,2.0,392.4,3.0,2.0,1501.0
4.0,5.0,14.5,4.0,5.0,54.3,4.0,5.0,224.4,3.0,5.0,238.2,3.0,4.0,353.2,3.0,4.0,1429.0
4.0,6.0,57.6,4.0,6.0,137.4,4.0,6.0,531.3,3.0,6.0,444.7,3.0,6.0,451.4,3.0,5.0,1264.0
5.0,2.0,22.0,5.0,1.0,66.5,5.0,1.0,216.3,5.0,1.0,32.7,4.0,1.0,49.2,4.0,1.0,625.4
5.0,3.0,54.1,5.0,3.0,196.5,5.0,2.0,372.9,5.0,2.0,46.1,4.0,2.0,71.2,4.0,2.0,714.8
5.0,4.0,20.1,5.0,4.0,76.0,5.0,4.0,271.6,5.0,3.0,137.7,4.0,3.0,202.1,4.0,3.0,1213.0
5.0,6.0,52.1,5.0,6.0,145.0,5.0,6.0,543.3,5.0,6.0,43.8,4.0,6.0,70.1,4.0,5.0,363.9
6.0,2.0,134.0,6.0,1.0,304.7,6.0,1.0,1111.0,6.0,1.0,176.3,6.0,1.0,157.3,5.0,1.0,496.2
6.0,3.0,219.5,6.0,3.0,638.7,6.0,2.0,1154.0,6.0,2.0,190.6,6.0,2.0,187.9,5.0,2.0,561.1
6.0,4.0,124.7,6.0,4.0,383.6,6.0,4.0,1200.0,6.0,3.0,443.1,6.0,3.0,404.3,5.0,3.0,1305.0
6.0,5.0,128.4,6.0,5.0,275.4,6.0,5.0,1072.0,6.0,5.0,114.1,6.0,4.0,159.9,5.0,4.0,408.4
