1,村田 敦,村田 敦.1,2,南野 利騰,南野 利騰.1,3,大塚 康雅,大塚 康雅.1,4,大賀 広幸,大賀 広幸.1,5,宇野 弥生,宇野 弥生.1,6,川原 正明,川原 正明.1
2.0,3.0,34.5,1.0,3.0,54.6,1.0,2.0,132.8,1.0,2.0,91.4,1.0,2.0,160.3,1.0,2.0,323.5
2.0,4.0,27.6,1.0,4.0,34.0,1.0,4.0,114.2,1.0,3.0,154.5,1.0,3.0,217.2,1.0,3.0,427.0
2.0,5.0,38.2,1.0,5.0,44.8,1.0,5.0,108.4,1.0,5.0,61.5,1.0,4.0,141.9,1.0,4.0,331.3
2.0,6.0,77.9,1.0,6.0,76.8,1.0,6.0,185.8,1.0,6.0,93.4,1.0,6.0,150.5,1.0,5.0,351.8
3.0,2.0,56.9,3.0,1.0,93.3,2.0,1.0,168.3,2.0,1.0,94.2,2.0,1.0,176.7,2.0,1.0,374.0
3.0,4.0,46.7,3.0,4.0,50.9,2.0,4.0,80.1,2.0,3.0,108.8,2.0,3.0,147.7,2.0,3.0,355.1
3.0,5.0,51.8,3.0,5.0,57.5,2.0,5.0,87.3,2.0,5.0,41.0,2.0,4.0,81.6,2.0,4.0,232.4
3.0,6.0,101.8,3.0,6.0,82.0,2.0,6.0,124.1,2.0,6.0,67.4,2.0,6.0,104.7,2.0,5.0,238.3
4.0,2.0,39.9,4.0,1.0,50.5,4.0,1.0,150.0,3.0,1.0,211.1,3.0,1.0,334.6,3.0,1.0,671.5
4.0,3.0,57.1,4.0,3.0,51.4,4.0,2.0,104.0,3.0,2.0,158.8,3.0,2.0,225.5,3.0,2.0,501.6
4.0,5.0,37.2,4.0,5.0,23.6,4.0,5.0,77.1,3.0,5.0,101.9,3.0,4.0,185.8,3.0,4.0,406.8
4.0,6.0,73.3,4.0,6.0,42.9,4.0,6.0,111.8,3.0,6.0,140.4,3.0,6.0,203.8,3.0,5.0,388.5
5.0,2.0,75.1,5.0,1.0,85.4,5.0,1.0,171.1,5.0,1.0,53.1,4.0,1.0,124.8,4.0,1.0,450.6
5.0,3.0,88.4,5.0,3.0,79.7,5.0,2.0,132.8,5.0,2.0,35.8,4.0,2.0,72.4,4.0,2.0,279.1
5.0,4.0,68.1,5.0,4.0,40.8,5.0,4.0,102.0,5.0,3.0,76.2,4.0,3.0,122.2,4.0,3.0,385.5
5.0,6.0,99.6,5.0,6.0,61.1,5.0,6.0,118.9,5.0,6.0,24.1,4.0,6.0,46.9,4.0,5.0,120.6
6.0,2.0,186.2,6.0,1.0,202.8,6.0,1.0,381.6,6.0,1.0,143.6,6.0,1.0,164.8,5.0,1.0,389.5
6.0,3.0,218.9,6.0,3.0,169.5,6.0,2.0,245.3,6.0,2.0,107.3,6.0,2.0,119.7,5.0,2.0,247.3
6.0,4.0,173.5,6.0,4.0,96.4,6.0,4.0,195.7,6.0,3.0,157.4,6.0,3.0,165.4,5.0,3.0,338.0
6.0,5.0,175.6,6.0,5.0,106.0,6.0,5.0,179.1,6.0,5.0,45.2,6.0,4.0,69.4,5.0,4.0,118.0
