1,平高 奈菜,平高 奈菜.1,2,細川 裕子,細川 裕子.1,3,土屋　実沙希,土屋　実沙希.1,4,土屋 千明,土屋 千明.1,5,宇野 弥生,宇野 弥生.1,6,刑部　亜里紗,刑部　亜里紗.1
2.0,3.0,6.8,1.0,3.0,29.9,1.0,2.0,64.1,1.0,2.0,122.7,1.0,2.0,279.0,1.0,2.0,132.6
2.0,4.0,7.1,1.0,4.0,29.7,1.0,4.0,81.3,1.0,3.0,178.2,1.0,3.0,462.6,1.0,3.0,232.6
2.0,5.0,20.5,1.0,5.0,58.9,1.0,5.0,155.7,1.0,5.0,230.6,1.0,4.0,469.8,1.0,4.0,247.7
2.0,6.0,17.2,1.0,6.0,50.4,1.0,6.0,127.1,1.0,6.0,169.1,1.0,6.0,443.8,1.0,5.0,362.7
3.0,2.0,11.5,3.0,1.0,85.4,2.0,1.0,119.7,2.0,1.0,200.1,2.0,1.0,395.4,2.0,1.0,198.4
3.0,4.0,13.1,3.0,4.0,129.7,2.0,4.0,172.4,2.0,3.0,349.3,2.0,3.0,756.3,2.0,3.0,365.7
3.0,5.0,36.5,3.0,5.0,320.6,2.0,5.0,410.8,2.0,5.0,511.7,2.0,4.0,734.8,2.0,4.0,351.1
3.0,6.0,25.4,3.0,6.0,239.2,2.0,6.0,282.8,2.0,6.0,323.7,2.0,6.0,749.5,2.0,5.0,593.2
4.0,2.0,13.6,4.0,1.0,103.2,4.0,1.0,163.9,3.0,1.0,284.7,3.0,1.0,893.0,3.0,1.0,490.2
4.0,3.0,20.0,4.0,3.0,178.7,4.0,2.0,213.6,3.0,2.0,389.1,3.0,2.0,1075.0,3.0,2.0,567.9
4.0,5.0,42.8,4.0,5.0,279.9,4.0,5.0,306.8,3.0,5.0,547.4,3.0,4.0,1572.0,3.0,4.0,676.7
4.0,6.0,26.2,4.0,6.0,184.7,4.0,6.0,206.7,3.0,6.0,374.0,3.0,6.0,1401.0,3.0,5.0,1122.0
5.0,2.0,51.9,5.0,1.0,267.5,5.0,1.0,508.3,5.0,1.0,374.1,4.0,1.0,686.4,4.0,1.0,505.2
5.0,3.0,84.5,5.0,3.0,473.6,5.0,2.0,658.4,5.0,2.0,528.0,4.0,2.0,938.3,4.0,2.0,550.3
5.0,4.0,92.6,5.0,4.0,480.2,5.0,4.0,774.8,5.0,3.0,743.2,4.0,3.0,1467.0,4.0,3.0,731.8
5.0,6.0,74.1,5.0,6.0,405.9,5.0,6.0,669.4,5.0,6.0,402.3,4.0,6.0,819.3,4.0,5.0,975.9
6.0,2.0,47.7,6.0,1.0,217.4,6.0,1.0,405.1,6.0,1.0,347.7,6.0,1.0,749.5,5.0,1.0,800.2
6.0,3.0,68.5,6.0,3.0,412.1,6.0,2.0,494.0,6.0,2.0,424.8,6.0,2.0,831.4,5.0,2.0,947.6
6.0,4.0,66.3,6.0,4.0,344.7,6.0,4.0,532.1,6.0,3.0,600.9,6.0,3.0,1321.0,5.0,3.0,1258.0
6.0,5.0,106.8,6.0,5.0,556.2,6.0,5.0,898.8,6.0,5.0,587.0,6.0,4.0,1139.0,5.0,4.0,1168.0
