1,宮下 元胤,宮下 元胤.1,2,亀山 雅幸,亀山 雅幸.1,3,大田 直弥,大田 直弥.1,4,若林 義人,若林 義人.1,5,杉山 勝匡,杉山 勝匡.1,6,大西 賢,大西 賢.1
2.0,3.0,9.5,1.0,3.0,19.4,1.0,2.0,124.1,1.0,2.0,22.4,1.0,2.0,533.6,1.0,2.0,1894.0
2.0,4.0,5.3,1.0,4.0,11.2,1.0,4.0,103.9,1.0,3.0,44.9,1.0,3.0,1043.0,1.0,3.0,2547.0
2.0,5.0,39.3,1.0,5.0,63.6,1.0,5.0,295.5,1.0,5.0,58.3,1.0,4.0,508.7,1.0,4.0,1357.0
2.0,6.0,70.7,1.0,6.0,111.6,1.0,6.0,470.8,1.0,6.0,83.8,1.0,6.0,907.9,1.0,5.0,2467.0
3.0,2.0,21.6,3.0,1.0,76.7,2.0,1.0,186.1,2.0,1.0,34.3,2.0,1.0,733.1,2.0,1.0,3598.0
3.0,4.0,16.4,3.0,4.0,86.2,2.0,4.0,201.1,2.0,3.0,77.6,2.0,3.0,1474.0,2.0,3.0,4407.0
3.0,5.0,69.7,3.0,5.0,282.6,2.0,5.0,593.4,2.0,5.0,120.5,2.0,4.0,773.6,2.0,4.0,1361.0
3.0,6.0,105.3,3.0,6.0,437.7,2.0,6.0,769.1,2.0,6.0,156.2,2.0,6.0,1426.0,2.0,5.0,2377.0
4.0,2.0,7.0,4.0,1.0,30.0,4.0,1.0,165.0,3.0,1.0,124.0,3.0,1.0,2293.0,3.0,1.0,4508.0
4.0,3.0,12.8,4.0,3.0,63.5,4.0,2.0,216.1,3.0,2.0,171.5,3.0,2.0,2668.0,3.0,2.0,5943.0
4.0,5.0,33.5,4.0,5.0,125.9,4.0,5.0,448.8,3.0,5.0,343.1,3.0,4.0,1913.0,3.0,4.0,2530.0
4.0,6.0,47.2,4.0,6.0,172.4,4.0,6.0,541.7,3.0,6.0,367.9,3.0,6.0,3189.0,3.0,5.0,5524.0
5.0,2.0,139.0,5.0,1.0,309.3,5.0,1.0,1177.0,5.0,1.0,109.1,4.0,1.0,553.2,4.0,1.0,1791.0
5.0,3.0,187.5,5.0,3.0,635.7,5.0,2.0,1410.0,5.0,2.0,139.6,4.0,2.0,655.9,4.0,2.0,1366.0
5.0,4.0,133.8,5.0,4.0,359.5,5.0,4.0,825.8,5.0,3.0,256.3,4.0,3.0,1376.0,4.0,3.0,2597.0
5.0,6.0,326.3,5.0,6.0,825.8,5.0,6.0,2167.0,5.0,6.0,171.8,4.0,6.0,847.2,4.0,5.0,1904.0
6.0,2.0,335.8,6.0,1.0,942.9,6.0,1.0,2131.0,6.0,1.0,226.8,6.0,1.0,1951.0,5.0,1.0,3922.0
6.0,3.0,443.2,6.0,3.0,1431.0,6.0,2.0,2280.0,6.0,2.0,276.0,6.0,2.0,1550.0,5.0,2.0,3665.0
6.0,4.0,305.0,6.0,4.0,695.4,6.0,4.0,1214.0,6.0,3.0,421.3,6.0,3.0,3598.0,5.0,3.0,5524.0
6.0,5.0,448.8,6.0,5.0,1532.0,6.0,5.0,3241.0,6.0,5.0,304.7,6.0,4.0,1361.0,5.0,4.0,1971.0
