1,宮下 元胤,宮下 元胤.1,2,伏島 祐介,伏島 祐介.1,3,渡辺 真至,渡辺 真至.1,4,矢野　真梨菜,矢野　真梨菜.1,5,清水 敦揮,清水 敦揮.1,6,渋谷 明憲,渋谷 明憲.1
2.0,3.0,39.7,1.0,3.0,92.3,1.0,2.0,98.4,1.0,2.0,609.3,1.0,2.0,39.7,1.0,2.0,158.6
2.0,4.0,139.3,1.0,4.0,328.7,1.0,4.0,244.8,1.0,3.0,536.7,1.0,3.0,19.6,1.0,3.0,144.3
2.0,5.0,27.7,1.0,5.0,70.8,1.0,5.0,25.5,1.0,5.0,249.1,1.0,4.0,94.9,1.0,4.0,404.8
2.0,6.0,47.2,1.0,6.0,98.9,1.0,6.0,49.6,1.0,6.0,374.2,1.0,6.0,14.5,1.0,5.0,75.2
3.0,2.0,33.5,3.0,1.0,208.6,2.0,1.0,236.0,2.0,1.0,1061.0,2.0,1.0,109.4,2.0,1.0,281.8
3.0,4.0,96.9,3.0,4.0,819.4,2.0,4.0,798.1,2.0,3.0,1562.0,2.0,3.0,199.8,2.0,3.0,682.0
3.0,5.0,10.7,3.0,5.0,274.7,2.0,5.0,256.9,2.0,5.0,1029.0,2.0,4.0,508.4,2.0,4.0,1361.0
3.0,6.0,21.7,3.0,6.0,388.0,2.0,6.0,390.7,2.0,6.0,1085.0,2.0,6.0,134.3,2.0,5.0,405.2
4.0,2.0,272.4,4.0,1.0,927.4,4.0,1.0,605.0,3.0,1.0,951.0,3.0,1.0,40.4,3.0,1.0,240.6
4.0,3.0,222.5,4.0,3.0,1623.0,4.0,2.0,1152.0,3.0,2.0,1570.0,3.0,2.0,166.1,3.0,2.0,663.2
4.0,5.0,132.8,4.0,5.0,1313.0,4.0,5.0,592.2,3.0,5.0,835.6,3.0,4.0,294.5,3.0,4.0,1114.0
4.0,6.0,191.9,4.0,6.0,1487.0,4.0,6.0,865.6,3.0,6.0,1096.0,3.0,6.0,52.0,3.0,5.0,220.9
5.0,2.0,20.9,5.0,1.0,160.3,5.0,1.0,42.1,5.0,1.0,224.0,4.0,1.0,189.8,4.0,1.0,733.9
5.0,3.0,9.3,5.0,3.0,256.1,5.0,2.0,164.8,5.0,2.0,644.2,4.0,2.0,587.1,4.0,2.0,1117.0
5.0,4.0,82.6,5.0,4.0,779.6,5.0,4.0,333.2,5.0,3.0,499.4,4.0,3.0,400.9,4.0,3.0,1600.0
5.0,6.0,9.8,5.0,6.0,243.9,5.0,6.0,62.3,5.0,6.0,194.6,4.0,6.0,161.7,4.0,5.0,487.8
6.0,2.0,72.0,6.0,1.0,292.3,6.0,1.0,124.9,6.0,1.0,592.2,6.0,1.0,22.4,5.0,1.0,69.3
6.0,3.0,44.0,6.0,3.0,639.4,6.0,2.0,385.3,6.0,2.0,1188.0,6.0,2.0,72.7,5.0,2.0,215.0
6.0,4.0,178.0,6.0,4.0,1461.0,6.0,4.0,675.2,6.0,3.0,1129.0,6.0,3.0,39.4,5.0,3.0,130.1
6.0,5.0,27.7,6.0,5.0,382.7,6.0,5.0,110.0,6.0,5.0,346.2,6.0,4.0,124.6,5.0,4.0,341.7
