1,高橋 竜矢,高橋 竜矢.1,2,胡本 悟志,胡本 悟志.1,3,鶴本 崇文,鶴本 崇文.1,4,石田 勇斗,石田 勇斗.1,5,國崎 良春,國崎 良春.1,6,海野　康志郎,海野　康志郎.1
2.0,3.0,83.0,1.0,3.0,502.7,1.0,2.0,157.2,1.0,2.0,908.3,1.0,2.0,280.8,1.0,2.0,82.3
2.0,4.0,170.5,1.0,4.0,942.6,1.0,4.0,78.5,1.0,3.0,404.9,1.0,3.0,77.8,1.0,3.0,19.2
2.0,5.0,73.0,1.0,5.0,736.0,1.0,5.0,58.7,1.0,5.0,483.2,1.0,4.0,246.4,1.0,4.0,68.2
2.0,6.0,51.6,1.0,6.0,426.5,1.0,6.0,39.0,1.0,6.0,332.7,1.0,6.0,47.9,1.0,5.0,23.0
3.0,2.0,67.4,3.0,1.0,882.2,2.0,1.0,357.8,2.0,1.0,1531.0,2.0,1.0,645.6,2.0,1.0,320.5
3.0,4.0,54.2,3.0,4.0,1382.0,2.0,4.0,399.2,2.0,3.0,1631.0,2.0,3.0,690.2,2.0,3.0,410.3
3.0,5.0,21.8,3.0,5.0,1354.0,2.0,5.0,517.0,2.0,5.0,1978.0,2.0,4.0,1175.0,2.0,4.0,659.5
3.0,6.0,13.3,3.0,6.0,773.0,2.0,6.0,346.0,2.0,6.0,1196.0,2.0,6.0,471.8,2.0,5.0,475.8
4.0,2.0,245.3,4.0,1.0,1631.0,4.0,1.0,83.1,3.0,1.0,308.6,3.0,1.0,142.9,3.0,1.0,39.6
4.0,3.0,142.0,4.0,3.0,2258.0,4.0,2.0,215.3,3.0,2.0,650.9,3.0,2.0,616.7,3.0,2.0,229.9
4.0,5.0,153.3,4.0,5.0,2407.0,4.0,5.0,110.4,3.0,5.0,386.9,3.0,4.0,365.6,3.0,4.0,131.1
4.0,6.0,79.1,4.0,6.0,1256.0,4.0,6.0,91.8,3.0,6.0,296.2,3.0,6.0,127.0,3.0,5.0,69.6
5.0,2.0,57.8,5.0,1.0,1046.0,5.0,1.0,107.7,5.0,1.0,759.8,4.0,1.0,646.7,4.0,1.0,256.8
5.0,3.0,20.1,5.0,3.0,1605.0,5.0,2.0,381.3,5.0,2.0,1301.0,4.0,2.0,1301.0,4.0,2.0,644.6
5.0,4.0,68.1,5.0,4.0,2529.0,5.0,4.0,175.0,5.0,3.0,793.0,4.0,3.0,687.9,4.0,3.0,266.8
5.0,6.0,10.7,5.0,6.0,857.6,5.0,6.0,104.3,5.0,6.0,562.9,4.0,6.0,453.1,4.0,5.0,348.1
6.0,2.0,25.7,6.0,1.0,717.5,6.0,1.0,59.5,6.0,1.0,472.4,6.0,1.0,62.0,5.0,1.0,42.7
6.0,3.0,6.9,6.0,3.0,1032.0,6.0,2.0,243.7,6.0,2.0,1077.0,6.0,2.0,341.3,5.0,2.0,296.9
6.0,4.0,31.1,6.0,4.0,1549.0,6.0,4.0,125.8,6.0,3.0,469.1,6.0,3.0,84.3,5.0,3.0,70.9
6.0,5.0,7.6,6.0,5.0,1098.0,6.0,5.0,85.8,6.0,5.0,586.8,6.0,4.0,239.4,5.0,4.0,198.2
