1,柳生 泰二,柳生 泰二.1,2,大串 重幸,大串 重幸.1,3,町田 洸希,町田 洸希.1,4,山本 梨菜,山本 梨菜.1,5,村本 大成,村本 大成.1,6,植竹 玲奈,植竹 玲奈.1
2.0,3.0,3.2,1.0,3.0,45.1,1.0,2.0,77.5,1.0,2.0,70.2,1.0,2.0,556.8,1.0,2.0,1801.0
2.0,4.0,4.8,1.0,4.0,60.6,1.0,4.0,86.3,1.0,3.0,125.7,1.0,3.0,651.2,1.0,3.0,3602.0
2.0,5.0,23.4,1.0,5.0,195.3,1.0,5.0,184.7,1.0,5.0,163.2,1.0,4.0,488.4,1.0,4.0,3493.0
2.0,6.0,164.9,1.0,6.0,533.6,1.0,6.0,860.2,1.0,6.0,565.0,1.0,6.0,2022.0,1.0,5.0,5011.0
3.0,2.0,6.6,3.0,1.0,163.0,2.0,1.0,192.7,2.0,1.0,134.5,2.0,1.0,960.6,2.0,1.0,3033.0
3.0,4.0,7.7,3.0,4.0,375.4,2.0,4.0,362.4,2.0,3.0,384.2,2.0,3.0,1557.0,2.0,3.0,4433.0
3.0,5.0,23.4,3.0,5.0,768.4,2.0,5.0,521.6,2.0,5.0,434.9,2.0,4.0,1557.0,2.0,4.0,3390.0
3.0,6.0,215.0,3.0,6.0,1459.0,2.0,6.0,1746.0,2.0,6.0,1141.0,2.0,6.0,3293.0,2.0,5.0,5763.0
4.0,2.0,10.1,4.0,1.0,191.1,4.0,1.0,241.6,3.0,1.0,315.8,3.0,1.0,1477.0,3.0,1.0,4269.0
4.0,3.0,13.6,4.0,3.0,453.8,4.0,2.0,410.2,3.0,2.0,438.3,3.0,2.0,1601.0,3.0,2.0,3974.0
4.0,5.0,37.0,4.0,5.0,1011.0,4.0,5.0,678.0,3.0,5.0,662.4,3.0,4.0,2022.0,3.0,4.0,4610.0
4.0,6.0,198.4,4.0,6.0,1670.0,4.0,6.0,1987.0,3.0,6.0,1423.0,3.0,6.0,2955.0,3.0,5.0,4116.0
5.0,2.0,83.2,5.0,1.0,711.5,5.0,1.0,654.9,5.0,1.0,363.6,4.0,1.0,847.6,4.0,1.0,3390.0
5.0,3.0,90.5,5.0,3.0,1226.0,5.0,2.0,817.5,5.0,2.0,523.9,4.0,2.0,1497.0,4.0,2.0,3842.0
5.0,4.0,116.9,5.0,4.0,1670.0,5.0,4.0,1152.0,5.0,3.0,674.1,4.0,3.0,1557.0,4.0,3.0,5239.0
5.0,6.0,505.5,5.0,6.0,3293.0,5.0,6.0,2881.0,5.0,6.0,1252.0,4.0,6.0,2881.0,4.0,5.0,5489.0
6.0,2.0,640.4,6.0,1.0,1646.0,6.0,1.0,2260.0,6.0,1.0,1440.0,6.0,1.0,4269.0,5.0,1.0,6067.0
6.0,3.0,715.9,6.0,3.0,3718.0,6.0,2.0,2505.0,6.0,2.0,1987.0,6.0,2.0,6067.0,5.0,2.0,5011.0
6.0,4.0,702.8,6.0,4.0,3033.0,6.0,4.0,3390.0,6.0,3.0,2401.0,6.0,3.0,4433.0,5.0,3.0,4433.0
6.0,5.0,1670.0,6.0,5.0,5239.0,6.0,5.0,3033.0,6.0,5.0,1646.0,6.0,4.0,3390.0,5.0,4.0,6067.0
