1,川田 正人,川田 正人.1,2,丸岡 正典,丸岡 正典.1,3,桂林 寛,桂林 寛.1,4,渡邉 和将,渡邉 和将.1,5,黒井 達矢,黒井 達矢.1,6,大町 利克,大町 利克.1
2.0,3.0,52.0,1.0,3.0,50.4,1.0,2.0,305.3,1.0,2.0,35.4,1.0,2.0,169.7,1.0,2.0,1784.0
2.0,4.0,23.3,1.0,4.0,19.5,1.0,4.0,296.7,1.0,3.0,136.2,1.0,3.0,433.8,1.0,3.0,3077.0
2.0,5.0,39.4,1.0,5.0,35.5,1.0,5.0,439.1,1.0,5.0,36.5,1.0,4.0,151.8,1.0,4.0,1458.0
2.0,6.0,220.5,1.0,6.0,180.9,1.0,6.0,870.5,1.0,6.0,136.6,1.0,6.0,392.0,1.0,5.0,2961.0
3.0,2.0,106.3,3.0,1.0,89.4,2.0,1.0,236.7,2.0,1.0,25.5,2.0,1.0,144.0,2.0,1.0,2220.0
3.0,4.0,99.9,3.0,4.0,34.3,2.0,4.0,88.8,2.0,3.0,43.2,2.0,3.0,228.1,2.0,3.0,2183.0
3.0,5.0,123.1,3.0,5.0,54.1,2.0,5.0,135.8,2.0,5.0,12.2,2.0,4.0,60.9,2.0,4.0,1070.0
3.0,6.0,422.1,3.0,6.0,236.7,2.0,6.0,435.7,2.0,6.0,54.2,2.0,6.0,215.5,2.0,5.0,2326.0
4.0,2.0,32.3,4.0,1.0,18.3,4.0,1.0,286.5,3.0,1.0,200.7,3.0,1.0,645.0,3.0,1.0,4114.0
4.0,3.0,83.5,4.0,3.0,23.9,4.0,2.0,121.4,3.0,2.0,89.5,3.0,2.0,409.2,3.0,2.0,3586.0
4.0,5.0,45.6,4.0,5.0,10.9,4.0,5.0,172.7,3.0,5.0,116.4,3.0,4.0,451.8,3.0,4.0,3369.0
4.0,6.0,208.4,4.0,6.0,63.2,4.0,6.0,603.2,3.0,6.0,393.6,3.0,6.0,1416.0,3.0,5.0,3722.0
5.0,2.0,89.3,5.0,1.0,60.9,5.0,1.0,503.0,5.0,1.0,22.6,4.0,1.0,59.2,4.0,1.0,1411.0
5.0,3.0,143.6,5.0,3.0,72.6,5.0,2.0,252.8,5.0,2.0,13.3,4.0,2.0,41.2,4.0,2.0,948.7
5.0,4.0,89.2,5.0,4.0,27.9,5.0,4.0,280.8,5.0,3.0,77.7,4.0,3.0,201.8,4.0,3.0,2605.0
5.0,6.0,383.5,5.0,6.0,151.6,5.0,6.0,1059.0,5.0,6.0,28.6,4.0,6.0,69.8,4.0,5.0,982.1
6.0,2.0,649.2,6.0,1.0,641.8,6.0,1.0,1729.0,6.0,1.0,194.3,6.0,1.0,654.7,5.0,1.0,3369.0
6.0,3.0,812.6,6.0,3.0,620.4,6.0,2.0,1406.0,6.0,2.0,122.3,6.0,2.0,486.1,5.0,2.0,2259.0
6.0,4.0,603.2,6.0,4.0,303.2,6.0,4.0,1601.0,6.0,3.0,464.7,6.0,3.0,1290.0,5.0,3.0,4295.0
6.0,5.0,898.5,6.0,5.0,429.0,6.0,5.0,1916.0,6.0,5.0,113.6,6.0,4.0,395.2,5.0,4.0,1269.0
