1,杉山 勝匡,杉山 勝匡.1,2,岡部 大輝,岡部 大輝.1,3,横田 貴満,横田 貴満.1,4,大田 直弥,大田 直弥.1,5,間嶋 仁志,間嶋 仁志.1,6,大西 賢,大西 賢.1
2.0,3.0,35.0,1.0,3.0,35.0,1.0,2.0,69.7,1.0,2.0,365.6,1.0,2.0,29.3,1.0,2.0,882.8
2.0,4.0,48.2,1.0,4.0,51.8,1.0,4.0,95.3,1.0,3.0,334.0,1.0,3.0,33.8,1.0,3.0,1404.0
2.0,5.0,28.9,1.0,5.0,35.0,1.0,5.0,66.2,1.0,5.0,409.2,1.0,4.0,77.5,1.0,4.0,1817.0
2.0,6.0,143.3,1.0,6.0,138.8,1.0,6.0,194.3,1.0,6.0,510.7,1.0,6.0,193.7,1.0,5.0,1404.0
3.0,2.0,42.0,3.0,1.0,32.7,2.0,1.0,59.9,2.0,1.0,332.2,2.0,1.0,28.2,2.0,1.0,1261.0
3.0,4.0,76.7,3.0,4.0,27.8,2.0,4.0,48.2,2.0,3.0,234.9,2.0,3.0,15.9,2.0,3.0,561.7
3.0,5.0,43.8,3.0,5.0,16.9,2.0,5.0,31.5,2.0,5.0,269.8,2.0,4.0,49.9,2.0,4.0,1261.0
3.0,6.0,144.7,3.0,6.0,59.7,2.0,6.0,86.1,2.0,6.0,334.0,2.0,6.0,110.7,2.0,5.0,735.6
4.0,2.0,177.5,4.0,1.0,130.3,4.0,1.0,124.0,3.0,1.0,326.9,3.0,1.0,37.2,3.0,1.0,1931.0
4.0,3.0,156.0,4.0,3.0,60.2,4.0,2.0,87.7,3.0,2.0,222.2,3.0,2.0,21.3,3.0,2.0,561.7
4.0,5.0,177.0,4.0,5.0,79.5,4.0,5.0,91.9,3.0,5.0,216.8,3.0,4.0,69.6,3.0,4.0,1261.0
4.0,6.0,514.9,4.0,6.0,156.8,4.0,6.0,160.5,3.0,6.0,347.1,3.0,6.0,154.1,3.0,5.0,650.4
5.0,2.0,25.4,5.0,1.0,41.8,5.0,1.0,67.5,5.0,1.0,411.9,4.0,1.0,269.8,4.0,1.0,1765.0
5.0,3.0,33.1,5.0,3.0,19.1,5.0,2.0,36.0,5.0,2.0,278.3,4.0,2.0,107.8,4.0,2.0,1261.0
5.0,4.0,54.5,5.0,4.0,42.7,5.0,4.0,63.1,5.0,3.0,251.2,4.0,3.0,154.8,4.0,3.0,1103.0
5.0,6.0,163.4,5.0,6.0,101.8,5.0,6.0,147.8,5.0,6.0,451.0,4.0,6.0,409.2,4.0,5.0,1544.0
6.0,2.0,261.8,6.0,1.0,312.1,6.0,1.0,330.4,6.0,1.0,936.3,6.0,1.0,498.3,5.0,1.0,1507.0
6.0,3.0,451.0,6.0,3.0,171.6,6.0,2.0,205.9,6.0,2.0,735.6,6.0,2.0,208.0,5.0,2.0,702.2
6.0,4.0,582.9,6.0,4.0,271.0,6.0,4.0,339.5,6.0,3.0,710.3,6.0,3.0,301.4,5.0,3.0,686.6
6.0,5.0,561.7,6.0,5.0,173.5,6.0,5.0,217.5,6.0,5.0,727.0,6.0,4.0,582.9,5.0,4.0,1670.0
