1,近藤　雄一郎,近藤　雄一郎.1,2,渡邉 翼,渡邉 翼.1,3,坂井 康嗣,坂井 康嗣.1,4,大橋　栄里佳,大橋　栄里佳.1,5,下河 雅史,下河 雅史.1,6,松崎　祐太郎,松崎　祐太郎.1
2.0,3.0,13.6,1.0,3.0,22.5,1.0,2.0,64.7,1.0,2.0,468.9,1.0,2.0,148.3,1.0,2.0,67.1
2.0,4.0,37.9,1.0,4.0,63.0,1.0,4.0,164.6,1.0,3.0,591.3,1.0,3.0,211.6,1.0,3.0,113.9
2.0,5.0,27.3,1.0,5.0,27.8,1.0,5.0,90.1,1.0,5.0,496.4,1.0,4.0,455.6,1.0,4.0,268.9
2.0,6.0,16.2,1.0,6.0,19.9,1.0,6.0,55.7,1.0,6.0,348.1,1.0,6.0,104.5,1.0,5.0,137.2
3.0,2.0,16.8,3.0,1.0,39.4,2.0,1.0,74.6,2.0,1.0,510.6,2.0,1.0,182.7,2.0,1.0,80.7
3.0,4.0,47.8,3.0,4.0,130.2,2.0,4.0,178.1,2.0,3.0,702.3,2.0,3.0,202.5,2.0,3.0,99.9
3.0,5.0,38.1,3.0,5.0,46.4,2.0,5.0,68.5,2.0,5.0,611.5,2.0,4.0,517.1,2.0,4.0,201.8
3.0,6.0,26.4,3.0,6.0,34.0,2.0,6.0,40.7,2.0,6.0,324.2,2.0,6.0,82.7,2.0,5.0,103.9
4.0,2.0,95.7,4.0,1.0,185.2,4.0,1.0,283.6,3.0,1.0,784.5,3.0,1.0,299.5,3.0,1.0,153.1
4.0,3.0,138.6,4.0,3.0,238.6,4.0,2.0,290.3,3.0,2.0,734.4,3.0,2.0,244.4,3.0,2.0,131.0
4.0,5.0,142.9,4.0,5.0,213.3,4.0,5.0,231.7,3.0,5.0,769.5,3.0,4.0,721.2,3.0,4.0,443.0
4.0,6.0,84.6,4.0,6.0,104.0,4.0,6.0,174.2,3.0,6.0,494.8,3.0,6.0,110.8,3.0,5.0,261.1
5.0,2.0,52.3,5.0,1.0,107.5,5.0,1.0,144.6,5.0,1.0,623.4,4.0,1.0,724.5,4.0,1.0,410.3
5.0,3.0,69.9,5.0,3.0,107.4,5.0,2.0,107.6,5.0,2.0,675.7,4.0,2.0,784.5,4.0,2.0,335.0
5.0,4.0,141.4,5.0,4.0,253.6,5.0,4.0,259.0,5.0,3.0,833.3,4.0,3.0,974.7,4.0,3.0,587.0
5.0,6.0,53.0,5.0,6.0,52.5,5.0,6.0,62.1,5.0,6.0,295.6,4.0,6.0,321.6,4.0,5.0,416.6
6.0,2.0,42.2,6.0,1.0,57.4,6.0,1.0,92.3,6.0,1.0,421.0,6.0,1.0,115.6,5.0,1.0,177.9
6.0,3.0,50.2,6.0,3.0,52.1,6.0,2.0,75.9,6.0,2.0,330.2,6.0,2.0,95.4,5.0,2.0,113.2
6.0,4.0,129.2,6.0,4.0,109.9,6.0,4.0,181.7,6.0,3.0,496.4,6.0,3.0,134.0,5.0,3.0,227.4
6.0,5.0,67.3,6.0,5.0,56.9,6.0,5.0,82.4,6.0,5.0,345.1,6.0,4.0,266.7,5.0,4.0,297.2
