1,谷口 健一,谷口 健一.1,2,中岡 健人,中岡 健人.1,3,鈴木 峻佑,鈴木 峻佑.1,4,宮嵜　隆太郎,宮嵜　隆太郎.1,5,宮地 秀祈,宮地 秀祈.1,6,嘉手苅　徹哉,嘉手苅　徹哉.1
2.0,3.0,8.0,1.0,3.0,26.5,1.0,2.0,73.7,1.0,2.0,49.9,1.0,2.0,103.7,1.0,2.0,572.4
2.0,4.0,8.8,1.0,4.0,26.9,1.0,4.0,92.0,1.0,3.0,118.6,1.0,3.0,158.0,1.0,3.0,1063.0
2.0,5.0,11.6,1.0,5.0,29.5,1.0,5.0,64.0,1.0,5.0,45.2,1.0,4.0,126.0,1.0,4.0,952.9
2.0,6.0,92.2,1.0,6.0,187.1,1.0,6.0,447.7,1.0,6.0,203.4,1.0,6.0,398.6,1.0,5.0,1240.0
3.0,2.0,13.4,3.0,1.0,63.7,2.0,1.0,112.5,2.0,1.0,79.1,2.0,1.0,129.6,2.0,1.0,789.2
3.0,4.0,21.5,3.0,4.0,121.5,2.0,4.0,172.4,2.0,3.0,176.9,2.0,3.0,235.7,2.0,3.0,1680.0
3.0,5.0,23.1,3.0,5.0,109.9,2.0,5.0,109.9,2.0,5.0,63.2,2.0,4.0,156.7,2.0,4.0,1383.0
3.0,6.0,147.7,3.0,6.0,449.0,2.0,6.0,679.4,2.0,6.0,254.9,2.0,6.0,499.2,2.0,5.0,1420.0
4.0,2.0,17.7,4.0,1.0,71.0,4.0,1.0,177.3,3.0,1.0,200.6,3.0,1.0,232.2,3.0,1.0,2029.0
4.0,3.0,27.5,4.0,3.0,138.1,4.0,2.0,231.1,3.0,2.0,230.8,3.0,2.0,284.6,3.0,2.0,2083.0
4.0,5.0,27.7,4.0,5.0,119.3,4.0,5.0,198.0,3.0,5.0,168.7,3.0,4.0,322.2,3.0,4.0,1488.0
4.0,6.0,109.9,4.0,6.0,363.4,4.0,6.0,730.2,3.0,6.0,673.6,3.0,6.0,1335.0,3.0,5.0,2480.0
5.0,2.0,28.7,5.0,1.0,94.7,5.0,1.0,142.2,5.0,1.0,53.7,4.0,1.0,114.2,4.0,1.0,1124.0
5.0,3.0,35.9,5.0,3.0,149.9,5.0,2.0,158.9,5.0,2.0,56.1,4.0,2.0,125.3,4.0,2.0,1202.0
5.0,4.0,47.5,5.0,4.0,159.1,5.0,4.0,216.1,5.0,3.0,150.2,4.0,3.0,267.1,4.0,3.0,1433.0
5.0,6.0,162.2,5.0,6.0,463.7,5.0,6.0,781.3,5.0,6.0,141.9,4.0,6.0,287.2,4.0,5.0,1420.0
6.0,2.0,275.6,6.0,1.0,758.6,6.0,1.0,1420.0,6.0,1.0,308.2,6.0,1.0,710.3,5.0,1.0,2029.0
6.0,3.0,442.7,6.0,3.0,1433.0,6.0,2.0,1860.0,6.0,2.0,378.3,6.0,2.0,733.7,5.0,2.0,1736.0
6.0,4.0,353.5,6.0,4.0,1124.0,6.0,4.0,1460.0,6.0,3.0,747.7,6.0,3.0,1532.0,5.0,3.0,2232.0
6.0,5.0,396.6,6.0,5.0,1100.0,6.0,5.0,1796.0,6.0,5.0,304.0,6.0,4.0,587.5,5.0,4.0,1460.0
