1,松田　大志郎,松田　大志郎.1,2,竹間 隆晟,竹間 隆晟.1,3,井手 良太,井手 良太.1,4,佐々木　英樹,佐々木　英樹.1,5,泥谷 一毅,泥谷 一毅.1,6,森永 隆,森永 隆.1
2.0,3.0,7.8,1.0,3.0,21.6,1.0,2.0,147.1,1.0,2.0,330.9,1.0,2.0,57.5,1.0,2.0,102.6
2.0,4.0,19.9,1.0,4.0,38.6,1.0,4.0,267.4,1.0,3.0,670.2,1.0,3.0,162.0,1.0,3.0,230.1
2.0,5.0,14.1,1.0,5.0,30.2,1.0,5.0,274.5,1.0,5.0,549.6,1.0,4.0,219.8,1.0,4.0,288.4
2.0,6.0,6.4,1.0,6.0,16.7,1.0,6.0,151.4,1.0,6.0,465.4,1.0,6.0,98.4,1.0,5.0,206.3
3.0,2.0,19.6,3.0,1.0,71.6,2.0,1.0,196.0,2.0,1.0,416.7,2.0,1.0,74.4,2.0,1.0,139.9
3.0,4.0,46.3,3.0,4.0,195.7,2.0,4.0,358.3,2.0,3.0,994.4,2.0,3.0,168.6,2.0,3.0,374.4
3.0,5.0,55.4,3.0,5.0,166.4,2.0,5.0,369.4,2.0,5.0,799.7,2.0,4.0,243.8,2.0,4.0,447.9
3.0,6.0,22.9,3.0,6.0,99.7,2.0,6.0,254.7,2.0,6.0,734.7,2.0,6.0,115.1,2.0,5.0,327.9
4.0,2.0,53.3,4.0,1.0,155.1,4.0,1.0,578.9,3.0,1.0,973.3,3.0,1.0,399.3,3.0,1.0,415.4
4.0,3.0,84.7,4.0,3.0,284.1,4.0,2.0,693.4,3.0,2.0,1394.0,3.0,2.0,370.3,3.0,2.0,627.0
4.0,5.0,126.6,4.0,5.0,325.5,4.0,5.0,1166.0,3.0,5.0,1657.0,3.0,4.0,843.9,3.0,4.0,992.9
4.0,6.0,74.6,4.0,6.0,244.8,4.0,6.0,823.3,3.0,6.0,1358.0,3.0,6.0,534.0,3.0,5.0,992.9
5.0,2.0,39.2,5.0,1.0,75.3,5.0,1.0,666.7,5.0,1.0,719.8,4.0,1.0,466.1,4.0,1.0,503.8
5.0,3.0,85.2,5.0,3.0,161.4,5.0,2.0,743.2,5.0,2.0,839.5,4.0,2.0,469.2,4.0,2.0,554.3
5.0,4.0,144.5,5.0,4.0,285.7,5.0,4.0,1370.0,5.0,3.0,1447.0,4.0,3.0,890.8,4.0,3.0,989.8
5.0,6.0,56.5,5.0,6.0,122.4,5.0,6.0,935.0,5.0,6.0,873.8,4.0,6.0,564.6,4.0,5.0,759.9
6.0,2.0,14.1,6.0,1.0,54.8,6.0,1.0,252.2,6.0,1.0,644.6,6.0,1.0,174.1,5.0,1.0,313.0
6.0,3.0,26.1,6.0,3.0,109.4,6.0,2.0,349.9,6.0,2.0,768.1,6.0,2.0,182.0,5.0,2.0,393.0
6.0,4.0,51.1,6.0,4.0,196.3,6.0,4.0,687.4,6.0,3.0,1309.0,6.0,3.0,411.1,5.0,3.0,950.2
6.0,5.0,40.8,6.0,5.0,133.4,6.0,5.0,699.4,6.0,5.0,929.6,6.0,4.0,432.5,5.0,4.0,801.7
