1,丸岡 正典,丸岡 正典.1,2,萩原 秀人,萩原 秀人.1,3,大庭 元明,大庭 元明.1,4,佐竹 太一,佐竹 太一.1,5,檀 将太,檀 将太.1,6,原村 拓也,原村 拓也.1
2.0,3.0,4.5,1.0,3.0,23.6,1.0,2.0,137.0,1.0,2.0,50.7,1.0,2.0,1130.0,1.0,2.0,687.3
2.0,4.0,3.3,1.0,4.0,12.8,1.0,4.0,166.9,1.0,3.0,139.4,1.0,3.0,2347.0,1.0,3.0,1787.0
2.0,5.0,46.2,1.0,5.0,120.1,1.0,5.0,551.8,1.0,5.0,259.3,1.0,4.0,1658.0,1.0,4.0,1204.0
2.0,6.0,19.4,1.0,6.0,55.4,1.0,6.0,367.4,1.0,6.0,125.3,1.0,6.0,1648.0,1.0,5.0,3112.0
3.0,2.0,12.1,3.0,1.0,98.4,2.0,1.0,237.9,2.0,1.0,72.8,2.0,1.0,1406.0,2.0,1.0,687.3
3.0,4.0,19.2,3.0,4.0,148.6,2.0,4.0,321.7,2.0,3.0,247.5,2.0,3.0,2473.0,2.0,3.0,2638.0
3.0,5.0,109.7,3.0,5.0,651.8,2.0,5.0,1049.0,2.0,5.0,418.4,2.0,4.0,1897.0,2.0,4.0,1556.0
3.0,6.0,62.6,3.0,6.0,386.3,2.0,6.0,746.6,2.0,6.0,195.6,2.0,6.0,2147.0,2.0,5.0,4014.0
4.0,2.0,8.9,4.0,1.0,45.1,4.0,1.0,341.5,3.0,1.0,419.7,3.0,1.0,3297.0,3.0,1.0,3297.0
4.0,3.0,22.1,4.0,3.0,119.3,4.0,2.0,379.4,3.0,2.0,468.7,3.0,2.0,4695.0,3.0,2.0,5036.0
4.0,5.0,89.2,4.0,5.0,435.5,4.0,5.0,1090.0,3.0,5.0,1458.0,3.0,4.0,4695.0,3.0,4.0,4397.0
4.0,6.0,38.8,4.0,6.0,176.3,4.0,6.0,810.0,3.0,6.0,855.0,3.0,6.0,4617.0,3.0,5.0,5771.0
5.0,2.0,205.3,5.0,1.0,713.9,5.0,1.0,1539.0,5.0,1.0,570.0,4.0,1.0,1573.0,4.0,1.0,1497.0
5.0,3.0,348.4,5.0,3.0,1385.0,5.0,2.0,2052.0,5.0,2.0,651.8,4.0,2.0,1937.0,4.0,2.0,1720.0
5.0,4.0,269.7,5.0,4.0,1033.0,5.0,4.0,2367.0,5.0,3.0,1420.0,4.0,3.0,5226.0,4.0,3.0,4328.0
5.0,6.0,407.9,5.0,6.0,1300.0,5.0,6.0,2289.0,5.0,6.0,744.6,4.0,6.0,2451.0,4.0,5.0,5036.0
6.0,2.0,116.8,6.0,1.0,347.5,6.0,1.0,1276.0,6.0,1.0,305.4,6.0,1.0,2147.0,5.0,1.0,3378.0
6.0,3.0,232.0,6.0,3.0,817.1,6.0,2.0,1582.0,6.0,2.0,348.8,6.0,2.0,2388.0,5.0,2.0,3551.0
6.0,4.0,177.3,6.0,4.0,464.0,6.0,4.0,1910.0,6.0,3.0,847.1,6.0,3.0,4197.0,5.0,3.0,5540.0
6.0,5.0,442.5,6.0,5.0,1331.0,6.0,5.0,2388.0,6.0,5.0,860.3,6.0,4.0,3462.0,5.0,4.0,5226.0
