1,宇野 弥生,宇野 弥生.1,2,横井 光弘,横井 光弘.1,3,田山 和広,田山 和広.1,4,三苫 晃幸,三苫 晃幸.1,5,立間 充宏,立間 充宏.1,6,水原 慎,水原 慎.1
2.0,3.0,64.3,1.0,3.0,317.6,1.0,2.0,543.8,1.0,2.0,95.9,1.0,2.0,29.0,1.0,2.0,747.4
2.0,4.0,22.8,1.0,4.0,197.9,1.0,4.0,332.8,1.0,3.0,251.0,1.0,3.0,61.7,1.0,3.0,1205.0
2.0,5.0,14.7,1.0,5.0,161.0,1.0,5.0,197.2,1.0,5.0,33.5,1.0,4.0,16.1,1.0,4.0,706.9
2.0,6.0,60.1,1.0,6.0,432.2,1.0,6.0,661.5,1.0,6.0,148.8,1.0,6.0,25.4,1.0,5.0,310.6
3.0,2.0,89.7,3.0,1.0,766.7,2.0,1.0,980.1,2.0,1.0,297.4,2.0,1.0,109.8,2.0,1.0,1560.0
3.0,4.0,52.8,3.0,4.0,1588.0,2.0,4.0,1358.0,2.0,3.0,840.1,2.0,3.0,372.6,2.0,3.0,2989.0
3.0,5.0,35.6,3.0,5.0,1021.0,2.0,5.0,1194.0,2.0,5.0,261.0,2.0,4.0,161.8,2.0,4.0,2378.0
3.0,6.0,129.1,3.0,6.0,2050.0,2.0,6.0,1871.0,2.0,6.0,522.1,2.0,6.0,201.7,2.0,5.0,1814.0
4.0,2.0,19.6,4.0,1.0,371.1,4.0,1.0,548.8,3.0,1.0,570.5,3.0,1.0,178.2,3.0,1.0,2989.0
4.0,3.0,43.0,4.0,3.0,1331.0,4.0,2.0,1145.0,3.0,2.0,1108.0,3.0,2.0,486.0,3.0,2.0,4386.0
4.0,5.0,8.5,4.0,5.0,405.1,4.0,5.0,446.3,3.0,5.0,399.0,3.0,4.0,272.6,3.0,4.0,2816.0
4.0,6.0,38.3,4.0,6.0,1072.0,4.0,6.0,1173.0,3.0,6.0,874.4,3.0,6.0,306.3,3.0,5.0,2050.0
5.0,2.0,10.3,5.0,1.0,250.8,5.0,1.0,263.7,5.0,1.0,32.6,4.0,1.0,27.3,4.0,1.0,1004.0
5.0,3.0,23.9,5.0,3.0,794.0,5.0,2.0,760.1,5.0,2.0,91.1,4.0,2.0,89.9,4.0,2.0,1845.0
5.0,4.0,7.4,5.0,4.0,422.3,5.0,4.0,407.2,5.0,3.0,211.1,4.0,3.0,177.1,4.0,3.0,2140.0
5.0,6.0,15.5,5.0,6.0,917.9,5.0,6.0,590.0,5.0,6.0,76.2,4.0,6.0,59.5,4.0,5.0,644.7
6.0,2.0,114.7,6.0,1.0,935.6,6.0,1.0,1458.0,6.0,1.0,344.1,6.0,1.0,51.7,5.0,1.0,279.3
6.0,3.0,246.8,6.0,3.0,2560.0,6.0,2.0,1754.0,6.0,2.0,565.1,6.0,2.0,126.0,5.0,2.0,755.8
6.0,4.0,107.0,6.0,4.0,1845.0,6.0,4.0,1602.0,6.0,3.0,880.2,6.0,3.0,199.3,5.0,3.0,1037.0
6.0,5.0,64.1,6.0,5.0,1458.0,6.0,5.0,1241.0,6.0,5.0,237.6,6.0,4.0,83.9,5.0,4.0,447.8
