1,國弘 翔平,國弘 翔平.1,2,森清 友翔,森清 友翔.1,3,今井 貴士,今井 貴士.1,4,田中 宏樹,田中 宏樹.1,5,松崎　祐太郎,松崎　祐太郎.1,6,渡辺 崇,渡辺 崇.1
2.0,3.0,72.5,1.0,3.0,108.4,1.0,2.0,54.5,1.0,2.0,65.9,1.0,2.0,261.2,1.0,2.0,1295.0
2.0,4.0,170.8,1.0,4.0,184.5,1.0,4.0,30.1,1.0,3.0,38.2,1.0,3.0,86.3,1.0,3.0,816.7
2.0,5.0,118.2,1.0,5.0,153.7,1.0,5.0,17.8,1.0,5.0,59.7,1.0,4.0,199.0,1.0,4.0,1183.0
2.0,6.0,244.5,1.0,6.0,353.6,1.0,6.0,50.9,1.0,6.0,117.0,1.0,6.0,259.3,1.0,5.0,1067.0
3.0,2.0,56.0,3.0,1.0,125.8,2.0,1.0,89.7,2.0,1.0,85.6,2.0,1.0,460.8,2.0,1.0,1563.0
3.0,4.0,45.6,3.0,4.0,138.8,2.0,4.0,76.7,2.0,3.0,58.5,2.0,3.0,169.0,2.0,3.0,835.5
3.0,5.0,24.7,3.0,5.0,90.8,2.0,5.0,50.9,2.0,5.0,81.4,2.0,4.0,323.3,2.0,4.0,1164.0
3.0,6.0,74.7,3.0,6.0,224.9,2.0,6.0,100.0,2.0,6.0,142.5,2.0,6.0,394.4,2.0,5.0,1189.0
4.0,2.0,158.2,4.0,1.0,273.2,4.0,1.0,36.0,3.0,1.0,33.2,3.0,1.0,68.4,3.0,1.0,531.3
4.0,3.0,90.7,4.0,3.0,189.3,4.0,2.0,54.4,3.0,2.0,46.9,3.0,2.0,114.9,3.0,2.0,677.7
4.0,5.0,126.6,4.0,5.0,228.4,4.0,5.0,17.2,3.0,5.0,23.0,3.0,4.0,57.5,3.0,4.0,410.6
4.0,6.0,230.4,4.0,6.0,527.4,4.0,6.0,36.9,3.0,6.0,48.9,3.0,6.0,76.4,3.0,5.0,317.7
5.0,2.0,134.8,5.0,1.0,264.0,5.0,1.0,18.8,5.0,1.0,81.0,4.0,1.0,219.1,4.0,1.0,968.5
5.0,3.0,50.6,5.0,3.0,137.6,5.0,2.0,37.0,5.0,2.0,107.1,4.0,2.0,252.1,4.0,2.0,931.4
5.0,4.0,130.7,5.0,4.0,230.4,5.0,4.0,14.4,5.0,3.0,36.7,4.0,3.0,85.8,4.0,3.0,481.1
5.0,6.0,179.7,5.0,6.0,398.0,5.0,6.0,20.7,5.0,6.0,80.6,4.0,6.0,168.3,4.0,5.0,591.6
6.0,2.0,496.3,6.0,1.0,734.5,6.0,1.0,117.8,6.0,1.0,222.6,6.0,1.0,391.5,5.0,1.0,981.6
6.0,3.0,259.0,6.0,3.0,583.7,6.0,2.0,148.0,6.0,2.0,241.6,6.0,2.0,502.0,5.0,2.0,1083.0
6.0,4.0,459.8,6.0,4.0,686.2,6.0,4.0,68.5,6.0,3.0,105.4,6.0,3.0,170.2,5.0,3.0,374.1
6.0,5.0,407.6,6.0,5.0,651.4,6.0,5.0,57.9,6.0,5.0,144.8,6.0,4.0,258.7,5.0,4.0,559.8
