1,中辻 博訓,中辻 博訓.1,2,松井 賢治,松井 賢治.1,3,中村 辰也,中村 辰也.1,4,樋口 亮,樋口 亮.1,5,松本 博昭,松本 博昭.1,6,田中 豪,田中 豪.1
2.0,3.0,6.1,1.0,3.0,57.8,1.0,2.0,58.7,1.0,2.0,108.0,1.0,2.0,451.7,1.0,2.0,290.0
2.0,4.0,8.6,1.0,4.0,64.0,1.0,4.0,45.7,1.0,3.0,114.1,1.0,3.0,420.2,1.0,3.0,357.6
2.0,5.0,17.7,1.0,5.0,110.2,1.0,5.0,67.5,1.0,5.0,151.3,1.0,4.0,497.3,1.0,4.0,392.5
2.0,6.0,23.5,1.0,6.0,115.2,1.0,6.0,84.9,1.0,6.0,156.7,1.0,6.0,585.8,1.0,5.0,539.0
3.0,2.0,7.4,3.0,1.0,151.1,2.0,1.0,159.4,2.0,1.0,250.9,2.0,1.0,783.8,2.0,1.0,495.4
3.0,4.0,9.7,3.0,4.0,284.6,2.0,4.0,233.2,2.0,3.0,368.5,2.0,3.0,1357.0,2.0,3.0,766.0
3.0,5.0,15.4,3.0,5.0,446.3,2.0,5.0,388.5,2.0,5.0,477.9,2.0,4.0,1213.0,2.0,4.0,705.1
3.0,6.0,23.5,3.0,6.0,511.6,2.0,6.0,391.4,2.0,6.0,430.1,2.0,6.0,1426.0,2.0,5.0,1266.0
4.0,2.0,16.3,4.0,1.0,197.3,4.0,1.0,154.8,3.0,1.0,222.3,3.0,1.0,705.1,3.0,1.0,662.9
4.0,3.0,19.0,4.0,3.0,355.7,4.0,2.0,252.9,3.0,2.0,381.0,3.0,2.0,1310.0,3.0,2.0,889.1
4.0,5.0,34.1,4.0,5.0,532.6,4.0,5.0,299.1,3.0,5.0,456.9,3.0,4.0,1198.0,3.0,4.0,945.1
4.0,6.0,34.9,4.0,6.0,436.5,4.0,6.0,302.4,3.0,6.0,452.6,3.0,6.0,1467.0,3.0,5.0,1445.0
5.0,2.0,47.2,5.0,1.0,486.2,5.0,1.0,309.5,5.0,1.0,261.2,4.0,1.0,700.7,4.0,1.0,666.2
5.0,3.0,51.6,5.0,3.0,959.9,5.0,2.0,569.9,5.0,2.0,432.0,4.0,2.0,1019.0,4.0,2.0,811.1
5.0,4.0,75.4,5.0,4.0,910.7,5.0,4.0,521.1,5.0,3.0,487.9,4.0,3.0,1056.0,4.0,3.0,968.2
5.0,6.0,77.4,5.0,6.0,1102.0,5.0,6.0,596.1,5.0,6.0,384.9,4.0,6.0,925.7,4.0,5.0,1268.0
6.0,2.0,63.7,6.0,1.0,423.6,6.0,1.0,336.0,6.0,1.0,340.8,6.0,1.0,1233.0,5.0,1.0,1339.0
6.0,3.0,72.1,6.0,3.0,801.5,6.0,2.0,563.7,6.0,2.0,467.0,6.0,2.0,1823.0,5.0,2.0,1752.0
6.0,4.0,83.4,6.0,4.0,706.6,6.0,4.0,598.2,6.0,3.0,554.5,6.0,3.0,1734.0,5.0,3.0,1730.0
6.0,5.0,116.1,6.0,5.0,1242.0,6.0,5.0,819.0,6.0,5.0,539.8,6.0,4.0,1394.0,5.0,4.0,1489.0
