1,米田 隆弘,米田 隆弘.1,2,佐藤 大騎,佐藤 大騎.1,3,守田 俊介,守田 俊介.1,4,中島 浩哉,中島 浩哉.1,5,金田 大輔,金田 大輔.1,6,和田 拓也,和田 拓也.1
2.0,3.0,16.1,1.0,3.0,56.8,1.0,2.0,29.8,1.0,2.0,361.9,1.0,2.0,539.5,1.0,2.0,66.2
2.0,4.0,47.8,1.0,4.0,131.4,1.0,4.0,29.4,1.0,3.0,197.8,1.0,3.0,352.5,1.0,3.0,36.9
2.0,5.0,98.9,1.0,5.0,326.8,1.0,5.0,50.6,1.0,5.0,334.5,1.0,4.0,511.5,1.0,4.0,116.6
2.0,6.0,22.6,1.0,6.0,65.4,1.0,6.0,11.8,1.0,6.0,132.7,1.0,6.0,239.2,1.0,5.0,152.1
3.0,2.0,10.8,3.0,1.0,92.7,2.0,1.0,75.7,2.0,1.0,545.2,2.0,1.0,783.6,2.0,1.0,179.3
3.0,4.0,16.5,3.0,4.0,332.3,2.0,4.0,178.9,2.0,3.0,896.0,2.0,3.0,989.4,2.0,3.0,199.4
3.0,5.0,33.4,3.0,5.0,492.8,2.0,5.0,241.5,2.0,5.0,628.1,2.0,4.0,1063.0,2.0,4.0,371.4
3.0,6.0,7.7,3.0,6.0,145.8,2.0,6.0,80.8,2.0,6.0,440.3,2.0,6.0,899.1,2.0,5.0,544.0
4.0,2.0,75.0,4.0,1.0,317.9,4.0,1.0,91.1,3.0,1.0,207.6,3.0,1.0,444.1,3.0,1.0,45.8
4.0,3.0,45.2,4.0,3.0,600.1,4.0,2.0,230.0,3.0,2.0,717.8,3.0,2.0,851.3,3.0,2.0,107.2
4.0,5.0,120.0,4.0,5.0,1076.0,4.0,5.0,176.9,3.0,5.0,435.8,3.0,4.0,942.1,3.0,4.0,147.7
4.0,6.0,48.7,4.0,6.0,490.9,4.0,6.0,71.9,3.0,6.0,212.6,3.0,6.0,465.9,3.0,5.0,194.2
5.0,2.0,211.4,5.0,1.0,813.5,5.0,1.0,189.1,5.0,1.0,455.9,4.0,1.0,565.7,4.0,1.0,254.2
5.0,3.0,116.8,5.0,3.0,956.2,5.0,2.0,327.7,5.0,2.0,840.2,4.0,2.0,1001.0,4.0,2.0,471.9
5.0,4.0,213.9,5.0,4.0,1281.0,5.0,4.0,267.7,5.0,3.0,623.5,4.0,3.0,851.3,4.0,3.0,275.8
5.0,6.0,124.2,5.0,6.0,1020.0,5.0,6.0,140.5,5.0,6.0,296.2,4.0,6.0,472.8,4.0,5.0,399.7
6.0,2.0,29.3,6.0,1.0,177.4,6.0,1.0,26.0,6.0,1.0,192.9,6.0,1.0,360.9,5.0,1.0,393.0
6.0,3.0,15.1,6.0,3.0,274.3,6.0,2.0,72.1,6.0,2.0,499.5,6.0,2.0,845.7,5.0,2.0,647.1
6.0,4.0,46.6,6.0,4.0,563.2,6.0,4.0,76.1,6.0,3.0,268.6,6.0,3.0,461.7,5.0,3.0,425.6
6.0,5.0,70.2,6.0,5.0,1020.0,6.0,5.0,105.9,6.0,5.0,295.5,6.0,4.0,593.2,5.0,4.0,497.6
