1,前田 将太,前田 将太.1,2,原田　才一郎,原田　才一郎.1,3,富永 修一,富永 修一.1,4,土井 歩夢,土井 歩夢.1,5,米丸 乃絵,米丸 乃絵.1,6,山口 広樹,山口 広樹.1
2.0,3.0,3.2,1.0,3.0,22.0,1.0,2.0,72.9,1.0,2.0,587.0,1.0,2.0,118.5,1.0,2.0,1603.0
2.0,4.0,16.4,1.0,4.0,67.6,1.0,4.0,265.0,1.0,3.0,928.5,1.0,3.0,176.2,1.0,3.0,1960.0
2.0,5.0,5.1,1.0,5.0,27.5,1.0,5.0,120.7,1.0,5.0,752.5,1.0,4.0,519.7,1.0,4.0,2603.0
2.0,6.0,28.4,1.0,6.0,95.2,1.0,6.0,354.0,1.0,6.0,971.1,1.0,6.0,441.0,1.0,5.0,2284.0
3.0,2.0,6.9,3.0,1.0,84.8,2.0,1.0,128.8,2.0,1.0,907.3,2.0,1.0,205.5,2.0,1.0,2117.0
3.0,4.0,30.8,3.0,4.0,287.6,2.0,4.0,474.7,2.0,3.0,2048.0,2.0,3.0,422.3,2.0,3.0,3736.0
3.0,5.0,12.5,3.0,5.0,148.5,2.0,5.0,248.4,2.0,5.0,1328.0,2.0,4.0,1048.0,2.0,4.0,3175.0
3.0,6.0,53.2,3.0,6.0,378.0,2.0,6.0,658.8,2.0,6.0,2145.0,2.0,6.0,1065.0,2.0,5.0,4234.0
4.0,2.0,54.8,4.0,1.0,460.2,4.0,1.0,983.2,3.0,1.0,1680.0,3.0,1.0,363.3,3.0,1.0,3414.0
4.0,3.0,98.1,4.0,3.0,799.9,4.0,2.0,1483.0,3.0,2.0,2691.0,3.0,2.0,523.1,3.0,2.0,3920.0
4.0,5.0,105.5,4.0,5.0,654.7,4.0,5.0,1270.0,3.0,5.0,2405.0,3.0,4.0,2131.0,3.0,4.0,4962.0
4.0,6.0,212.8,4.0,6.0,1159.0,4.0,6.0,1984.0,3.0,6.0,3083.0,3.0,6.0,1825.0,3.0,5.0,5475.0
5.0,2.0,14.2,5.0,1.0,138.4,5.0,1.0,297.9,5.0,1.0,1072.0,4.0,1.0,1130.0,4.0,1.0,4536.0
5.0,3.0,22.3,5.0,3.0,230.9,5.0,2.0,414.0,5.0,2.0,1443.0,4.0,2.0,1764.0,4.0,2.0,4019.0
5.0,4.0,84.2,5.0,4.0,541.0,5.0,4.0,992.4,5.0,3.0,2268.0,4.0,3.0,2810.0,4.0,3.0,6351.0
5.0,6.0,96.6,5.0,6.0,664.3,5.0,6.0,1306.0,5.0,6.0,1814.0,4.0,6.0,2369.0,4.0,5.0,4811.0
6.0,2.0,166.7,6.0,1.0,959.4,6.0,1.0,1534.0,6.0,1.0,2810.0,6.0,1.0,1202.0,5.0,1.0,2887.0
6.0,3.0,242.0,6.0,3.0,1603.0,6.0,2.0,2048.0,6.0,2.0,3736.0,6.0,2.0,1857.0,5.0,2.0,4885.0
6.0,4.0,363.7,6.0,4.0,2062.0,6.0,4.0,2668.0,6.0,3.0,4472.0,6.0,3.0,2581.0,5.0,3.0,5475.0
6.0,5.0,259.0,6.0,5.0,1579.0,6.0,5.0,2603.0,6.0,5.0,2500.0,6.0,4.0,2761.0,5.0,4.0,4124.0
