1,向後 龍一,向後 龍一.1,2,石田 章央,石田 章央.1,3,岡本 猛,岡本 猛.1,4,尾上 雅也,尾上 雅也.1,5,長尾　京志郎,長尾　京志郎.1,6,田中 宏樹,田中 宏樹.1
2.0,3.0,14.3,1.0,3.0,67.0,1.0,2.0,215.1,1.0,2.0,17.9,1.0,2.0,585.0,1.0,2.0,52.1
2.0,4.0,7.2,1.0,4.0,27.9,1.0,4.0,165.9,1.0,3.0,46.4,1.0,3.0,750.9,1.0,3.0,90.1
2.0,5.0,46.5,1.0,5.0,143.7,1.0,5.0,415.8,1.0,5.0,51.1,1.0,4.0,506.5,1.0,4.0,55.5
2.0,6.0,30.9,1.0,6.0,96.0,1.0,6.0,298.3,1.0,6.0,36.3,1.0,6.0,780.0,1.0,5.0,157.6
3.0,2.0,27.3,3.0,1.0,171.7,2.0,1.0,266.6,2.0,1.0,30.3,2.0,1.0,788.2,2.0,1.0,67.9
3.0,4.0,23.6,3.0,4.0,192.5,2.0,4.0,322.8,2.0,3.0,86.0,2.0,3.0,1487.0,2.0,3.0,135.0
3.0,5.0,73.6,3.0,5.0,449.2,2.0,5.0,855.2,2.0,5.0,100.8,2.0,4.0,766.2,2.0,4.0,83.0
3.0,6.0,59.3,3.0,6.0,305.8,2.0,6.0,586.2,2.0,6.0,60.8,2.0,6.0,940.4,2.0,5.0,251.9
4.0,2.0,8.8,4.0,1.0,47.5,4.0,1.0,246.0,3.0,1.0,141.4,3.0,1.0,1391.0,3.0,1.0,254.3
4.0,3.0,17.6,4.0,3.0,141.8,4.0,2.0,314.4,3.0,2.0,194.2,3.0,2.0,2082.0,3.0,2.0,277.4
4.0,5.0,39.0,4.0,5.0,231.5,4.0,5.0,818.1,3.0,5.0,310.5,3.0,4.0,2012.0,3.0,4.0,315.4
4.0,6.0,23.5,4.0,6.0,125.6,4.0,6.0,476.9,3.0,6.0,230.4,3.0,6.0,1898.0,3.0,5.0,595.4
5.0,2.0,150.7,5.0,1.0,525.9,5.0,1.0,1009.0,5.0,1.0,103.6,4.0,1.0,475.4,4.0,1.0,79.2
5.0,3.0,166.4,5.0,3.0,800.7,5.0,2.0,1197.0,5.0,2.0,139.1,4.0,2.0,543.9,4.0,2.0,95.6
5.0,4.0,129.8,5.0,4.0,578.3,5.0,4.0,1397.0,5.0,3.0,261.6,4.0,3.0,999.6,4.0,3.0,186.0
5.0,6.0,234.2,5.0,6.0,875.0,5.0,6.0,1564.0,5.0,6.0,136.4,4.0,6.0,598.9,4.0,5.0,252.8
6.0,2.0,54.5,6.0,1.0,201.6,6.0,1.0,684.5,6.0,1.0,57.1,6.0,1.0,1134.0,5.0,1.0,445.2
6.0,3.0,87.2,6.0,3.0,429.4,6.0,2.0,813.7,6.0,2.0,72.9,6.0,2.0,1273.0,5.0,2.0,531.5
6.0,4.0,48.2,6.0,4.0,206.7,6.0,4.0,736.3,6.0,3.0,161.1,6.0,3.0,1556.0,5.0,3.0,717.0
6.0,5.0,156.6,6.0,5.0,687.6,6.0,5.0,1605.0,6.0,5.0,135.6,6.0,4.0,1066.0,5.0,4.0,515.1
