first,second,third,odds
4,1,1766,3.0
5,1404,4,2863.0
5,1,1953,4.0
3,2,1249,2.0
3,1418,2,3206.0
4,1620,3,3390.0
6,1,1189,6.0
6,1,1528,5.0
3,2,1536,2.0
3,1322,2,3138.0
4,1724,3,3470.0
5,1878,4,3241.0
