1,深川 真二,深川 真二.1,2,中辻 博訓,中辻 博訓.1,3,尾上 雅也,尾上 雅也.1,4,向後 龍一,向後 龍一.1,5,伊藤 啓三,伊藤 啓三.1,6,福田 雅一,福田 雅一.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,欠場
2,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,5,欠場
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,欠場,3,4,3.6,2,4,14.5,2,3,33.6,2,3,欠場,2,3,30.9
3,5,欠場,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,45.9
3,6,欠場,3,6,5.5,2,6,17.3,2,6,30.3,2,6,欠場,2,5,欠場
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,6.6,4,2,30.4,3,2,47.7,3,2,欠場,3,2,43.7
4,5,欠場,4,5,欠場,4,5,欠場,3,5,欠場,3,4,欠場,3,4,66.1
4,6,欠場,4,6,9.4,4,6,41.2,3,6,53.0,3,6,欠場,3,5,欠場
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,欠場
5,3,欠場,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,62.5
5,4,欠場,5,4,欠場,5,4,欠場,5,3,欠場,4,3,欠場,4,3,71.4
5,6,欠場,5,6,欠場,5,6,欠場,5,6,欠場,4,6,欠場,4,5,欠場
6,2,欠場,6,1,欠場,6,1,欠場,6,1,欠場,6,1,欠場,5,1,欠場
6,3,欠場,6,3,13.6,6,2,38.2,6,2,39.5,6,2,欠場,5,2,欠場
6,4,欠場,6,4,17.6,6,4,54.5,6,3,52.8,6,3,欠場,5,3,欠場
6,5,欠場,6,5,欠場,6,5,欠場,6,5,欠場,6,4,欠場,5,4,欠場
