1,日高 逸子,日高 逸子.1,2,戸敷 晃美,戸敷 晃美.1,3,深川　麻奈美,深川　麻奈美.1,4,野田部　宏子,野田部　宏子.1,5,冨名腰　桃奈,冨名腰　桃奈.1,6,中尾 優香,中尾 優香.1
2.0,3.0,6.0,1.0,3.0,12.0,1.0,2.0,26.4,1.0,2.0,78.6,1.0,2.0,293.2,1.0,2.0,1182.0
2.0,4.0,13.6,1.0,4.0,30.9,1.0,4.0,35.0,1.0,3.0,80.7,1.0,3.0,248.2,1.0,3.0,1067.0
2.0,5.0,26.1,1.0,5.0,40.0,1.0,5.0,56.2,1.0,5.0,148.8,1.0,4.0,482.0,1.0,4.0,1732.0
2.0,6.0,75.2,1.0,6.0,126.9,1.0,6.0,173.1,1.0,6.0,293.6,1.0,6.0,699.3,1.0,5.0,2100.0
3.0,2.0,5.9,3.0,1.0,35.4,2.0,1.0,50.4,2.0,1.0,123.7,2.0,1.0,424.0,2.0,1.0,1702.0
3.0,4.0,9.0,3.0,4.0,86.0,2.0,4.0,90.3,2.0,3.0,168.7,2.0,3.0,725.0,2.0,3.0,2468.0
3.0,5.0,18.1,3.0,5.0,155.0,2.0,5.0,174.1,2.0,5.0,263.8,2.0,4.0,969.5,2.0,4.0,3053.0
3.0,6.0,69.4,3.0,6.0,374.9,2.0,6.0,392.3,2.0,6.0,507.6,2.0,6.0,1874.0,2.0,5.0,3634.0
4.0,2.0,27.8,4.0,1.0,106.8,4.0,1.0,73.6,3.0,1.0,126.6,3.0,1.0,348.6,3.0,1.0,1678.0
4.0,3.0,23.8,4.0,3.0,159.6,4.0,2.0,108.6,3.0,2.0,179.1,3.0,2.0,648.1,3.0,2.0,2417.0
4.0,5.0,73.6,4.0,5.0,313.7,4.0,5.0,185.0,3.0,5.0,348.8,3.0,4.0,839.0,3.0,4.0,2961.0
4.0,6.0,173.5,4.0,6.0,680.1,4.0,6.0,417.4,3.0,6.0,732.2,3.0,6.0,1579.0,3.0,5.0,3424.0
5.0,2.0,71.3,5.0,1.0,179.6,5.0,1.0,152.9,5.0,1.0,237.3,4.0,1.0,729.5,4.0,1.0,2323.0
5.0,3.0,59.3,5.0,3.0,305.8,5.0,2.0,269.8,5.0,2.0,303.6,4.0,2.0,927.0,4.0,2.0,3006.0
5.0,4.0,123.1,5.0,4.0,484.3,5.0,4.0,281.6,5.0,3.0,470.5,4.0,3.0,1033.0,4.0,3.0,3117.0
5.0,6.0,240.1,5.0,6.0,868.5,5.0,6.0,549.5,5.0,6.0,568.5,4.0,6.0,1583.0,4.0,5.0,3547.0
6.0,2.0,237.6,6.0,1.0,653.8,6.0,1.0,699.3,6.0,1.0,667.0,6.0,1.0,1981.0,5.0,1.0,3365.0
6.0,3.0,259.7,6.0,3.0,1016.0,6.0,2.0,1057.0,6.0,2.0,718.9,6.0,2.0,2768.0,5.0,2.0,3975.0
6.0,4.0,309.6,6.0,4.0,1010.0,6.0,4.0,680.8,6.0,3.0,1101.0,6.0,3.0,2520.0,5.0,3.0,3547.0
6.0,5.0,361.2,6.0,5.0,1226.0,6.0,5.0,940.2,6.0,5.0,1035.0,6.0,4.0,1987.0,5.0,4.0,3444.0
