1,實森 美祐,實森 美祐.1,2,廣中　智紗衣,廣中　智紗衣.1,3,深川　麻奈美,深川　麻奈美.1,4,大橋　栄里佳,大橋　栄里佳.1,5,水口 由紀,水口 由紀.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,5.1,1.0,3.0,9.0,1.0,2.0,23.1,1.0,2.0,373.2,1.0,2.0,682.1,1.0,2.0,313.4
2.0,4.0,21.4,1.0,4.0,36.7,1.0,4.0,69.7,1.0,3.0,503.1,1.0,3.0,911.0,1.0,3.0,423.2
2.0,5.0,38.9,1.0,5.0,67.1,1.0,5.0,107.9,1.0,5.0,795.8,1.0,4.0,1318.0,1.0,4.0,1136.0
2.0,6.0,19.9,1.0,6.0,28.4,1.0,6.0,50.8,1.0,6.0,652.5,1.0,6.0,1311.0,1.0,5.0,1328.0
3.0,2.0,7.0,3.0,1.0,15.3,2.0,1.0,25.7,2.0,1.0,452.2,2.0,1.0,799.4,2.0,1.0,346.3
3.0,4.0,23.5,3.0,4.0,47.9,2.0,4.0,67.9,2.0,3.0,407.0,2.0,3.0,1131.0,2.0,3.0,291.7
3.0,5.0,44.8,3.0,5.0,75.0,2.0,5.0,94.3,2.0,5.0,826.2,2.0,4.0,1566.0,2.0,4.0,1016.0
3.0,6.0,23.1,3.0,6.0,27.7,2.0,6.0,38.7,2.0,6.0,647.6,2.0,6.0,1518.0,2.0,5.0,1341.0
4.0,2.0,69.6,4.0,1.0,144.8,4.0,1.0,156.9,3.0,1.0,653.1,3.0,1.0,1081.0,3.0,1.0,509.0
4.0,3.0,78.5,4.0,3.0,139.4,4.0,2.0,128.9,3.0,2.0,451.6,3.0,2.0,1057.0,3.0,2.0,326.8
4.0,5.0,216.2,4.0,5.0,360.7,4.0,5.0,299.8,3.0,5.0,1093.0,3.0,4.0,2091.0,3.0,4.0,1097.0
4.0,6.0,147.6,4.0,6.0,213.1,4.0,6.0,177.9,3.0,6.0,781.4,3.0,6.0,1580.0,3.0,5.0,1336.0
5.0,2.0,141.7,5.0,1.0,285.7,5.0,1.0,308.8,5.0,1.0,1047.0,4.0,1.0,1718.0,4.0,1.0,1555.0
5.0,3.0,183.1,5.0,3.0,304.3,5.0,2.0,272.2,5.0,2.0,1006.0,4.0,2.0,1866.0,4.0,2.0,1498.0
5.0,4.0,376.6,5.0,4.0,609.4,5.0,4.0,515.1,5.0,3.0,1644.0,4.0,3.0,2564.0,4.0,3.0,1535.0
5.0,6.0,289.5,5.0,6.0,421.1,5.0,6.0,342.7,5.0,6.0,1019.0,4.0,6.0,1961.0,4.0,5.0,1944.0
6.0,2.0,82.5,6.0,1.0,117.3,6.0,1.0,142.9,6.0,1.0,962.9,6.0,1.0,2177.0,5.0,1.0,2042.0
6.0,3.0,95.4,6.0,3.0,105.4,6.0,2.0,111.4,6.0,2.0,1003.0,6.0,2.0,2387.0,5.0,2.0,2143.0
6.0,4.0,250.4,6.0,4.0,311.0,6.0,4.0,297.2,6.0,3.0,1109.0,6.0,3.0,2545.0,5.0,3.0,2204.0
6.0,5.0,351.6,6.0,5.0,417.8,6.0,5.0,399.9,6.0,5.0,1334.0,6.0,4.0,2395.0,5.0,4.0,2191.0
