1,梶野 学志,梶野 学志.1,2,畑 竜生,畑 竜生.1,3,北川 潤二,北川 潤二.1,4,郷原 章平,郷原 章平.1,5,浜野 孝志,浜野 孝志.1,6,森 照夫,森 照夫.1
2.0,3.0,7.7,1.0,3.0,35.6,1.0,2.0,64.6,1.0,2.0,118.9,1.0,2.0,401.6,1.0,2.0,551.5
2.0,4.0,11.2,1.0,4.0,46.0,1.0,4.0,47.7,1.0,3.0,92.1,1.0,3.0,365.9,1.0,3.0,739.0
2.0,5.0,18.4,1.0,5.0,64.6,1.0,5.0,71.1,1.0,5.0,132.4,1.0,4.0,405.0,1.0,4.0,779.0
2.0,6.0,28.7,1.0,6.0,85.5,1.0,6.0,105.1,1.0,6.0,167.8,1.0,6.0,524.3,1.0,5.0,1072.0
3.0,2.0,9.4,3.0,1.0,90.5,2.0,1.0,141.3,2.0,1.0,249.7,2.0,1.0,605.5,2.0,1.0,802.0
3.0,4.0,7.7,3.0,4.0,136.4,2.0,4.0,182.6,2.0,3.0,334.4,2.0,3.0,712.1,2.0,3.0,1087.0
3.0,5.0,14.7,3.0,5.0,163.3,2.0,5.0,225.8,2.0,5.0,412.5,2.0,4.0,1202.0,2.0,4.0,1304.0
3.0,6.0,27.0,3.0,6.0,191.4,2.0,6.0,263.0,2.0,6.0,451.3,2.0,6.0,933.6,2.0,5.0,1451.0
4.0,2.0,17.4,4.0,1.0,152.3,4.0,1.0,100.8,3.0,1.0,158.4,3.0,1.0,578.3,3.0,1.0,1159.0
4.0,3.0,14.6,4.0,3.0,204.7,4.0,2.0,195.4,3.0,2.0,305.9,3.0,2.0,744.6,3.0,2.0,1170.0
4.0,5.0,28.7,4.0,5.0,288.4,4.0,5.0,168.4,3.0,5.0,249.6,3.0,4.0,777.8,3.0,4.0,1382.0
4.0,6.0,40.8,4.0,6.0,282.9,4.0,6.0,248.8,3.0,6.0,364.0,3.0,6.0,1153.0,3.0,5.0,2127.0
5.0,2.0,46.4,5.0,1.0,254.6,5.0,1.0,282.8,5.0,1.0,207.9,4.0,1.0,559.1,4.0,1.0,1104.0
5.0,3.0,44.5,5.0,3.0,349.4,5.0,2.0,393.6,5.0,2.0,355.5,4.0,2.0,1019.0,4.0,2.0,1438.0
5.0,4.0,62.2,5.0,4.0,546.0,5.0,4.0,365.6,5.0,3.0,320.6,4.0,3.0,704.9,4.0,3.0,1568.0
5.0,6.0,99.5,5.0,6.0,465.9,5.0,6.0,570.8,5.0,6.0,309.6,4.0,6.0,768.0,4.0,5.0,1798.0
6.0,2.0,93.8,6.0,1.0,325.5,6.0,1.0,369.2,6.0,1.0,398.0,6.0,1.0,1137.0,5.0,1.0,1867.0
6.0,3.0,96.0,6.0,3.0,508.5,6.0,2.0,534.1,6.0,2.0,604.0,6.0,2.0,1301.0,5.0,2.0,1926.0
6.0,4.0,120.4,6.0,4.0,572.8,6.0,4.0,519.3,6.0,3.0,655.8,6.0,3.0,1614.0,5.0,3.0,2352.0
6.0,5.0,162.1,6.0,5.0,751.5,6.0,5.0,760.8,6.0,5.0,554.7,6.0,4.0,1355.0,5.0,4.0,2055.0
