1,郷原 章平,郷原 章平.1,2,梶野 学志,梶野 学志.1,3,高山 秀雄,高山 秀雄.1,4,為本 智也,為本 智也.1,5,國弘 翔平,國弘 翔平.1,6,岡部 大輝,岡部 大輝.1
2.0,3.0,11.5,1.0,3.0,68.8,1.0,2.0,465.5,1.0,2.0,27.2,1.0,2.0,238.3,1.0,2.0,323.4
2.0,4.0,4.8,1.0,4.0,23.0,1.0,4.0,539.3,1.0,3.0,98.0,1.0,3.0,647.8,1.0,3.0,1204.0
2.0,5.0,15.4,1.0,5.0,62.2,1.0,5.0,719.1,1.0,5.0,43.1,1.0,4.0,238.3,1.0,4.0,487.4
2.0,6.0,16.6,1.0,6.0,59.5,1.0,6.0,973.0,1.0,6.0,43.5,1.0,6.0,316.4,1.0,5.0,915.5
3.0,2.0,33.8,3.0,1.0,260.3,2.0,1.0,780.2,2.0,1.0,44.8,2.0,1.0,396.3,2.0,1.0,418.4
3.0,4.0,39.1,3.0,4.0,293.6,2.0,4.0,818.8,2.0,3.0,157.4,2.0,3.0,1198.0,2.0,3.0,1747.0
3.0,5.0,67.5,3.0,5.0,438.3,2.0,5.0,1278.0,2.0,5.0,89.7,2.0,4.0,490.3,2.0,4.0,611.1
3.0,6.0,79.9,3.0,6.0,780.2,2.0,6.0,969.2,2.0,6.0,69.2,2.0,6.0,484.6,2.0,5.0,1159.0
4.0,2.0,8.4,4.0,1.0,50.1,4.0,1.0,882.9,3.0,1.0,460.3,3.0,1.0,1378.0,3.0,1.0,2276.0
4.0,3.0,27.4,4.0,3.0,221.5,4.0,2.0,980.7,3.0,2.0,466.3,3.0,2.0,1879.0,3.0,2.0,2756.0
4.0,5.0,19.7,4.0,5.0,121.6,4.0,5.0,1699.0,3.0,5.0,805.5,3.0,4.0,2157.0,3.0,4.0,2195.0
4.0,6.0,24.3,4.0,6.0,129.3,4.0,6.0,1570.0,3.0,6.0,603.6,3.0,6.0,2481.0,3.0,5.0,3703.0
5.0,2.0,43.0,5.0,1.0,215.1,5.0,1.0,1240.0,5.0,1.0,55.2,4.0,1.0,242.7,4.0,1.0,647.8
5.0,3.0,85.6,5.0,3.0,800.3,5.0,2.0,1494.0,5.0,2.0,74.6,4.0,2.0,295.0,4.0,2.0,632.9
5.0,4.0,50.7,5.0,4.0,288.1,5.0,4.0,2235.0,5.0,3.0,317.2,4.0,3.0,905.5,4.0,3.0,1923.0
5.0,6.0,90.0,5.0,6.0,344.6,5.0,6.0,2102.0,5.0,6.0,80.9,4.0,6.0,299.2,4.0,5.0,912.2
6.0,2.0,72.3,6.0,1.0,215.0,6.0,1.0,1600.0,6.0,1.0,93.3,6.0,1.0,586.5,5.0,1.0,1198.0
6.0,3.0,110.6,6.0,3.0,835.4,6.0,2.0,2667.0,6.0,2.0,105.0,6.0,2.0,626.5,5.0,2.0,1198.0
6.0,4.0,83.4,6.0,4.0,316.4,6.0,4.0,1711.0,6.0,3.0,369.7,6.0,3.0,1590.0,5.0,3.0,2819.0
6.0,5.0,169.4,6.0,5.0,479.9,6.0,5.0,2667.0,6.0,5.0,133.1,6.0,4.0,569.0,5.0,4.0,1127.0
