1,酒見 峻介,酒見 峻介.1,2,山下 流心,山下 流心.1,3,鈴木 秀茉,鈴木 秀茉.1,4,関根 彰人,関根 彰人.1,5,武田 正紀,武田 正紀.1,6,村田 浩司,村田 浩司.1
2.0,3.0,10.3,1.0,3.0,34.0,1.0,2.0,60.4,1.0,2.0,80.3,1.0,2.0,124.0,1.0,2.0,613.3
2.0,4.0,9.5,1.0,4.0,27.0,1.0,4.0,41.6,1.0,3.0,84.2,1.0,3.0,127.6,1.0,3.0,706.6
2.0,5.0,21.8,1.0,5.0,53.5,1.0,5.0,61.9,1.0,5.0,110.6,1.0,4.0,154.8,1.0,4.0,875.4
2.0,6.0,50.1,1.0,6.0,112.5,1.0,6.0,138.0,1.0,6.0,161.5,1.0,6.0,164.2,1.0,5.0,764.3
3.0,2.0,12.8,3.0,1.0,76.3,2.0,1.0,97.8,2.0,1.0,145.0,2.0,1.0,212.9,2.0,1.0,1047.0
3.0,4.0,10.0,3.0,4.0,78.8,2.0,4.0,91.9,2.0,3.0,225.1,2.0,3.0,342.8,2.0,3.0,1501.0
3.0,5.0,18.3,3.0,5.0,114.8,2.0,5.0,150.5,2.0,5.0,277.7,2.0,4.0,358.0,2.0,4.0,1378.0
3.0,6.0,49.9,3.0,6.0,224.6,2.0,6.0,252.9,2.0,6.0,410.7,2.0,6.0,400.6,2.0,5.0,1479.0
4.0,2.0,16.0,4.0,1.0,78.3,4.0,1.0,84.6,3.0,1.0,130.9,3.0,1.0,235.9,3.0,1.0,1246.0
4.0,3.0,16.4,4.0,3.0,109.6,4.0,2.0,124.2,3.0,2.0,210.6,3.0,2.0,404.4,3.0,2.0,1787.0
4.0,5.0,27.0,4.0,5.0,169.3,4.0,5.0,136.8,3.0,5.0,267.5,3.0,4.0,440.3,3.0,4.0,1586.0
4.0,6.0,56.4,4.0,6.0,252.4,4.0,6.0,215.4,3.0,6.0,385.6,3.0,6.0,542.9,3.0,5.0,1750.0
5.0,2.0,39.7,5.0,1.0,157.4,5.0,1.0,145.3,5.0,1.0,177.2,4.0,1.0,282.8,4.0,1.0,1328.0
5.0,3.0,39.2,5.0,3.0,239.8,5.0,2.0,244.9,5.0,2.0,277.8,4.0,2.0,448.5,4.0,2.0,1637.0
5.0,4.0,54.4,5.0,4.0,244.4,5.0,4.0,207.9,5.0,3.0,332.8,4.0,3.0,525.9,4.0,3.0,1738.0
5.0,6.0,77.5,5.0,6.0,369.3,5.0,6.0,312.7,5.0,6.0,244.9,4.0,6.0,397.1,4.0,5.0,1139.0
6.0,2.0,182.4,6.0,1.0,390.4,6.0,1.0,446.5,6.0,1.0,403.4,6.0,1.0,282.0,5.0,1.0,1045.0
6.0,3.0,183.6,6.0,3.0,681.0,6.0,2.0,698.8,6.0,2.0,542.9,6.0,2.0,415.7,5.0,2.0,1274.0
6.0,4.0,197.3,6.0,4.0,567.8,6.0,4.0,598.0,6.0,3.0,717.7,6.0,3.0,525.4,5.0,3.0,1479.0
6.0,5.0,176.9,6.0,5.0,629.3,6.0,5.0,630.9,6.0,5.0,436.9,6.0,4.0,459.5,5.0,4.0,994.0
