1,加藤 高史,加藤 高史.1,2,井内　将太郎,井内　将太郎.1,3,富永 大一,富永 大一.1,4,外崎 悟,外崎 悟.1,5,黄金井　力良,黄金井　力良.1,6,村本 大成,村本 大成.1
2.0,3.0,8.0,1.0,3.0,19.7,1.0,2.0,31.9,1.0,2.0,67.4,1.0,2.0,142.6,1.0,2.0,2583.0
2.0,4.0,9.2,1.0,4.0,18.5,1.0,4.0,30.5,1.0,3.0,105.2,1.0,3.0,202.7,1.0,3.0,3111.0
2.0,5.0,20.3,1.0,5.0,35.5,1.0,5.0,40.0,1.0,5.0,100.0,1.0,4.0,234.6,1.0,4.0,3497.0
2.0,6.0,204.6,1.0,6.0,307.8,1.0,6.0,294.9,1.0,6.0,438.6,1.0,6.0,668.7,1.0,5.0,4440.0
3.0,2.0,10.6,3.0,1.0,49.2,2.0,1.0,52.8,2.0,1.0,86.3,2.0,1.0,185.6,2.0,1.0,2549.0
3.0,4.0,14.0,3.0,4.0,64.7,2.0,4.0,64.8,2.0,3.0,165.0,2.0,3.0,291.0,2.0,3.0,4761.0
3.0,5.0,19.2,3.0,5.0,88.1,2.0,5.0,86.8,2.0,5.0,142.1,2.0,4.0,269.2,2.0,4.0,2884.0
3.0,6.0,240.9,3.0,6.0,584.6,2.0,6.0,528.3,2.0,6.0,662.0,2.0,6.0,1116.0,2.0,5.0,4761.0
4.0,2.0,19.2,4.0,1.0,47.2,4.0,1.0,67.5,3.0,1.0,168.4,3.0,1.0,280.4,3.0,1.0,3266.0
4.0,3.0,24.3,4.0,3.0,81.3,4.0,2.0,74.0,3.0,2.0,211.6,3.0,2.0,314.9,3.0,2.0,4705.0
4.0,5.0,36.6,4.0,5.0,89.7,4.0,5.0,81.2,3.0,5.0,233.1,3.0,4.0,396.4,3.0,4.0,3161.0
4.0,6.0,307.8,4.0,6.0,549.6,4.0,6.0,589.0,3.0,6.0,1071.0,3.0,6.0,1821.0,3.0,5.0,4940.0
5.0,2.0,36.8,5.0,1.0,109.3,5.0,1.0,104.5,5.0,1.0,131.2,4.0,1.0,294.5,4.0,1.0,4074.0
5.0,3.0,44.4,5.0,3.0,168.6,5.0,2.0,120.6,5.0,2.0,144.2,4.0,2.0,290.6,4.0,2.0,3693.0
5.0,4.0,62.9,5.0,4.0,154.9,5.0,4.0,117.9,5.0,3.0,224.0,4.0,3.0,470.5,4.0,3.0,4440.0
5.0,6.0,399.6,5.0,6.0,921.2,5.0,6.0,690.9,5.0,6.0,568.6,4.0,6.0,1013.0,4.0,5.0,3800.0
6.0,2.0,914.8,6.0,1.0,1308.0,6.0,1.0,1326.0,6.0,1.0,1015.0,6.0,1.0,1600.0,5.0,1.0,3913.0
6.0,3.0,947.7,6.0,3.0,1562.0,6.0,2.0,1549.0,6.0,2.0,1447.0,6.0,2.0,1956.0,5.0,2.0,4940.0
6.0,4.0,1003.0,6.0,4.0,1593.0,6.0,4.0,1480.0,6.0,3.0,2058.0,6.0,3.0,2617.0,5.0,3.0,5646.0
6.0,5.0,1216.0,6.0,5.0,2195.0,6.0,5.0,1469.0,6.0,5.0,1639.0,6.0,4.0,2706.0,5.0,4.0,3992.0
