1,尾嶋 一広,尾嶋 一広.1,2,稗田 聖也,稗田 聖也.1,3,村本 大成,村本 大成.1,4,前田 聖文,前田 聖文.1,5,大塚 雅治,大塚 雅治.1,6,植竹 玲奈,植竹 玲奈.1
2.0,3.0,19.5,1.0,3.0,84.8,1.0,2.0,273.3,1.0,2.0,17.7,1.0,2.0,182.1,1.0,2.0,4163.0
2.0,4.0,4.1,1.0,4.0,18.7,1.0,4.0,207.4,1.0,3.0,85.2,1.0,3.0,495.9,1.0,3.0,7783.0
2.0,5.0,18.3,1.0,5.0,45.1,1.0,5.0,355.2,1.0,5.0,20.3,1.0,4.0,89.9,1.0,4.0,4711.0
2.0,6.0,351.7,1.0,6.0,427.2,1.0,6.0,775.0,1.0,6.0,296.8,1.0,6.0,1243.0,1.0,5.0,5775.0
3.0,2.0,47.2,3.0,1.0,238.7,2.0,1.0,393.4,2.0,1.0,30.8,2.0,1.0,301.9,2.0,1.0,4973.0
3.0,4.0,41.6,3.0,4.0,266.4,2.0,4.0,401.4,2.0,3.0,156.3,2.0,3.0,1000.0,2.0,3.0,7161.0
3.0,5.0,83.5,3.0,5.0,461.4,2.0,5.0,570.1,2.0,5.0,37.2,2.0,4.0,210.6,2.0,4.0,5425.0
3.0,6.0,588.9,3.0,6.0,1234.0,2.0,6.0,1306.0,2.0,6.0,498.6,2.0,6.0,2081.0,2.0,5.0,8137.0
4.0,2.0,4.9,4.0,1.0,39.6,4.0,1.0,286.9,3.0,1.0,231.6,3.0,1.0,873.3,3.0,1.0,6393.0
4.0,3.0,27.0,4.0,3.0,166.0,4.0,2.0,410.6,3.0,2.0,358.0,3.0,2.0,1420.0,3.0,2.0,8951.0
4.0,5.0,13.4,4.0,5.0,81.8,4.0,5.0,346.9,3.0,5.0,288.2,3.0,4.0,749.0,3.0,4.0,7459.0
4.0,6.0,269.6,4.0,6.0,683.3,4.0,6.0,699.3,3.0,6.0,1269.0,3.0,6.0,3196.0,3.0,5.0,4163.0
5.0,2.0,42.5,5.0,1.0,203.4,5.0,1.0,710.4,5.0,1.0,25.5,4.0,1.0,100.4,4.0,1.0,4711.0
5.0,3.0,138.7,5.0,3.0,521.9,5.0,2.0,514.4,5.0,2.0,30.6,4.0,2.0,133.1,4.0,2.0,6885.0
5.0,4.0,32.3,5.0,4.0,135.3,5.0,4.0,487.8,5.0,3.0,140.6,4.0,3.0,376.9,4.0,3.0,7161.0
5.0,6.0,651.0,5.0,6.0,1209.0,5.0,6.0,1504.0,5.0,6.0,257.5,4.0,6.0,704.8,4.0,5.0,4590.0
6.0,2.0,1455.0,6.0,1.0,1845.0,6.0,1.0,3580.0,6.0,1.0,828.8,6.0,1.0,3315.0,5.0,1.0,6885.0
6.0,3.0,1738.0,6.0,3.0,1945.0,6.0,2.0,2011.0,6.0,2.0,1053.0,6.0,2.0,4711.0,5.0,2.0,6630.0
6.0,4.0,1409.0,6.0,4.0,3196.0,6.0,4.0,3653.0,6.0,3.0,1530.0,6.0,3.0,5265.0,5.0,3.0,4973.0
6.0,5.0,1479.0,6.0,5.0,4590.0,6.0,5.0,3729.0,6.0,5.0,749.0,6.0,4.0,2210.0,5.0,4.0,3978.0
