first,second,third,odds
4,2048,3,422.3
5,1328,4,1048.0
4,1,1680,3.0
3,2,1483,2.0
3,2691,2,523.1
5,2405,4,2131.0
5,1,1072,4.0
5,1,1130,4.0
3,1443,2,1764.0
4,2268,3,2810.0
6,1,1534,6.0
6,1,2810,6.0
6,1,1202,5.0
3,2,2048,2.0
3,3736,2,1857.0
4,4472,3,2581.0
5,2500,4,2761.0
