1,岡部 大輝,岡部 大輝.1,2,花田 和明,花田 和明.1,3,尾上 雅也,尾上 雅也.1,4,浜野 孝志,浜野 孝志.1,5,金子 順一,金子 順一.1,6,新田 泰章,新田 泰章.1
2.0,3.0,26.2,1.0,3.0,114.5,1.0,2.0,45.6,1.0,2.0,134.4,1.0,2.0,1466.0,1.0,2.0,209.8
2.0,4.0,38.7,1.0,4.0,154.4,1.0,4.0,14.2,1.0,3.0,61.1,1.0,3.0,970.5,1.0,3.0,91.8
2.0,5.0,180.4,1.0,5.0,434.3,1.0,5.0,77.5,1.0,5.0,245.3,1.0,4.0,1092.0,1.0,4.0,131.1
2.0,6.0,47.4,1.0,6.0,163.7,1.0,6.0,15.1,1.0,6.0,65.9,1.0,6.0,1079.0,1.0,5.0,511.6
3.0,2.0,15.4,3.0,1.0,169.5,2.0,1.0,114.5,2.0,1.0,230.7,2.0,1.0,2158.0,2.0,1.0,404.0
3.0,4.0,8.1,3.0,4.0,207.4,2.0,4.0,119.6,2.0,3.0,248.1,2.0,3.0,1857.0,2.0,3.0,451.2
3.0,5.0,64.2,3.0,5.0,528.0,2.0,5.0,245.8,2.0,5.0,546.2,2.0,4.0,1800.0,2.0,4.0,365.3
3.0,6.0,9.5,3.0,6.0,210.3,2.0,6.0,114.2,2.0,6.0,216.4,2.0,6.0,1962.0,2.0,5.0,1331.0
4.0,2.0,37.8,4.0,1.0,258.3,4.0,1.0,27.9,3.0,1.0,66.3,3.0,1.0,998.3,3.0,1.0,94.6
4.0,3.0,17.8,4.0,3.0,258.5,4.0,2.0,73.6,3.0,2.0,162.2,3.0,2.0,1662.0,3.0,2.0,242.2
4.0,5.0,147.4,4.0,5.0,643.4,4.0,5.0,92.3,3.0,5.0,228.7,3.0,4.0,1154.0,3.0,4.0,99.5
4.0,6.0,23.9,4.0,6.0,254.5,4.0,6.0,21.6,3.0,6.0,56.5,3.0,6.0,1110.0,3.0,5.0,465.7
5.0,2.0,402.1,5.0,1.0,1169.0,5.0,1.0,296.7,5.0,1.0,407.7,4.0,1.0,1139.0,4.0,1.0,142.8
5.0,3.0,314.9,5.0,3.0,1150.0,5.0,2.0,486.6,5.0,2.0,547.1,4.0,2.0,1517.0,4.0,2.0,265.0
5.0,4.0,485.2,5.0,4.0,1435.0,5.0,4.0,294.1,5.0,3.0,433.7,4.0,3.0,1198.0,4.0,3.0,114.2
5.0,6.0,376.0,5.0,6.0,1291.0,5.0,6.0,247.4,5.0,6.0,282.0,4.0,6.0,866.4,4.0,5.0,515.4
6.0,2.0,62.6,6.0,1.0,382.6,6.0,1.0,34.7,6.0,1.0,73.7,6.0,1.0,1158.0,5.0,1.0,965.1
6.0,3.0,28.8,6.0,3.0,406.8,6.0,2.0,99.1,6.0,2.0,137.3,6.0,2.0,1772.0,5.0,2.0,1601.0
6.0,4.0,41.1,6.0,4.0,378.8,6.0,4.0,35.0,6.0,3.0,68.4,6.0,3.0,1158.0,5.0,3.0,1024.0
6.0,5.0,251.4,6.0,5.0,1021.0,6.0,5.0,140.1,6.0,5.0,198.8,6.0,4.0,1027.0,5.0,4.0,748.7
