1,高倉 孝太,高倉 孝太.1,2,松尾 昂明,松尾 昂明.1,3,永井 源,永井 源.1,4,大塚 雅治,大塚 雅治.1,5,宇野 博之,宇野 博之.1,6,浜先 真範,浜先 真範.1
2.0,3.0,7.7,1.0,3.0,11.5,1.0,2.0,18.4,1.0,2.0,309.4,1.0,2.0,766.1,1.0,2.0,307.1
2.0,4.0,29.3,1.0,4.0,45.9,1.0,4.0,45.5,1.0,3.0,327.1,1.0,3.0,746.7,1.0,3.0,251.9
2.0,5.0,56.1,1.0,5.0,84.3,1.0,5.0,76.4,1.0,5.0,542.3,1.0,4.0,1226.0,1.0,4.0,1073.0
2.0,6.0,21.8,1.0,6.0,28.8,1.0,6.0,32.7,1.0,6.0,345.8,1.0,6.0,801.9,1.0,5.0,1067.0
3.0,2.0,8.5,3.0,1.0,17.3,2.0,1.0,22.9,2.0,1.0,391.8,2.0,1.0,851.6,2.0,1.0,383.0
3.0,4.0,21.3,3.0,4.0,43.0,2.0,4.0,50.4,2.0,3.0,328.7,2.0,3.0,715.6,2.0,3.0,177.3
3.0,5.0,42.3,3.0,5.0,63.7,2.0,5.0,74.2,2.0,5.0,811.4,2.0,4.0,1451.0,2.0,4.0,873.3
3.0,6.0,18.0,3.0,6.0,29.1,2.0,6.0,30.8,2.0,6.0,420.6,2.0,6.0,862.3,2.0,5.0,920.0
4.0,2.0,101.9,4.0,1.0,162.5,4.0,1.0,115.9,3.0,1.0,374.0,3.0,1.0,1046.0,3.0,1.0,290.2
4.0,3.0,78.0,4.0,3.0,115.5,4.0,2.0,100.9,3.0,2.0,319.0,3.0,2.0,728.2,3.0,2.0,176.1
4.0,5.0,240.7,4.0,5.0,270.4,4.0,5.0,212.2,3.0,5.0,617.0,3.0,4.0,1249.0,3.0,4.0,730.8
4.0,6.0,156.2,4.0,6.0,198.3,4.0,6.0,121.3,3.0,6.0,357.1,3.0,6.0,795.7,3.0,5.0,1015.0
5.0,2.0,196.8,5.0,1.0,304.4,5.0,1.0,244.1,5.0,1.0,640.0,4.0,1.0,1312.0,4.0,1.0,1431.0
5.0,3.0,175.5,5.0,3.0,265.9,5.0,2.0,220.6,5.0,2.0,738.7,4.0,2.0,1355.0,4.0,2.0,1402.0
5.0,4.0,433.8,5.0,4.0,532.5,5.0,4.0,338.4,5.0,3.0,718.1,4.0,3.0,1312.0,4.0,3.0,1157.0
5.0,6.0,287.0,5.0,6.0,336.2,5.0,6.0,238.5,5.0,6.0,599.1,4.0,6.0,1108.0,4.0,5.0,1840.0
6.0,2.0,63.1,6.0,1.0,108.2,6.0,1.0,68.4,6.0,1.0,505.1,6.0,1.0,1234.0,5.0,1.0,1526.0
6.0,3.0,63.2,6.0,3.0,72.0,6.0,2.0,56.8,6.0,2.0,543.8,6.0,2.0,1132.0,5.0,2.0,1234.0
6.0,4.0,142.3,6.0,4.0,249.8,6.0,4.0,147.7,6.0,3.0,510.1,6.0,3.0,1040.0,5.0,3.0,1402.0
6.0,5.0,211.6,6.0,5.0,346.9,6.0,5.0,216.2,6.0,5.0,749.4,6.0,4.0,1374.0,5.0,4.0,2040.0
