1,今井 美亜,今井 美亜.1,2,刑部　亜里紗,刑部　亜里紗.1,3,笠野　友紀恵,笠野　友紀恵.1,4,加藤 綾,加藤 綾.1,5,田村 美和,田村 美和.1,6,細川 裕子,細川 裕子.1
2.0,3.0,15.2,1.0,3.0,55.4,1.0,2.0,341.7,1.0,2.0,100.8,1.0,2.0,608.3,1.0,2.0,45.7
2.0,4.0,7.0,1.0,4.0,29.1,1.0,4.0,598.7,1.0,3.0,426.3,1.0,3.0,1267.0,1.0,3.0,208.8
2.0,5.0,42.2,1.0,5.0,103.9,1.0,5.0,875.5,1.0,5.0,273.0,1.0,4.0,846.5,1.0,4.0,93.4
2.0,6.0,4.6,1.0,6.0,17.2,1.0,6.0,501.9,1.0,6.0,81.6,1.0,6.0,548.9,1.0,5.0,333.1
3.0,2.0,40.0,3.0,1.0,189.3,2.0,1.0,433.6,2.0,1.0,142.7,2.0,1.0,895.1,2.0,1.0,62.4
3.0,4.0,59.3,3.0,4.0,278.3,2.0,4.0,597.0,2.0,3.0,542.8,2.0,3.0,1488.0,2.0,3.0,302.8
3.0,5.0,150.7,3.0,5.0,490.4,2.0,5.0,1274.0,2.0,5.0,428.1,2.0,4.0,1024.0,2.0,4.0,140.1
3.0,6.0,47.5,3.0,6.0,192.0,2.0,6.0,535.5,2.0,6.0,129.5,2.0,6.0,884.0,2.0,5.0,421.3
4.0,2.0,15.1,4.0,1.0,80.8,4.0,1.0,1047.0,3.0,1.0,1033.0,3.0,1.0,2269.0,3.0,1.0,589.3
4.0,3.0,56.0,4.0,3.0,247.6,4.0,2.0,824.7,3.0,2.0,1009.0,3.0,2.0,2601.0,3.0,2.0,651.7
4.0,5.0,78.9,4.0,5.0,270.0,4.0,5.0,1441.0,3.0,5.0,1763.0,3.0,4.0,3047.0,3.0,4.0,956.6
4.0,6.0,16.9,4.0,6.0,68.9,4.0,6.0,919.5,3.0,6.0,888.9,3.0,6.0,2831.0,3.0,5.0,1580.0
5.0,2.0,123.6,5.0,1.0,389.7,5.0,1.0,1963.0,5.0,1.0,403.2,4.0,1.0,986.1,4.0,1.0,164.6
5.0,3.0,261.6,5.0,3.0,765.5,5.0,2.0,1876.0,5.0,2.0,487.4,4.0,2.0,1086.0,4.0,2.0,187.4
5.0,4.0,158.3,5.0,4.0,519.0,5.0,4.0,2245.0,5.0,3.0,1247.0,4.0,3.0,2461.0,4.0,3.0,756.5
5.0,6.0,110.4,5.0,6.0,323.7,5.0,6.0,2044.0,5.0,6.0,327.3,4.0,6.0,836.6,4.0,5.0,551.2
6.0,2.0,10.4,6.0,1.0,37.6,6.0,1.0,736.5,6.0,1.0,94.4,6.0,1.0,743.3,5.0,1.0,730.6
6.0,3.0,42.2,6.0,3.0,150.8,6.0,2.0,724.8,6.0,2.0,118.1,6.0,2.0,943.9,5.0,2.0,803.0
6.0,4.0,20.1,6.0,4.0,67.2,6.0,4.0,1082.0,6.0,3.0,453.2,6.0,3.0,2169.0,5.0,3.0,1957.0
6.0,5.0,65.3,6.0,5.0,213.4,6.0,5.0,1933.0,6.0,5.0,244.9,6.0,4.0,897.6,5.0,4.0,1045.0
