1,間嶋 仁志,間嶋 仁志.1,2,谷口 健一,谷口 健一.1,3,小澤 学,小澤 学.1,4,宇留田　翔平,宇留田　翔平.1,5,溝口　海義也,溝口　海義也.1,6,山下 和彦,山下 和彦.1
2.0,3.0,78.1,1.0,3.0,607.5,1.0,2.0,800.7,1.0,2.0,121.0,1.0,2.0,77.0,1.0,2.0,523.0
2.0,4.0,44.1,1.0,4.0,365.4,1.0,4.0,422.5,1.0,3.0,113.0,1.0,3.0,118.1,1.0,3.0,599.1
2.0,5.0,37.4,1.0,5.0,317.5,1.0,5.0,344.0,1.0,5.0,25.1,1.0,4.0,28.0,1.0,4.0,218.7
2.0,6.0,68.6,1.0,6.0,453.5,1.0,6.0,518.8,1.0,6.0,35.2,1.0,6.0,25.1,1.0,5.0,153.1
3.0,2.0,98.1,3.0,1.0,1179.0,2.0,1.0,1253.0,2.0,1.0,179.6,2.0,1.0,149.8,2.0,1.0,1050.0
3.0,4.0,44.7,3.0,4.0,1316.0,2.0,4.0,960.8,2.0,3.0,788.5,2.0,3.0,580.3,2.0,3.0,1814.0
3.0,5.0,38.6,3.0,5.0,1394.0,2.0,5.0,1142.0,2.0,5.0,112.0,2.0,4.0,158.5,2.0,4.0,1190.0
3.0,6.0,61.8,3.0,6.0,1801.0,2.0,6.0,1206.0,2.0,6.0,156.2,2.0,6.0,160.5,2.0,5.0,813.2
4.0,2.0,44.3,4.0,1.0,609.0,4.0,1.0,754.1,3.0,1.0,336.9,3.0,1.0,358.3,3.0,1.0,1351.0
4.0,3.0,33.8,4.0,3.0,1163.0,4.0,2.0,1278.0,3.0,2.0,1050.0,3.0,2.0,756.3,3.0,2.0,1801.0
4.0,5.0,10.7,4.0,5.0,571.4,4.0,5.0,720.6,3.0,5.0,252.6,3.0,4.0,488.5,3.0,4.0,1572.0
4.0,6.0,18.7,4.0,6.0,831.5,4.0,6.0,885.4,3.0,6.0,333.8,3.0,6.0,396.0,3.0,5.0,1163.0
5.0,2.0,35.1,5.0,1.0,464.9,5.0,1.0,514.7,5.0,1.0,19.8,4.0,1.0,24.3,4.0,1.0,290.1
5.0,3.0,34.8,5.0,3.0,1017.0,5.0,2.0,971.6,5.0,2.0,64.4,4.0,2.0,84.8,4.0,2.0,728.7
5.0,4.0,12.4,5.0,4.0,586.9,5.0,4.0,620.6,5.0,3.0,121.6,4.0,3.0,170.1,4.0,3.0,783.8
5.0,6.0,13.0,5.0,6.0,543.8,5.0,6.0,583.0,5.0,6.0,16.9,4.0,6.0,22.7,4.0,5.0,159.8
6.0,2.0,98.9,6.0,1.0,1033.0,6.0,1.0,1094.0,6.0,1.0,60.4,6.0,1.0,47.7,5.0,1.0,170.4
6.0,3.0,83.3,6.0,3.0,1764.0,6.0,2.0,1866.0,6.0,2.0,133.3,6.0,2.0,156.3,5.0,2.0,514.7
6.0,4.0,44.7,6.0,4.0,1358.0,6.0,4.0,1278.0,6.0,3.0,246.3,6.0,3.0,195.8,5.0,3.0,586.9
6.0,5.0,35.5,6.0,5.0,831.5,6.0,5.0,1021.0,6.0,5.0,34.7,6.0,4.0,43.8,5.0,4.0,149.7
