1,小林 遼太,小林 遼太.1,2,古賀 智之,古賀 智之.1,3,野田部　宏子,野田部　宏子.1,4,小川 広大,小川 広大.1,5,大場 広孝,大場 広孝.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,10.2,1.0,3.0,57.9,1.0,2.0,69.5,1.0,2.0,189.2,1.0,2.0,163.7,1.0,2.0,554.8
2.0,4.0,13.6,1.0,4.0,56.2,1.0,4.0,67.3,1.0,3.0,158.6,1.0,3.0,164.7,1.0,3.0,524.2
2.0,5.0,9.6,1.0,5.0,46.8,1.0,5.0,57.1,1.0,5.0,158.6,1.0,4.0,206.5,1.0,4.0,1011.0
2.0,6.0,19.6,1.0,6.0,91.0,1.0,6.0,107.3,1.0,6.0,223.4,1.0,6.0,179.2,1.0,5.0,646.3
3.0,2.0,12.5,3.0,1.0,130.6,2.0,1.0,144.9,2.0,1.0,333.8,2.0,1.0,326.5,2.0,1.0,1001.0
3.0,4.0,16.8,3.0,4.0,260.1,2.0,4.0,250.1,2.0,3.0,629.4,2.0,3.0,707.6,2.0,3.0,1485.0
3.0,5.0,11.5,3.0,5.0,183.8,2.0,5.0,220.9,2.0,5.0,444.6,2.0,4.0,734.1,2.0,4.0,1544.0
3.0,6.0,30.3,3.0,6.0,273.3,2.0,6.0,292.6,2.0,6.0,597.1,2.0,6.0,650.3,2.0,5.0,1959.0
4.0,2.0,25.7,4.0,1.0,198.9,4.0,1.0,132.1,3.0,1.0,274.9,3.0,1.0,287.5,3.0,1.0,760.8
4.0,3.0,27.0,4.0,3.0,317.2,4.0,2.0,277.1,3.0,2.0,594.8,3.0,2.0,597.1,3.0,2.0,1591.0
4.0,5.0,24.8,4.0,5.0,245.4,4.0,5.0,144.3,3.0,5.0,339.2,3.0,4.0,568.9,3.0,4.0,1205.0
4.0,6.0,51.0,4.0,6.0,445.2,4.0,6.0,212.8,3.0,6.0,458.9,3.0,6.0,525.0,3.0,5.0,1274.0
5.0,2.0,17.4,5.0,1.0,150.7,5.0,1.0,128.9,5.0,1.0,214.8,4.0,1.0,338.5,4.0,1.0,1935.0
5.0,3.0,19.2,5.0,3.0,268.8,5.0,2.0,240.0,5.0,2.0,351.8,4.0,2.0,569.9,4.0,2.0,2374.0
5.0,4.0,29.6,5.0,4.0,297.7,5.0,4.0,195.0,5.0,3.0,359.0,4.0,3.0,432.3,4.0,3.0,935.7
5.0,6.0,29.7,5.0,6.0,309.1,5.0,6.0,213.1,5.0,6.0,266.1,4.0,6.0,476.4,4.0,5.0,1405.0
6.0,2.0,72.5,6.0,1.0,447.8,6.0,1.0,307.9,6.0,1.0,529.5,6.0,1.0,446.5,5.0,1.0,1027.0
6.0,3.0,87.3,6.0,3.0,735.8,6.0,2.0,521.5,6.0,2.0,847.2,6.0,2.0,865.9,5.0,2.0,2147.0
6.0,4.0,120.4,6.0,4.0,961.5,6.0,4.0,467.1,6.0,3.0,696.6,6.0,3.0,735.8,5.0,3.0,1676.0
6.0,5.0,70.5,6.0,5.0,451.6,6.0,5.0,362.4,6.0,5.0,497.5,6.0,4.0,701.2,5.0,4.0,1205.0
