1,山本　景士郎,山本　景士郎.1,2,益田 啓司,益田 啓司.1,3,峰重 力也,峰重 力也.1,4,河合 佑樹,河合 佑樹.1,5,木村 亮太,木村 亮太.1,6,大野 芳顕,大野 芳顕.1
2.0,3.0,18.5,1.0,3.0,42.4,1.0,2.0,151.5,1.0,2.0,22.9,1.0,2.0,430.1,1.0,2.0,835.5
2.0,4.0,7.1,1.0,4.0,13.8,1.0,4.0,103.8,1.0,3.0,65.2,1.0,3.0,717.8,1.0,3.0,1464.0
2.0,5.0,51.2,1.0,5.0,81.0,1.0,5.0,251.2,1.0,5.0,51.3,1.0,4.0,325.6,1.0,4.0,627.0
2.0,6.0,49.0,1.0,6.0,60.1,1.0,6.0,271.0,1.0,6.0,42.2,1.0,6.0,491.5,1.0,5.0,1572.0
3.0,2.0,35.6,3.0,1.0,127.0,2.0,1.0,174.4,2.0,1.0,30.4,2.0,1.0,697.0,2.0,1.0,789.9
3.0,4.0,28.9,3.0,4.0,80.8,2.0,4.0,108.0,2.0,3.0,70.7,2.0,3.0,1148.0,2.0,3.0,1396.0
3.0,5.0,81.5,3.0,5.0,246.6,2.0,5.0,311.6,2.0,5.0,67.7,2.0,4.0,496.2,2.0,4.0,487.5
3.0,6.0,97.8,3.0,6.0,203.3,2.0,6.0,271.8,2.0,6.0,41.7,2.0,6.0,818.5,2.0,5.0,2067.0
4.0,2.0,8.5,4.0,1.0,23.1,4.0,1.0,115.5,3.0,1.0,127.6,3.0,1.0,1155.0,3.0,1.0,1934.0
4.0,3.0,20.2,4.0,3.0,52.6,4.0,2.0,108.5,3.0,2.0,114.6,3.0,2.0,1386.0,3.0,2.0,1706.0
4.0,5.0,29.7,4.0,5.0,79.6,4.0,5.0,163.8,3.0,5.0,167.9,3.0,4.0,1093.0,3.0,4.0,1380.0
4.0,6.0,28.6,4.0,6.0,38.5,4.0,6.0,162.5,3.0,6.0,157.7,3.0,6.0,1546.0,3.0,5.0,2461.0
5.0,2.0,125.6,5.0,1.0,337.4,5.0,1.0,567.0,5.0,1.0,61.6,4.0,1.0,232.6,4.0,1.0,585.4
5.0,3.0,210.9,5.0,3.0,546.5,5.0,2.0,676.2,5.0,2.0,63.8,4.0,2.0,264.2,4.0,2.0,453.9
5.0,4.0,98.2,5.0,4.0,246.4,5.0,4.0,488.2,5.0,3.0,185.8,4.0,3.0,583.5,4.0,3.0,969.9
5.0,6.0,177.9,5.0,6.0,423.1,5.0,6.0,761.6,5.0,6.0,66.2,4.0,6.0,259.7,4.0,5.0,849.2
6.0,2.0,203.0,6.0,1.0,208.7,6.0,1.0,628.1,6.0,1.0,83.7,6.0,1.0,904.4,5.0,1.0,1976.0
6.0,3.0,313.7,6.0,3.0,298.0,6.0,2.0,559.1,6.0,2.0,75.9,6.0,2.0,1096.0,5.0,2.0,2140.0
6.0,4.0,172.4,6.0,4.0,152.5,6.0,4.0,441.7,6.0,3.0,183.3,6.0,3.0,1615.0,5.0,3.0,2679.0
6.0,5.0,344.8,6.0,5.0,365.0,6.0,5.0,1021.0,6.0,5.0,103.1,6.0,4.0,697.0,5.0,4.0,1222.0
