1,竹上 真司,竹上 真司.1,2,中渡 修作,中渡 修作.1,3,山田 和佐,山田 和佐.1,4,佃 來紀,佃 來紀.1,5,渡辺 史之,渡辺 史之.1,6,中辻 博訓,中辻 博訓.1
2.0,3.0,31.7,1.0,3.0,88.5,1.0,2.0,104.4,1.0,2.0,151.0,1.0,2.0,317.9,1.0,2.0,23.7
2.0,4.0,53.3,1.0,4.0,100.5,1.0,4.0,128.2,1.0,3.0,213.8,1.0,3.0,322.5,1.0,3.0,31.1
2.0,5.0,116.3,1.0,5.0,203.3,1.0,5.0,193.1,1.0,5.0,186.0,1.0,4.0,528.9,1.0,4.0,39.9
2.0,6.0,16.9,1.0,6.0,46.8,1.0,6.0,50.7,1.0,6.0,88.3,1.0,6.0,209.0,1.0,5.0,56.2
3.0,2.0,40.3,3.0,1.0,119.7,2.0,1.0,140.9,2.0,1.0,224.1,2.0,1.0,706.4,2.0,1.0,38.6
3.0,4.0,75.4,3.0,4.0,144.3,2.0,4.0,114.5,2.0,3.0,222.7,2.0,3.0,560.8,2.0,3.0,45.0
3.0,5.0,124.7,3.0,5.0,276.9,2.0,5.0,220.1,2.0,5.0,361.2,2.0,4.0,729.5,2.0,4.0,51.6
3.0,6.0,21.7,3.0,6.0,75.2,2.0,6.0,63.5,2.0,6.0,124.2,2.0,6.0,388.8,2.0,5.0,97.5
4.0,2.0,103.3,4.0,1.0,176.0,4.0,1.0,209.0,3.0,1.0,379.6,3.0,1.0,839.2,3.0,1.0,53.6
4.0,3.0,126.6,4.0,3.0,215.4,4.0,2.0,187.9,3.0,2.0,261.3,3.0,2.0,688.9,3.0,2.0,53.8
4.0,5.0,207.8,4.0,5.0,347.7,4.0,5.0,243.1,3.0,5.0,410.3,3.0,4.0,832.9,3.0,4.0,70.4
4.0,6.0,63.8,4.0,6.0,111.9,4.0,6.0,100.1,3.0,6.0,137.2,3.0,6.0,380.9,3.0,5.0,129.1
5.0,2.0,245.8,5.0,1.0,552.5,5.0,1.0,528.9,5.0,1.0,244.2,4.0,1.0,547.1,4.0,1.0,56.3
5.0,3.0,343.4,5.0,3.0,511.9,5.0,2.0,505.0,5.0,2.0,330.2,4.0,2.0,672.3,4.0,2.0,69.0
5.0,4.0,268.9,5.0,4.0,491.6,5.0,4.0,493.8,5.0,3.0,343.4,4.0,3.0,710.9,4.0,3.0,84.4
5.0,6.0,98.1,5.0,6.0,255.9,5.0,6.0,225.9,5.0,6.0,139.3,4.0,6.0,272.8,4.0,5.0,72.4
6.0,2.0,12.3,6.0,1.0,53.9,6.0,1.0,49.2,6.0,1.0,97.4,6.0,1.0,217.9,5.0,1.0,106.0
6.0,3.0,16.9,6.0,3.0,61.2,6.0,2.0,54.3,6.0,2.0,104.4,6.0,2.0,238.4,5.0,2.0,134.9
6.0,4.0,29.0,6.0,4.0,63.8,6.0,4.0,62.7,6.0,3.0,119.6,6.0,3.0,229.1,5.0,3.0,159.9
6.0,5.0,38.5,6.0,5.0,107.5,6.0,5.0,108.0,6.0,5.0,110.5,6.0,4.0,242.1,5.0,4.0,95.7
