1,佐藤 悠,佐藤 悠.1,2,原田 秀弥,原田 秀弥.1,3,柴田 光,柴田 光.1,4,平岡 重典,平岡 重典.1,5,前出 達吉,前出 達吉.1,6,山崎 昂介,山崎 昂介.1
2.0,3.0,6.3,1.0,3.0,37.3,1.0,2.0,28.8,1.0,2.0,449.7,1.0,2.0,340.2,1.0,2.0,898.0
2.0,4.0,17.4,1.0,4.0,99.4,1.0,4.0,44.2,1.0,3.0,351.8,1.0,3.0,238.5,1.0,3.0,548.8
2.0,5.0,15.6,1.0,5.0,87.6,1.0,5.0,32.5,1.0,5.0,510.9,1.0,4.0,517.9,1.0,4.0,1626.0
2.0,6.0,34.1,1.0,6.0,137.7,1.0,6.0,50.1,1.0,6.0,542.1,1.0,6.0,436.5,1.0,5.0,1320.0
3.0,2.0,5.9,3.0,1.0,76.1,2.0,1.0,72.9,2.0,1.0,607.5,2.0,1.0,484.9,2.0,1.0,1301.0
3.0,4.0,10.8,3.0,4.0,205.1,2.0,4.0,158.1,2.0,3.0,647.3,2.0,3.0,627.5,2.0,3.0,1646.0
3.0,5.0,8.0,3.0,5.0,161.7,2.0,5.0,126.6,2.0,5.0,849.4,2.0,4.0,895.0,2.0,4.0,2931.0
3.0,6.0,17.3,3.0,6.0,294.0,2.0,6.0,213.2,2.0,6.0,1018.0,2.0,6.0,784.4,2.0,5.0,2020.0
4.0,2.0,44.0,4.0,1.0,384.8,4.0,1.0,147.2,3.0,1.0,405.3,3.0,1.0,323.6,3.0,1.0,599.3
4.0,3.0,37.2,4.0,3.0,458.2,4.0,2.0,253.0,3.0,2.0,682.1,3.0,2.0,592.7,3.0,2.0,1481.0
4.0,5.0,55.8,4.0,5.0,724.7,4.0,5.0,220.2,3.0,5.0,405.3,3.0,4.0,584.9,3.0,4.0,1802.0
4.0,6.0,78.7,4.0,6.0,949.1,4.0,6.0,288.9,3.0,6.0,683.9,3.0,6.0,610.3,3.0,5.0,871.6
5.0,2.0,36.7,5.0,1.0,347.7,5.0,1.0,113.4,5.0,1.0,747.1,4.0,1.0,1010.0,4.0,1.0,2469.0
5.0,3.0,26.3,5.0,3.0,414.8,5.0,2.0,212.1,5.0,2.0,868.7,4.0,2.0,1340.0,4.0,2.0,3463.0
5.0,4.0,76.6,5.0,4.0,779.8,5.0,4.0,230.5,5.0,3.0,692.7,4.0,3.0,980.5,4.0,3.0,2564.0
5.0,6.0,62.6,5.0,6.0,668.4,5.0,6.0,199.1,5.0,6.0,874.4,4.0,6.0,1340.0,4.0,5.0,2469.0
6.0,2.0,116.7,6.0,1.0,588.7,6.0,1.0,196.4,6.0,1.0,1307.0,6.0,1.0,926.1,5.0,1.0,1667.0
6.0,3.0,74.2,6.0,3.0,865.9,6.0,2.0,430.1,6.0,2.0,1790.0,6.0,2.0,1258.0,5.0,2.0,2100.0
6.0,4.0,214.2,6.0,4.0,1473.0,6.0,4.0,466.2,6.0,3.0,1313.0,6.0,3.0,1169.0,5.0,3.0,1975.0
6.0,5.0,140.3,6.0,5.0,1021.0,6.0,5.0,343.2,6.0,5.0,1616.0,6.0,4.0,1905.0,5.0,4.0,2339.0
