1,藤本 元輝,藤本 元輝.1,2,石田 貴洋,石田 貴洋.1,3,富永　夏哉人,富永　夏哉人.1,4,藤森 陸斗,藤森 陸斗.1,5,佐藤 右京,佐藤 右京.1,6,栗原 一馬,栗原 一馬.1
2.0,3.0,16.5,1.0,3.0,28.5,1.0,2.0,147.2,1.0,2.0,44.9,1.0,2.0,313.1,1.0,2.0,430.4
2.0,4.0,12.1,1.0,4.0,13.6,1.0,4.0,175.9,1.0,3.0,145.2,1.0,3.0,631.8,1.0,3.0,850.7
2.0,5.0,36.3,1.0,5.0,49.0,1.0,5.0,263.5,1.0,5.0,109.6,1.0,4.0,500.2,1.0,4.0,475.9
2.0,6.0,33.6,1.0,6.0,27.5,1.0,6.0,315.0,1.0,6.0,82.0,1.0,6.0,650.8,1.0,5.0,1091.0
3.0,2.0,30.4,3.0,1.0,58.8,2.0,1.0,124.0,2.0,1.0,42.9,2.0,1.0,366.2,2.0,1.0,372.5
3.0,4.0,41.7,3.0,4.0,32.4,2.0,4.0,72.7,2.0,3.0,61.8,2.0,3.0,407.7,2.0,3.0,613.8
3.0,5.0,110.7,3.0,5.0,60.5,2.0,5.0,116.9,2.0,5.0,51.3,2.0,4.0,273.5,2.0,4.0,159.5
3.0,6.0,114.2,3.0,6.0,50.1,2.0,6.0,122.3,2.0,6.0,32.5,2.0,6.0,398.6,2.0,5.0,624.5
4.0,2.0,22.4,4.0,1.0,20.2,4.0,1.0,197.5,3.0,1.0,221.4,3.0,1.0,782.9,3.0,1.0,1091.0
4.0,3.0,47.9,4.0,3.0,28.0,4.0,2.0,113.1,3.0,2.0,123.0,3.0,2.0,521.9,3.0,2.0,871.3
4.0,5.0,78.2,4.0,5.0,34.2,4.0,5.0,211.0,3.0,5.0,237.4,3.0,4.0,947.7,3.0,4.0,788.6
4.0,6.0,66.3,4.0,6.0,17.2,4.0,6.0,163.9,3.0,6.0,158.6,3.0,6.0,964.6,3.0,5.0,1688.0
5.0,2.0,106.5,5.0,1.0,131.7,5.0,1.0,435.6,5.0,1.0,120.3,4.0,1.0,413.9,4.0,1.0,450.1
5.0,3.0,190.5,5.0,3.0,125.1,5.0,2.0,227.9,5.0,2.0,74.4,4.0,2.0,245.5,4.0,2.0,169.8
5.0,4.0,158.4,5.0,4.0,84.7,5.0,4.0,373.8,5.0,3.0,249.5,4.0,3.0,777.3,4.0,3.0,593.6
5.0,6.0,237.9,5.0,6.0,122.7,5.0,6.0,453.9,5.0,6.0,100.7,4.0,6.0,292.0,4.0,5.0,613.8
6.0,2.0,144.8,6.0,1.0,90.1,6.0,1.0,596.9,6.0,1.0,122.2,6.0,1.0,923.4,5.0,1.0,1637.0
6.0,3.0,264.1,6.0,3.0,139.5,6.0,2.0,403.1,6.0,2.0,57.0,6.0,2.0,596.9,5.0,2.0,923.4
6.0,4.0,176.8,6.0,4.0,45.8,6.0,4.0,388.6,6.0,3.0,210.6,6.0,3.0,1241.0,5.0,3.0,1742.0
6.0,5.0,351.9,6.0,5.0,158.8,6.0,5.0,788.6,6.0,5.0,132.4,6.0,4.0,537.5,5.0,4.0,771.7
