1,内山 文典,内山 文典.1,2,齊藤 優,齊藤 優.1,3,冨名腰　桃奈,冨名腰　桃奈.1,4,水原 慎,水原 慎.1,5,田山 和広,田山 和広.1,6,竹田 辰也,竹田 辰也.1
2.0,3.0,14.2,1.0,3.0,49.5,1.0,2.0,174.1,1.0,2.0,100.2,1.0,2.0,525.3,1.0,2.0,36.0
2.0,4.0,10.2,1.0,4.0,30.1,1.0,4.0,224.1,1.0,3.0,266.1,1.0,3.0,723.0,1.0,3.0,98.0
2.0,5.0,41.7,1.0,5.0,94.6,1.0,5.0,363.9,1.0,5.0,159.3,1.0,4.0,488.5,1.0,4.0,61.3
2.0,6.0,7.8,1.0,6.0,19.4,1.0,6.0,138.1,1.0,6.0,57.0,1.0,6.0,304.8,1.0,5.0,122.0
3.0,2.0,27.6,3.0,1.0,154.4,2.0,1.0,219.3,2.0,1.0,157.6,2.0,1.0,769.1,2.0,1.0,66.1
3.0,4.0,38.3,3.0,4.0,257.1,2.0,4.0,365.0,2.0,3.0,487.6,2.0,3.0,1310.0,2.0,3.0,216.0
3.0,5.0,81.2,3.0,5.0,387.3,2.0,5.0,564.0,2.0,5.0,346.1,2.0,4.0,915.0,2.0,4.0,119.0
3.0,6.0,27.3,3.0,6.0,156.1,2.0,6.0,226.7,2.0,6.0,108.4,2.0,6.0,674.4,2.0,5.0,238.1
4.0,2.0,22.0,4.0,1.0,102.6,4.0,1.0,455.3,3.0,1.0,602.0,3.0,1.0,1389.0,3.0,1.0,289.6
4.0,3.0,47.4,4.0,3.0,267.6,4.0,2.0,590.2,3.0,2.0,692.8,3.0,2.0,1591.0,3.0,2.0,361.7
4.0,5.0,61.6,4.0,5.0,273.3,4.0,5.0,752.3,3.0,5.0,865.7,3.0,4.0,1640.0,3.0,4.0,476.0
4.0,6.0,17.6,4.0,6.0,86.1,4.0,6.0,347.4,3.0,6.0,416.0,3.0,6.0,1354.0,3.0,5.0,738.5
5.0,2.0,101.7,5.0,1.0,387.3,5.0,1.0,886.4,5.0,1.0,217.5,4.0,1.0,500.7,4.0,1.0,116.1
5.0,3.0,146.2,5.0,3.0,692.8,5.0,2.0,1010.0,5.0,2.0,305.6,4.0,2.0,767.9,4.0,2.0,144.3
5.0,4.0,116.0,5.0,4.0,578.9,5.0,4.0,1017.0,5.0,3.0,575.4,4.0,3.0,1249.0,4.0,3.0,358.8
5.0,6.0,65.6,5.0,6.0,339.1,5.0,6.0,740.7,5.0,6.0,131.6,4.0,6.0,316.0,4.0,5.0,222.8
6.0,2.0,14.6,6.0,1.0,55.8,6.0,1.0,253.5,6.0,1.0,59.2,6.0,1.0,374.7,5.0,1.0,286.3
6.0,3.0,36.0,6.0,3.0,148.9,6.0,2.0,327.3,6.0,2.0,84.3,6.0,2.0,538.2,5.0,2.0,403.2
6.0,4.0,21.3,6.0,4.0,91.8,6.0,4.0,408.6,6.0,3.0,249.7,6.0,3.0,881.6,5.0,3.0,677.3
6.0,5.0,58.2,6.0,5.0,219.4,6.0,5.0,685.0,6.0,5.0,98.0,6.0,4.0,374.7,5.0,4.0,296.9
