1,柴田 大輔,柴田 大輔.1,2,木下 大將,木下 大將.1,3,池永 太,池永 太.1,4,山田 丈,山田 丈.1,5,田中 孝明,田中 孝明.1,6,橋本 英一,橋本 英一.1
2.0,3.0,15.3,1.0,3.0,27.9,1.0,2.0,15.7,1.0,2.0,148.8,1.0,2.0,395.9,1.0,2.0,1265.0
2.0,4.0,27.7,1.0,4.0,44.7,1.0,4.0,15.4,1.0,3.0,99.2,1.0,3.0,295.9,1.0,3.0,1171.0
2.0,5.0,85.9,1.0,5.0,134.2,1.0,5.0,36.2,1.0,5.0,277.3,1.0,4.0,684.7,1.0,4.0,1461.0
2.0,6.0,122.4,1.0,6.0,183.3,1.0,6.0,53.7,1.0,6.0,296.5,1.0,6.0,770.3,1.0,5.0,2214.0
3.0,2.0,10.3,3.0,1.0,30.2,2.0,1.0,25.1,2.0,1.0,172.8,2.0,1.0,524.9,2.0,1.0,1592.0
3.0,4.0,12.3,3.0,4.0,25.8,2.0,4.0,17.7,2.0,3.0,81.7,2.0,3.0,357.0,2.0,3.0,932.5
3.0,5.0,36.4,3.0,5.0,68.6,2.0,5.0,50.3,2.0,5.0,343.1,2.0,4.0,828.8,2.0,4.0,859.0
3.0,6.0,54.0,3.0,6.0,92.8,2.0,6.0,65.6,2.0,6.0,284.6,2.0,6.0,1012.0,2.0,5.0,1889.0
4.0,2.0,39.6,4.0,1.0,78.8,4.0,1.0,28.3,3.0,1.0,93.3,3.0,1.0,289.8,3.0,1.0,1201.0
4.0,3.0,28.3,4.0,3.0,43.6,4.0,2.0,21.8,3.0,2.0,65.8,3.0,2.0,348.2,3.0,2.0,681.4
4.0,5.0,109.9,4.0,5.0,195.7,4.0,5.0,44.5,3.0,5.0,109.5,3.0,4.0,593.0,3.0,4.0,624.4
4.0,6.0,157.8,4.0,6.0,191.2,4.0,6.0,43.5,3.0,6.0,104.6,3.0,6.0,698.2,3.0,5.0,1324.0
5.0,2.0,186.9,5.0,1.0,328.1,5.0,1.0,98.0,5.0,1.0,406.1,4.0,1.0,897.0,4.0,1.0,2443.0
5.0,3.0,107.6,5.0,3.0,200.4,5.0,2.0,108.1,5.0,2.0,461.6,4.0,2.0,1081.0,4.0,2.0,1081.0
5.0,4.0,243.9,5.0,4.0,423.1,5.0,4.0,117.8,5.0,3.0,271.5,4.0,3.0,618.9,4.0,3.0,770.3
5.0,6.0,436.1,5.0,6.0,576.1,5.0,6.0,172.0,5.0,6.0,549.3,4.0,6.0,1476.0,4.0,5.0,2147.0
6.0,2.0,351.7,6.0,1.0,569.2,6.0,1.0,196.0,6.0,1.0,545.1,6.0,1.0,1996.0,5.0,1.0,2834.0
6.0,3.0,191.8,6.0,3.0,374.9,6.0,2.0,179.1,6.0,2.0,442.9,6.0,2.0,2577.0,5.0,2.0,2952.0
6.0,4.0,425.6,6.0,4.0,442.9,6.0,4.0,126.4,6.0,3.0,276.2,6.0,3.0,1362.0,5.0,3.0,1667.0
6.0,5.0,678.1,6.0,5.0,1005.0,6.0,5.0,288.0,6.0,5.0,681.4,6.0,4.0,1996.0,5.0,4.0,2286.0
