1,宮之原　輝紀,宮之原　輝紀.1,2,井口 佳典,井口 佳典.1,3,毒島 誠,毒島 誠.1,4,定松 勇樹,定松 勇樹.1,5,柳沢 一,柳沢 一.1,6,馬場 貴也,馬場 貴也.1
2.0,3.0,11.1,1.0,3.0,83.3,1.0,2.0,44.6,1.0,2.0,142.9,1.0,2.0,250.0,1.0,2.0,744.5
2.0,4.0,17.3,1.0,4.0,117.4,1.0,4.0,28.5,1.0,3.0,104.0,1.0,3.0,200.1,1.0,3.0,547.4
2.0,5.0,23.3,1.0,5.0,142.4,1.0,5.0,34.5,1.0,5.0,139.0,1.0,4.0,266.6,1.0,4.0,891.6
2.0,6.0,33.2,1.0,6.0,178.7,1.0,6.0,43.3,1.0,6.0,143.1,1.0,6.0,279.6,1.0,5.0,1235.0
3.0,2.0,9.9,3.0,1.0,152.9,2.0,1.0,122.8,2.0,1.0,319.4,2.0,1.0,573.2,2.0,1.0,1129.0
3.0,4.0,8.5,3.0,4.0,311.7,2.0,4.0,214.8,2.0,3.0,473.5,2.0,3.0,874.6,2.0,3.0,1346.0
3.0,5.0,12.0,3.0,5.0,399.4,2.0,5.0,274.8,2.0,5.0,494.9,2.0,4.0,1066.0,2.0,4.0,1887.0
3.0,6.0,17.2,3.0,6.0,378.8,2.0,6.0,259.1,2.0,6.0,512.7,2.0,6.0,1070.0,2.0,5.0,2291.0
4.0,2.0,20.3,4.0,1.0,296.3,4.0,1.0,66.9,3.0,1.0,156.8,3.0,1.0,356.3,3.0,1.0,655.7
4.0,3.0,15.0,4.0,3.0,448.0,4.0,2.0,148.6,3.0,2.0,305.3,3.0,2.0,806.9,3.0,2.0,1265.0
4.0,5.0,22.4,4.0,5.0,583.4,4.0,5.0,106.0,3.0,5.0,245.0,3.0,4.0,625.6,3.0,4.0,834.5
4.0,6.0,30.0,4.0,6.0,591.1,4.0,6.0,102.3,3.0,6.0,231.0,3.0,6.0,632.7,3.0,5.0,1386.0
5.0,2.0,37.7,5.0,1.0,464.0,5.0,1.0,120.8,5.0,1.0,200.8,4.0,1.0,432.4,4.0,1.0,1081.0
5.0,3.0,31.8,5.0,3.0,686.7,5.0,2.0,271.4,5.0,2.0,358.7,4.0,2.0,737.6,4.0,2.0,1516.0
5.0,4.0,42.4,5.0,4.0,916.4,5.0,4.0,190.5,5.0,3.0,281.8,4.0,3.0,598.6,4.0,3.0,894.2
5.0,6.0,56.4,5.0,6.0,964.4,5.0,6.0,196.2,5.0,6.0,230.5,4.0,6.0,531.3,4.0,5.0,1414.0
6.0,2.0,90.5,6.0,1.0,602.2,6.0,1.0,180.8,6.0,1.0,304.1,6.0,1.0,778.2,5.0,1.0,1750.0
6.0,3.0,71.9,6.0,3.0,742.7,6.0,2.0,356.2,6.0,2.0,507.2,6.0,2.0,1179.0,5.0,2.0,2260.0
6.0,4.0,95.3,6.0,4.0,1128.0,6.0,4.0,235.0,6.0,3.0,366.9,6.0,3.0,887.9,5.0,3.0,1670.0
6.0,5.0,115.8,6.0,5.0,1206.0,6.0,5.0,324.0,6.0,5.0,393.4,6.0,4.0,983.8,5.0,4.0,1567.0
