1,田中 京介,田中 京介.1,2,島田 一生,島田 一生.1,3,土井 歩夢,土井 歩夢.1,4,富永 大一,富永 大一.1,5,香月 大介,香月 大介.1,6,池田 剛規,池田 剛規.1
2.0,3.0,14.5,1.0,3.0,52.9,1.0,2.0,188.4,1.0,2.0,30.2,1.0,2.0,195.4,1.0,2.0,217.4
2.0,4.0,7.4,1.0,4.0,20.1,1.0,4.0,185.9,1.0,3.0,103.3,1.0,3.0,507.4,1.0,3.0,573.2
2.0,5.0,33.7,1.0,5.0,64.6,1.0,5.0,348.1,1.0,5.0,53.4,1.0,4.0,205.4,1.0,4.0,244.1
2.0,6.0,14.2,1.0,6.0,33.4,1.0,6.0,196.6,1.0,6.0,35.4,1.0,6.0,226.7,1.0,5.0,531.4
3.0,2.0,26.4,3.0,1.0,173.6,2.0,1.0,298.0,2.0,1.0,44.2,2.0,1.0,312.0,2.0,1.0,308.7
3.0,4.0,29.6,3.0,4.0,209.9,2.0,4.0,337.7,2.0,3.0,181.3,2.0,3.0,956.6,2.0,3.0,953.5
3.0,5.0,76.7,3.0,5.0,405.8,2.0,5.0,641.2,2.0,5.0,83.9,2.0,4.0,331.9,2.0,4.0,340.4
3.0,6.0,45.0,3.0,6.0,302.6,2.0,6.0,472.1,2.0,6.0,51.3,2.0,6.0,374.5,2.0,5.0,843.3
4.0,2.0,11.0,4.0,1.0,40.7,4.0,1.0,357.1,3.0,1.0,262.6,3.0,1.0,838.4,3.0,1.0,959.8
4.0,3.0,28.2,4.0,3.0,147.6,4.0,2.0,366.5,3.0,2.0,308.7,3.0,2.0,1252.0,3.0,2.0,1488.0
4.0,5.0,36.9,4.0,5.0,124.8,4.0,5.0,722.2,3.0,5.0,469.1,3.0,4.0,1302.0,3.0,4.0,1736.0
4.0,6.0,18.1,4.0,6.0,59.1,4.0,6.0,466.8,3.0,6.0,335.0,3.0,6.0,1167.0,3.0,5.0,2411.0
5.0,2.0,74.5,5.0,1.0,225.1,5.0,1.0,784.3,5.0,1.0,68.2,4.0,1.0,192.0,4.0,1.0,308.7
5.0,3.0,137.8,5.0,3.0,565.4,5.0,2.0,956.6,5.0,2.0,80.1,4.0,2.0,223.7,4.0,2.0,329.7
5.0,4.0,84.5,5.0,4.0,256.4,5.0,4.0,1038.0,5.0,3.0,295.6,4.0,3.0,752.0,4.0,3.0,1200.0
5.0,6.0,96.1,5.0,6.0,305.5,5.0,6.0,1084.0,5.0,6.0,69.0,4.0,6.0,204.3,4.0,5.0,528.6
6.0,2.0,42.3,6.0,1.0,130.7,6.0,1.0,511.9,6.0,1.0,63.0,6.0,1.0,364.7,5.0,1.0,742.4
6.0,3.0,90.5,6.0,3.0,401.9,6.0,2.0,575.5,6.0,2.0,65.1,6.0,2.0,404.1,5.0,2.0,950.4
6.0,4.0,48.9,6.0,4.0,132.0,6.0,4.0,845.7,6.0,3.0,259.5,6.0,3.0,966.1,5.0,3.0,1736.0
6.0,5.0,131.4,6.0,5.0,351.9,6.0,5.0,1382.0,6.0,5.0,101.3,6.0,4.0,358.4,5.0,4.0,631.5
