1,江本 真治,江本 真治.1,2,関根 彰人,関根 彰人.1,3,西村 秀樹,西村 秀樹.1,4,田中　太一郎,田中　太一郎.1,5,岡 暢祐,岡 暢祐.1,6,井上 慧人,井上 慧人.1
2.0,3.0,6.6,1.0,3.0,32.8,1.0,2.0,53.6,1.0,2.0,42.2,1.0,2.0,278.9,1.0,2.0,341.2
2.0,4.0,5.6,1.0,4.0,28.0,1.0,4.0,48.3,1.0,3.0,68.3,1.0,3.0,490.7,1.0,3.0,427.2
2.0,5.0,26.8,1.0,5.0,90.0,1.0,5.0,111.9,1.0,5.0,105.6,1.0,4.0,421.6,1.0,4.0,532.3
2.0,6.0,25.4,1.0,6.0,88.6,1.0,6.0,124.8,1.0,6.0,164.9,1.0,6.0,663.4,1.0,5.0,913.0
3.0,2.0,11.3,3.0,1.0,123.1,2.0,1.0,125.7,2.0,1.0,79.2,2.0,1.0,548.7,2.0,1.0,566.1
3.0,4.0,12.2,3.0,4.0,212.5,2.0,4.0,188.5,2.0,3.0,189.4,2.0,3.0,1424.0,2.0,3.0,1057.0
3.0,5.0,40.8,3.0,5.0,438.9,2.0,5.0,410.8,2.0,5.0,264.1,2.0,4.0,1165.0,2.0,4.0,1068.0
3.0,6.0,44.7,3.0,6.0,501.5,2.0,6.0,408.2,2.0,6.0,398.0,2.0,6.0,1602.0,2.0,5.0,1511.0
4.0,2.0,9.1,4.0,1.0,80.8,4.0,1.0,76.0,3.0,1.0,113.9,3.0,1.0,658.0,3.0,1.0,555.4
4.0,3.0,15.4,4.0,3.0,207.2,4.0,2.0,140.5,3.0,2.0,195.2,3.0,2.0,1308.0,3.0,2.0,1112.0
4.0,5.0,35.8,4.0,5.0,403.1,4.0,5.0,189.6,3.0,5.0,328.0,3.0,4.0,1405.0,3.0,4.0,710.5
4.0,6.0,49.7,4.0,6.0,374.8,4.0,6.0,224.4,3.0,6.0,378.3,3.0,6.0,1885.0,3.0,5.0,1780.0
5.0,2.0,73.4,5.0,1.0,396.6,5.0,1.0,278.9,5.0,1.0,202.6,4.0,1.0,627.1,4.0,1.0,799.1
5.0,3.0,116.8,5.0,3.0,1023.0,5.0,2.0,574.3,5.0,2.0,316.6,4.0,2.0,897.6,4.0,2.0,1128.0
5.0,4.0,106.2,5.0,4.0,992.1,5.0,4.0,422.7,5.0,3.0,434.2,4.0,3.0,1227.0,4.0,3.0,821.7
5.0,6.0,170.4,5.0,6.0,1555.0,5.0,6.0,701.2,5.0,6.0,511.1,4.0,6.0,1504.0,4.0,5.0,1704.0
6.0,2.0,83.8,6.0,1.0,499.1,6.0,1.0,368.7,6.0,1.0,402.0,6.0,1.0,1256.0,5.0,1.0,1490.0
6.0,3.0,137.6,6.0,3.0,1071.0,6.0,2.0,651.3,6.0,2.0,623.4,6.0,2.0,1626.0,5.0,2.0,1643.0
6.0,4.0,151.3,6.0,4.0,910.4,6.0,4.0,422.7,6.0,3.0,561.2,6.0,3.0,2165.0,5.0,3.0,1863.0
6.0,5.0,275.3,6.0,5.0,1578.0,6.0,5.0,1017.0,6.0,5.0,715.3,6.0,4.0,1852.0,5.0,4.0,1954.0
