1,山田 亮太,山田 亮太.1,2,渡邉 翼,渡邉 翼.1,3,松尾 基成,松尾 基成.1,4,田中　太一郎,田中　太一郎.1,5,中村 泰平,中村 泰平.1,6,平山 智加,平山 智加.1
2.0,3.0,34.7,1.0,3.0,99.7,1.0,2.0,296.1,1.0,2.0,100.1,1.0,2.0,35.3,1.0,2.0,169.8
2.0,4.0,26.1,1.0,4.0,78.1,1.0,4.0,347.8,1.0,3.0,232.1,1.0,3.0,116.8,1.0,3.0,437.0
2.0,5.0,10.3,1.0,5.0,33.4,1.0,5.0,226.5,1.0,5.0,68.2,1.0,4.0,64.0,1.0,4.0,345.9
2.0,6.0,19.4,1.0,6.0,59.2,1.0,6.0,326.0,1.0,6.0,73.1,1.0,6.0,24.6,1.0,5.0,98.8
3.0,2.0,51.3,3.0,1.0,278.6,2.0,1.0,447.9,2.0,1.0,175.4,2.0,1.0,66.7,2.0,1.0,251.3
3.0,4.0,73.6,3.0,4.0,431.3,2.0,4.0,562.8,2.0,3.0,493.9,2.0,3.0,255.9,2.0,3.0,878.0
3.0,5.0,43.5,3.0,5.0,247.5,2.0,5.0,403.1,2.0,5.0,140.6,2.0,4.0,150.8,2.0,4.0,637.3
3.0,6.0,62.5,3.0,6.0,400.7,2.0,6.0,607.8,2.0,6.0,148.4,2.0,6.0,65.2,2.0,5.0,185.3
4.0,2.0,44.6,4.0,1.0,183.4,4.0,1.0,564.4,3.0,1.0,501.4,3.0,1.0,344.7,3.0,1.0,931.9
4.0,3.0,95.0,4.0,3.0,459.4,4.0,2.0,713.2,3.0,2.0,698.1,3.0,2.0,465.9,3.0,2.0,1519.0
4.0,5.0,34.4,4.0,5.0,163.0,4.0,5.0,539.7,3.0,5.0,487.8,3.0,4.0,570.9,3.0,4.0,1308.0
4.0,6.0,48.4,4.0,6.0,232.7,4.0,6.0,623.2,3.0,6.0,461.6,3.0,6.0,313.0,3.0,5.0,819.7
5.0,2.0,12.7,5.0,1.0,64.8,5.0,1.0,388.9,5.0,1.0,60.2,4.0,1.0,76.7,4.0,1.0,564.4
5.0,3.0,40.8,5.0,3.0,191.0,5.0,2.0,450.0,5.0,2.0,79.8,4.0,2.0,102.6,4.0,2.0,641.4
5.0,4.0,31.6,5.0,4.0,135.2,5.0,4.0,526.8,5.0,3.0,262.0,4.0,3.0,325.4,4.0,3.0,1007.0
5.0,6.0,13.1,5.0,6.0,70.8,5.0,6.0,389.6,5.0,6.0,36.5,4.0,6.0,49.6,4.0,5.0,312.6
6.0,2.0,51.7,6.0,1.0,180.5,6.0,1.0,641.4,6.0,1.0,132.5,6.0,1.0,34.8,5.0,1.0,86.4
6.0,3.0,115.9,6.0,3.0,558.0,6.0,2.0,816.3,6.0,2.0,168.2,6.0,2.0,55.6,5.0,2.0,156.6
6.0,4.0,98.4,6.0,4.0,344.1,6.0,4.0,1067.0,6.0,3.0,398.3,6.0,3.0,204.5,5.0,3.0,484.2
6.0,5.0,34.9,6.0,5.0,136.4,6.0,5.0,625.2,6.0,5.0,81.7,6.0,4.0,79.4,5.0,4.0,216.3
