1,石田 政吾,石田 政吾.1,2,國分　将太郎,國分　将太郎.1,3,木幡 純也,木幡 純也.1,4,山本 兼士,山本 兼士.1,5,青木 蓮,青木 蓮.1,6,八戸 琉楓,八戸 琉楓.1
2.0,3.0,11.3,1.0,3.0,36.0,1.0,2.0,154.5,1.0,2.0,172.0,1.0,2.0,19.3,1.0,2.0,1852.0
2.0,4.0,22.2,1.0,4.0,60.2,1.0,4.0,136.3,1.0,3.0,215.4,1.0,3.0,23.8,1.0,3.0,3018.0
2.0,5.0,7.1,1.0,5.0,21.0,1.0,5.0,83.8,1.0,5.0,88.4,1.0,4.0,34.4,1.0,4.0,2432.0
2.0,6.0,226.6,1.0,6.0,379.9,1.0,6.0,987.8,1.0,6.0,629.3,1.0,6.0,158.7,1.0,5.0,2173.0
3.0,2.0,20.8,3.0,1.0,156.6,2.0,1.0,262.6,2.0,1.0,325.3,2.0,1.0,46.7,2.0,1.0,2379.0
3.0,4.0,28.7,3.0,4.0,293.6,2.0,4.0,430.0,2.0,3.0,670.7,2.0,3.0,88.0,2.0,3.0,5015.0
3.0,5.0,13.2,3.0,5.0,156.6,2.0,5.0,306.9,2.0,5.0,264.3,2.0,4.0,102.4,2.0,4.0,4591.0
3.0,6.0,322.1,3.0,6.0,1369.0,2.0,6.0,2144.0,2.0,6.0,1654.0,2.0,6.0,335.7,2.0,5.0,3195.0
4.0,2.0,46.1,4.0,1.0,227.0,4.0,1.0,320.2,3.0,1.0,406.4,3.0,1.0,74.1,3.0,1.0,3927.0
4.0,3.0,44.9,4.0,3.0,353.1,4.0,2.0,718.0,3.0,2.0,767.0,3.0,2.0,151.4,3.0,2.0,3975.0
4.0,5.0,28.7,4.0,5.0,209.7,4.0,5.0,394.1,3.0,5.0,402.4,3.0,4.0,172.4,3.0,4.0,4465.0
4.0,6.0,332.2,4.0,6.0,1590.0,4.0,6.0,2037.0,3.0,6.0,2116.0,3.0,6.0,655.9,3.0,5.0,4233.0
5.0,2.0,8.6,5.0,1.0,52.5,5.0,1.0,116.5,5.0,1.0,74.8,4.0,1.0,58.3,4.0,1.0,2910.0
5.0,3.0,10.6,5.0,3.0,99.5,5.0,2.0,271.8,5.0,2.0,131.7,4.0,2.0,102.5,4.0,2.0,5525.0
5.0,4.0,23.5,5.0,4.0,137.2,5.0,4.0,307.2,5.0,3.0,206.5,4.0,3.0,158.6,4.0,3.0,5433.0
5.0,6.0,129.9,5.0,6.0,466.3,5.0,6.0,1293.0,5.0,6.0,338.5,4.0,6.0,291.0,4.0,5.0,3505.0
6.0,2.0,696.5,6.0,1.0,1537.0,6.0,1.0,2507.0,6.0,1.0,1590.0,6.0,1.0,473.8,5.0,1.0,2217.0
6.0,3.0,677.7,6.0,3.0,3018.0,6.0,2.0,3704.0,6.0,2.0,2694.0,6.0,2.0,602.5,5.0,2.0,2834.0
6.0,4.0,726.0,6.0,4.0,3360.0,6.0,4.0,3075.0,6.0,3.0,2414.0,6.0,3.0,804.9,5.0,3.0,3790.0
6.0,5.0,536.1,6.0,5.0,1481.0,6.0,5.0,2469.0,6.0,5.0,1436.0,6.0,4.0,680.5,5.0,4.0,3195.0
