1,荒川 健太,荒川 健太.1,2,塩田 北斗,塩田 北斗.1,3,加藤 高史,加藤 高史.1,4,常住 蓮,常住 蓮.1,5,羽野 諒,羽野 諒.1,6,乙津 康志,乙津 康志.1
2.0,3.0,7.6,1.0,3.0,19.0,1.0,2.0,98.3,1.0,2.0,31.8,1.0,2.0,258.4,1.0,2.0,1518.0
2.0,4.0,6.0,1.0,4.0,12.5,1.0,4.0,102.8,1.0,3.0,75.1,1.0,3.0,528.2,1.0,3.0,2578.0
2.0,5.0,22.3,1.0,5.0,39.8,1.0,5.0,183.8,1.0,5.0,57.9,1.0,4.0,275.1,1.0,4.0,1532.0
2.0,6.0,62.2,1.0,6.0,106.0,1.0,6.0,358.1,1.0,6.0,129.6,1.0,6.0,585.0,1.0,5.0,2512.0
3.0,2.0,14.5,3.0,1.0,64.2,2.0,1.0,143.3,2.0,1.0,40.4,2.0,1.0,329.3,2.0,1.0,2020.0
3.0,4.0,17.0,3.0,4.0,80.2,2.0,4.0,189.6,2.0,3.0,96.0,2.0,3.0,752.2,2.0,3.0,2946.0
3.0,5.0,39.7,3.0,5.0,201.2,2.0,5.0,372.7,2.0,5.0,77.0,2.0,4.0,376.9,2.0,4.0,1323.0
3.0,6.0,120.5,3.0,6.0,361.0,2.0,6.0,670.7,2.0,6.0,149.9,2.0,6.0,836.1,2.0,5.0,3510.0
4.0,2.0,10.7,4.0,1.0,31.0,4.0,1.0,197.3,3.0,1.0,184.4,3.0,1.0,941.0,3.0,1.0,3278.0
4.0,3.0,22.2,4.0,3.0,65.6,4.0,2.0,214.9,3.0,2.0,193.7,3.0,2.0,1087.0,3.0,2.0,3721.0
4.0,5.0,32.7,4.0,5.0,86.5,4.0,5.0,417.3,3.0,5.0,337.1,3.0,4.0,1337.0,3.0,4.0,1706.0
4.0,6.0,91.7,4.0,6.0,165.8,4.0,6.0,631.3,3.0,6.0,557.4,3.0,6.0,2004.0,3.0,5.0,4024.0
5.0,2.0,67.1,5.0,1.0,187.4,5.0,1.0,611.8,5.0,1.0,80.3,4.0,1.0,277.7,4.0,1.0,1455.0
5.0,3.0,107.6,5.0,3.0,334.9,5.0,2.0,612.6,5.0,2.0,88.9,4.0,2.0,314.2,4.0,2.0,1282.0
5.0,4.0,87.6,5.0,4.0,221.4,5.0,4.0,786.9,5.0,3.0,224.7,4.0,3.0,824.9,4.0,3.0,2999.0
5.0,6.0,222.4,5.0,6.0,492.0,5.0,6.0,1256.0,5.0,6.0,142.9,4.0,6.0,499.9,4.0,5.0,1718.0
6.0,2.0,300.5,6.0,1.0,569.6,6.0,1.0,1312.0,6.0,1.0,288.1,6.0,1.0,1240.0,5.0,1.0,2313.0
6.0,3.0,419.1,6.0,3.0,951.9,6.0,2.0,1371.0,6.0,2.0,269.4,6.0,2.0,1518.0,5.0,2.0,3639.0
6.0,4.0,344.6,6.0,4.0,570.2,6.0,4.0,1571.0,6.0,3.0,535.7,6.0,3.0,2142.0,5.0,3.0,3991.0
6.0,5.0,482.9,6.0,5.0,911.5,6.0,5.0,1979.0,6.0,5.0,302.1,6.0,4.0,1031.0,5.0,4.0,1987.0
