1,向井田　佑紀,向井田　佑紀.1,2,森林 太,森林 太.1,3,堤 啓輔,堤 啓輔.1,4,津留　浩一郎,津留　浩一郎.1,5,菊池 宏志,菊池 宏志.1,6,山本　景士郎,山本　景士郎.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,43.2,1,3,83.5,1,3,51.5,1,3,48.8
2,5,欠場,1,5,欠場,1,5,58.5,1,5,88.7,1,4,73.6,1,4,83.3
2,6,欠場,1,6,欠場,1,6,36.7,1,6,70.7,1,6,32.0,1,5,62.8
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,7.2,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,11.6,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,欠場
3,6,7.5,3,6,欠場,2,6,欠場,2,6,欠場,2,6,欠場,2,5,欠場
4,2,欠場,4,1,欠場,4,1,142.9,3,1,172.8,3,1,123.6,3,1,89.4
4,3,12.8,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,20.0,4,5,欠場,4,5,291.2,3,5,265.7,3,4,223.6,3,4,203.5
4,6,15.8,4,6,欠場,4,6,193.6,3,6,227.6,3,6,117.3,3,5,182.4
5,2,欠場,5,1,欠場,5,1,204.8,5,1,143.6,4,1,152.7,4,1,154.9
5,3,18.5,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,欠場
5,4,28.4,5,4,欠場,5,4,361.3,5,3,253.5,4,3,235.2,4,3,276.7
5,6,17.3,5,6,欠場,5,6,246.7,5,6,141.6,4,6,140.9,4,5,241.0
6,2,欠場,6,1,欠場,6,1,94.2,6,1,121.4,6,1,34.5,5,1,65.6
6,3,13.9,6,3,欠場,6,2,欠場,6,2,欠場,6,2,欠場,5,2,欠場
6,4,24.8,6,4,欠場,6,4,193.7,6,3,187.1,6,3,54.0,5,3,102.0
6,5,23.6,6,5,欠場,6,5,215.9,6,5,154.3,6,4,73.7,5,4,131.5
