1,原 加央理,原 加央理.1,2,川野 芽唯,川野 芽唯.1,3,大石 真央,大石 真央.1,4,宇野 弥生,宇野 弥生.1,5,田村 美和,田村 美和.1,6,福山　恵里奈,福山　恵里奈.1
2.0,3.0,10.4,1.0,3.0,14.5,1.0,2.0,64.9,1.0,2.0,22.4,1.0,2.0,556.0,1.0,2.0,1481.0
2.0,4.0,6.5,1.0,4.0,7.6,1.0,4.0,107.6,1.0,3.0,70.6,1.0,3.0,1013.0,1.0,3.0,1989.0
2.0,5.0,39.6,1.0,5.0,37.6,1.0,5.0,229.0,1.0,5.0,70.2,1.0,4.0,737.2,1.0,4.0,2975.0
2.0,6.0,128.3,1.0,6.0,133.1,1.0,6.0,578.4,1.0,6.0,207.6,1.0,6.0,1522.0,1.0,5.0,3238.0
3.0,2.0,22.4,3.0,1.0,35.1,2.0,1.0,73.6,2.0,1.0,21.1,2.0,1.0,564.6,2.0,1.0,1738.0
3.0,4.0,31.6,3.0,4.0,40.7,2.0,4.0,95.7,2.0,3.0,51.4,2.0,3.0,917.4,2.0,3.0,2144.0
3.0,5.0,104.1,3.0,5.0,148.1,2.0,5.0,234.7,2.0,5.0,53.4,2.0,4.0,522.6,2.0,4.0,1685.0
3.0,6.0,292.2,3.0,6.0,338.7,2.0,6.0,570.4,2.0,6.0,137.2,2.0,6.0,1393.0,2.0,5.0,2872.0
4.0,2.0,12.7,4.0,1.0,12.5,4.0,1.0,135.2,3.0,1.0,136.5,3.0,1.0,1265.0,3.0,1.0,2216.0
4.0,3.0,28.5,4.0,3.0,26.7,4.0,2.0,111.1,3.0,2.0,97.5,3.0,2.0,1205.0,3.0,2.0,2158.0
4.0,5.0,60.6,4.0,5.0,51.2,4.0,5.0,291.5,3.0,5.0,266.8,3.0,4.0,1522.0,3.0,4.0,2707.0
4.0,6.0,189.2,4.0,6.0,113.3,4.0,6.0,642.6,3.0,6.0,616.2,3.0,6.0,3030.0,3.0,5.0,3405.0
5.0,2.0,156.0,5.0,1.0,164.7,5.0,1.0,540.5,5.0,1.0,124.3,4.0,1.0,650.1,4.0,1.0,2823.0
5.0,3.0,293.8,5.0,3.0,324.7,5.0,2.0,506.5,5.0,2.0,105.6,4.0,2.0,471.8,4.0,2.0,1668.0
5.0,4.0,236.7,5.0,4.0,198.8,5.0,4.0,704.2,5.0,3.0,303.8,4.0,3.0,1112.0,4.0,3.0,2949.0
5.0,6.0,708.7,5.0,6.0,722.7,5.0,6.0,1643.0,5.0,6.0,276.1,4.0,6.0,1436.0,4.0,5.0,2775.0
6.0,2.0,562.6,6.0,1.0,584.5,6.0,1.0,1359.0,6.0,1.0,408.7,6.0,1.0,2775.0,5.0,1.0,3885.0
6.0,3.0,777.1,6.0,3.0,1013.0,6.0,2.0,1387.0,6.0,2.0,338.4,6.0,2.0,2847.0,5.0,2.0,3030.0
6.0,4.0,779.0,6.0,4.0,562.6,6.0,4.0,1580.0,6.0,3.0,821.6,6.0,3.0,3206.0,5.0,3.0,3629.0
6.0,5.0,1142.0,6.0,5.0,1086.0,6.0,5.0,2293.0,6.0,5.0,548.6,6.0,4.0,3336.0,5.0,4.0,3669.0
