1,長谷川 充,長谷川 充.1,2,土性 雅也,土性 雅也.1,3,近藤 稔也,近藤 稔也.1,4,木下 翔太,木下 翔太.1,5,浦野 海,浦野 海.1,6,桑島 和宏,桑島 和宏.1
2.0,3.0,34.6,1.0,3.0,110.0,1.0,2.0,235.5,1.0,2.0,19.8,1.0,2.0,179.4,1.0,2.0,338.1
2.0,4.0,12.0,1.0,4.0,52.1,1.0,4.0,149.3,1.0,3.0,42.4,1.0,3.0,253.4,1.0,3.0,502.9
2.0,5.0,39.8,1.0,5.0,113.3,1.0,5.0,279.0,1.0,5.0,21.1,1.0,4.0,99.9,1.0,4.0,172.6
2.0,6.0,30.9,1.0,6.0,96.5,1.0,6.0,274.6,1.0,6.0,18.2,1.0,6.0,139.5,1.0,5.0,463.1
3.0,2.0,51.8,3.0,1.0,314.8,2.0,1.0,463.1,2.0,1.0,51.8,2.0,1.0,412.3,2.0,1.0,791.5
3.0,4.0,28.5,3.0,4.0,434.4,2.0,4.0,520.3,2.0,3.0,172.3,2.0,3.0,923.5,2.0,3.0,1503.0
3.0,5.0,84.4,3.0,5.0,632.9,2.0,5.0,688.1,2.0,5.0,97.6,2.0,4.0,389.9,2.0,4.0,669.1
3.0,6.0,70.4,3.0,6.0,679.2,2.0,6.0,714.5,2.0,6.0,82.2,2.0,6.0,626.6,2.0,5.0,1361.0
4.0,2.0,9.7,4.0,1.0,92.3,4.0,1.0,194.7,3.0,1.0,139.8,3.0,1.0,641.9,3.0,1.0,1025.0
4.0,3.0,20.2,4.0,3.0,314.8,4.0,2.0,344.0,3.0,2.0,247.1,3.0,2.0,1022.0,3.0,2.0,1784.0
4.0,5.0,15.0,4.0,5.0,230.3,4.0,5.0,308.1,3.0,5.0,208.8,3.0,4.0,748.4,3.0,4.0,1096.0
4.0,6.0,12.5,4.0,6.0,207.9,4.0,6.0,262.9,3.0,6.0,173.6,3.0,6.0,983.9,3.0,5.0,1998.0
5.0,2.0,72.3,5.0,1.0,346.3,5.0,1.0,582.7,5.0,1.0,27.5,4.0,1.0,97.0,4.0,1.0,185.4
5.0,3.0,129.7,5.0,3.0,860.5,5.0,2.0,897.2,5.0,2.0,50.2,4.0,2.0,182.0,4.0,2.0,527.2
5.0,4.0,42.2,5.0,4.0,451.1,5.0,4.0,539.8,5.0,3.0,120.6,4.0,3.0,331.7,4.0,3.0,701.8
5.0,6.0,81.3,5.0,6.0,620.5,5.0,6.0,731.1,5.0,6.0,25.4,4.0,6.0,97.8,4.0,5.0,252.4
6.0,2.0,94.4,6.0,1.0,401.8,6.0,1.0,688.1,6.0,1.0,34.2,6.0,1.0,343.3,5.0,1.0,700.3
6.0,3.0,163.0,6.0,3.0,1089.0,6.0,2.0,1025.0,6.0,2.0,71.6,6.0,2.0,638.0,5.0,2.0,1161.0
6.0,4.0,53.7,6.0,4.0,519.4,6.0,4.0,660.7,6.0,3.0,144.2,6.0,3.0,910.1,5.0,3.0,1628.0
6.0,5.0,142.2,6.0,5.0,954.1,6.0,5.0,1182.0,6.0,5.0,42.1,6.0,4.0,202.3,5.0,4.0,314.8
